datetime,bid,ask,open_interest,volume
2023-08-15 09:00:01,8,100,180,188
2023-08-15 09:00:01,8,13,180,188
2023-08-15 09:00:01,8,12,180,188
2023-08-15 09:00:27,7,12,192,200
2023-08-15 09:02:02,7,100,192,200
2023-08-15 09:02:02,7,14,192,200
2023-08-15 09:02:02,7,13,192,200
2023-08-15 09:02:23,7,100,192,200
2023-08-15 09:02:24,7,13,192,200
2023-08-15 09:04:25,7,100,192,200
2023-08-15 09:04:25,7,13,192,200
2023-08-15 09:05:55,7,14,192,200
2023-08-15 09:07:04,7,100,192,200
2023-08-15 09:07:04,7,16,192,200
2023-08-15 09:07:04,7,14,192,200
2023-08-15 09:09:39,7,15,192,200
2023-08-15 09:09:39,7,100,192,200
2023-08-15 09:09:40,7,17,192,200
2023-08-15 09:09:40,7,15,192,200
2023-08-15 09:10:23,7,16,192,200
2023-08-15 09:11:24,7,15,192,200
2023-08-15 09:12:25,7,100,192,200
2023-08-15 09:12:25,7,15,192,200
2023-08-15 09:13:25,7,16,192,200
2023-08-15 09:13:25,8,16,192,200
2023-08-15 09:15:24,7,16,192,200
2023-08-15 09:15:24,7,100,192,200
2023-08-15 09:15:24,8,100,192,200
2023-08-15 09:15:24,8,18,192,200
2023-08-15 09:15:24,8,16,192,200
2023-08-15 09:16:25,8,17,192,200
2023-08-15 09:16:25,9,17,192,200
2023-08-15 09:17:23,7,17,192,200
2023-08-15 09:17:23,7,100,192,200
2023-08-15 09:17:23,8,100,192,200
2023-08-15 09:17:23,9,100,192,200
2023-08-15 09:17:23,9,19,192,200
2023-08-15 09:17:23,9,17,192,200
2023-08-15 09:17:36,7,17,192,200
2023-08-15 09:17:36,7,100,192,200
2023-08-15 09:17:36,8,100,192,200
2023-08-15 09:17:36,10,100,192,200
2023-08-15 09:17:37,10,20,192,200
2023-08-15 09:17:37,10,18,192,200
2023-08-15 09:18:03,7,18,192,200
2023-08-15 09:18:04,7,19,192,200
2023-08-15 09:18:04,11,19,192,200
2023-08-15 09:18:07,7,19,192,200
2023-08-15 09:18:07,12,19,192,200
2023-08-15 09:18:08,12,20,192,200
2023-08-15 09:18:54,7,20,192,200
2023-08-15 09:18:54,10,20,192,200
2023-08-15 09:18:54,11,20,192,200
2023-08-15 09:18:54,11,19,192,200
2023-08-15 09:19:55,10,100,192,200
2023-08-15 09:19:55,11,100,192,200
2023-08-15 09:19:55,11,21,192,200
2023-08-15 09:19:55,11,19,192,200
2023-08-15 09:20:55,11,20,192,200
2023-08-15 09:20:55,7,20,192,200
2023-08-15 09:20:56,11,20,192,200
2023-08-15 09:20:56,11,19,192,200
2023-08-15 09:21:10,7,19,192,200
2023-08-15 09:21:10,7,20,192,200
2023-08-15 09:21:10,11,20,192,200
2023-08-15 09:21:41,7,20,192,200
2023-08-15 09:21:41,10,20,192,200
2023-08-15 09:21:41,11,20,192,200
2023-08-15 09:21:41,11,19,192,200
2023-08-15 09:22:34,11,100,192,200
2023-08-15 09:22:34,7,100,192,200
2023-08-15 09:22:34,9,100,192,200
2023-08-15 09:22:34,10,100,192,200
2023-08-15 09:22:34,10,20,192,200
2023-08-15 09:22:34,10,18,192,200
2023-08-15 09:23:34,7,19,192,200
2023-08-15 09:23:35,9,19,192,200
2023-08-15 09:23:35,10,19,192,200
2023-08-15 09:23:35,10,18,192,200
2023-08-15 09:24:01,11,18,192,200
2023-08-15 09:24:20,11,19,192,200
2023-08-15 09:25:15,11,100,192,200
2023-08-15 09:25:15,11,18,192,200
2023-08-15 09:26:09,11,19,192,200
2023-08-15 09:26:10,11,18,192,200
2023-08-15 09:26:30,11,19,192,200
2023-08-15 09:26:30,11,17,192,200
