datetime,bid,ask,open_interest,volume
2023-08-14 09:30:07,16,30,1070,1072
2023-08-14 09:30:08,15,30,1070,1072
2023-08-14 09:30:08,17,30,1070,1072
2023-08-14 09:30:09,15,30,1070,1072
2023-08-14 09:30:09,18,30,1070,1072
2023-08-14 09:30:10,15,30,1070,1072
2023-08-14 09:30:11,16,30,1070,1072
2023-08-14 09:30:12,15,30,1070,1072
2023-08-14 09:30:12,17,30,1070,1072
2023-08-14 09:30:13,15,30,1070,1072
2023-08-14 09:30:13,18,30,1070,1072
2023-08-14 09:30:14,15,30,1070,1072
2023-08-14 09:30:15,16,30,1070,1072
2023-08-14 09:30:16,15,30,1070,1072
2023-08-14 09:30:16,17,30,1070,1072
2023-08-14 09:30:17,15,30,1070,1072
2023-08-14 09:30:21,16,30,1070,1072
2023-08-14 09:30:22,15,30,1070,1072
2023-08-14 09:30:22,17,30,1070,1072
2023-08-14 09:30:23,18,30,1070,1072
2023-08-14 09:30:24,17,30,1070,1072
2023-08-14 09:30:25,16,30,1070,1072
2023-08-14 09:30:26,15,30,1070,1072
2023-08-14 09:30:26,17,30,1070,1072
2023-08-14 09:30:27,15,30,1070,1072
2023-08-14 09:30:27,18,30,1070,1072
2023-08-14 09:30:28,15,30,1070,1072
2023-08-14 09:30:28,19,30,1070,1072
2023-08-14 09:30:29,20,30,1070,1072
2023-08-14 09:30:40,20,29,1070,1072
2023-08-14 09:30:41,20,30,1070,1072
2023-08-14 09:30:41,20,28,1070,1072
2023-08-14 09:30:42,20,30,1070,1072
2023-08-14 09:30:42,20,27,1070,1072
2023-08-14 09:30:43,20,30,1070,1072
2023-08-14 09:30:43,20,26,1070,1072
2023-08-14 09:30:44,20,25,1070,1072
2023-08-14 09:31:00,20,23,1070,1072
2023-08-14 09:31:00,20,22,1070,1072
2023-08-14 09:31:00,20,21,1070,1072
2023-08-14 09:31:00,20,21,1270,1272
2023-08-14 09:31:01,20,22,1270,1272
2023-08-14 09:31:01,20,21,1270,1272
2023-08-14 09:31:01,19,21,1292,1294
2023-08-14 09:31:02,19,22,1292,1294
2023-08-14 09:31:02,20,22,1292,1294
2023-08-14 09:31:04,20,21,1292,1294
2023-08-14 09:31:05,20,22,1292,1294
2023-08-14 09:31:13,19,22,1292,1294
2023-08-14 09:31:13,19,21,1292,1294
2023-08-14 09:31:15,19,22,1292,1294
2023-08-14 09:31:16,19,21,1292,1294
2023-08-14 09:31:16,20,21,1292,1294
2023-08-14 09:31:20,19,21,1292,1294
2023-08-14 09:31:21,18,21,1292,1294
2023-08-14 09:31:21,18,20,1292,1294
2023-08-14 09:31:22,18,21,1292,1294
2023-08-14 09:31:22,19,21,1292,1294
2023-08-14 09:31:23,18,21,1292,1294
2023-08-14 09:31:23,18,20,1292,1294
2023-08-14 09:31:24,19,20,1292,1294
2023-08-14 09:31:34,19,21,1292,1294
2023-08-14 09:31:36,20,21,1292,1294
2023-08-14 09:31:37,19,21,1292,1294
2023-08-14 09:31:38,18,21,1292,1294
2023-08-14 09:31:39,19,21,1292,1294
2023-08-14 09:31:40,20,21,1292,1294
2023-08-14 09:31:42,19,21,1292,1294
2023-08-14 09:31:42,18,21,1292,1294
2023-08-14 09:31:43,19,21,1292,1294
2023-08-14 09:31:44,20,21,1292,1294
2023-08-14 09:31:47,19,21,1292,1294
2023-08-14 09:31:50,20,21,1292,1294
2023-08-14 09:31:51,19,21,1292,1294
2023-08-14 09:31:52,20,21,1292,1294
2023-08-14 09:31:53,19,21,1292,1294
2023-08-14 09:31:53,19,20,1292,1294
2023-08-14 09:31:54,19,21,1292,1294
2023-08-14 09:31:55,19,20,1292,1294
2023-08-14 09:32:04,19,20,1492,1494
2023-08-14 09:32:23,19,20,1692,1694
2023-08-14 09:32:38,19,20,1752,1754
2023-08-14 09:32:39,17,20,1752,1794
2023-08-14 09:32:42,18,20,1752,1794
2023-08-14 09:32:47,17,20,1752,1794
2023-08-14 09:32:47,17,19,1752,1794
2023-08-14 09:32:48,17,20,1752,1794
2023-08-14 09:32:49,18,20,1752,1794
2023-08-14 09:32:51,17,20,1752,1794
2023-08-14 09:32:51,17,19,1752,1794
2023-08-14 09:32:52,17,20,1752,1794
2023-08-14 09:32:52,18,20,1752,1794
2023-08-14 09:32:55,17,20,1752,1794
2023-08-14 09:32:55,17,19,1752,1794
2023-08-14 09:32:56,17,20,1752,1794
2023-08-14 09:32:57,18,20,1752,1794
2023-08-14 09:32:58,18,21,1752,1794
2023-08-14 09:32:58,19,21,1752,1794
2023-08-14 09:33:03,19,20,1752,1794
2023-08-14 09:33:04,18,20,1752,1794
2023-08-14 09:33:05,17,20,1752,1794
2023-08-14 09:33:06,18,20,1752,1794
2023-08-14 09:33:07,18,21,1752,1794
2023-08-14 09:33:07,19,21,1752,1794
2023-08-14 09:33:14,19,22,1752,1794
2023-08-14 09:33:32,20,22,1752,1794
2023-08-14 09:33:33,19,22,1752,1794
2023-08-14 09:33:39,19,21,1752,1794
2023-08-14 09:33:46,19,22,1752,1794
2023-08-14 09:33:51,19,21,1752,1794
2023-08-14 09:33:52,19,22,1752,1794
2023-08-14 09:33:53,19,21,1752,1794
2023-08-14 09:34:03,18,21,1752,1794
2023-08-14 09:34:11,17,21,1752,1794
2023-08-14 09:34:14,18,21,1752,1794
2023-08-14 09:34:15,17,21,1752,1794
2023-08-14 09:34:15,19,21,1752,1794
2023-08-14 09:34:16,17,21,1752,1794
2023-08-14 09:34:16,17,20,1752,1794
2023-08-14 09:34:17,18,20,1752,1794
2023-08-14 09:34:19,18,21,1752,1794
2023-08-14 09:34:19,19,21,1752,1794
2023-08-14 09:34:21,18,21,1752,1794
2023-08-14 09:34:21,18,20,1752,1794
2023-08-14 09:34:23,17,20,1752,1794
2023-08-14 09:34:24,18,20,1752,1794
2023-08-14 09:34:26,18,21,1752,1794
