datetime,bid,ask,open_interest,volume
2023-12-07 09:30:01,1,12,5160,7525
2023-12-07 09:30:01,1,13,5160,7525
2023-12-07 09:30:01,1,25,5160,7525
2023-12-07 09:30:33,1,24,5160,7525
2023-12-07 09:30:33,2,24,5160,7525
2023-12-07 09:30:33,2,12,5160,7525
2023-12-07 09:30:46,1,12,5160,7525
2023-12-07 09:30:46,1,25,5160,7525
2023-12-07 09:30:46,3,25,5160,7525
2023-12-07 09:30:46,3,24,5160,7525
2023-12-07 09:30:46,3,14,5160,7525
2023-12-07 09:30:46,3,13,5160,7525
2023-12-07 09:30:47,3,25,5160,7525
2023-12-07 09:30:47,1,25,5160,7525
2023-12-07 09:30:47,1,24,5160,7525
2023-12-07 09:30:47,2,24,5160,7525
2023-12-07 09:30:47,2,13,5160,7525
2023-12-07 09:30:47,2,12,5160,7525
2023-12-07 09:30:49,1,12,5160,7525
2023-12-07 09:30:49,1,25,5160,7525
2023-12-07 09:30:49,2,25,5160,7525
2023-12-07 09:30:49,3,25,5160,7525
2023-12-07 09:30:49,3,13,5160,7525
2023-12-07 09:31:00,3,11,5160,7525
2023-12-07 09:31:00,3,9,5160,7525
2023-12-07 09:31:00,6,9,5160,7525
2023-12-07 09:31:04,7,9,5160,7525
2023-12-07 09:31:08,7,9,5162,7527
2023-12-07 09:31:09,7,11,5162,7527
2023-12-07 09:31:09,7,10,5162,7527
2023-12-07 09:31:15,8,11,5162,7527
2023-12-07 09:31:15,8,10,5162,7527
2023-12-07 09:31:22,8,11,5162,7527
2023-12-07 09:31:24,8,10,5162,7527
2023-12-07 09:31:36,8,9,5162,7527
2023-12-07 09:31:37,7,9,5162,7527
2023-12-07 09:32:04,7,10,5162,7527
2023-12-07 09:32:05,7,9,5162,7527
2023-12-07 09:33:45,6,9,5162,7527
2023-12-07 09:33:46,6,8,5162,7527
2023-12-07 09:33:56,5,8,5162,7527
2023-12-07 09:34:01,6,8,5162,7527
2023-12-07 09:34:08,5,8,5162,7527
2023-12-07 09:34:18,6,8,5162,7527
2023-12-07 09:34:28,5,8,5162,7527
2023-12-07 09:34:30,6,8,5162,7527
2023-12-07 09:34:31,5,8,5162,7527
2023-12-07 09:34:32,6,8,5162,7527
2023-12-07 09:35:26,5,8,5162,7527
2023-12-07 09:36:06,6,8,5162,7527
2023-12-07 09:36:50,5,8,5162,7527
2023-12-07 09:36:59,5,7,5162,7527
2023-12-07 09:37:49,5,6,5162,7527
2023-12-07 09:37:56,5,6,5162,7727
2023-12-07 09:38:02,5,6,5162,7927
2023-12-07 09:38:05,5,6,5162,8127
2023-12-07 09:38:08,5,6,5162,8327
2023-12-07 09:38:10,5,6,5162,8527
2023-12-07 09:38:15,5,6,5102,8587
2023-12-07 09:38:21,5,6,5102,8787
2023-12-07 09:38:25,5,6,5042,8847
2023-12-07 09:38:33,5,6,4981,8908
2023-12-07 09:39:02,4,6,4981,8908
2023-12-07 09:39:04,5,6,4981,8908
2023-12-07 09:39:25,4,6,4981,8908
2023-12-07 09:39:36,5,6,4981,8908
2023-12-07 09:40:03,4,6,4981,8908
2023-12-07 09:40:03,5,6,4981,8908
2023-12-07 09:40:11,4,6,4981,8908
2023-12-07 09:40:12,5,6,4981,8908
2023-12-07 09:40:22,4,6,4981,8908
2023-12-07 09:40:24,5,6,4981,8908
2023-12-07 09:40:29,4,6,4981,8908
2023-12-07 09:41:21,4,7,4981,9027
2023-12-07 09:41:35,5,7,4981,9027
2023-12-07 09:41:43,4,7,4981,9027
2023-12-07 09:41:45,4,6,4981,9027
2023-12-07 09:41:53,5,6,4981,9027
2023-12-07 09:41:54,5,7,4981,9027
2023-12-07 09:41:55,5,6,4981,9027
2023-12-07 09:41:56,4,6,4981,9027
2023-12-07 09:42:05,4,7,4981,9027
2023-12-07 09:42:07,4,6,4981,9027
2023-12-07 09:42:08,4,7,4981,9027
2023-12-07 09:42:08,4,6,4981,9027
2023-12-07 09:42:08,4,7,4981,9027
2023-12-07 09:42:13,4,6,4981,9027
2023-12-07 09:42:15,4,7,4981,9027
