datetime,bid,ask,open_interest,volume
2023-06-21 09:30:07,2,3,485,485
2023-06-21 09:37:05,2,3,535,535
2023-06-21 09:37:43,2,3,555,555
2023-06-21 09:41:46,2,3,605,605
2023-06-21 09:41:46,2,3,655,655
2023-06-21 09:42:05,1,3,690,690
2023-06-21 09:42:37,1,3,740,740
2023-06-21 09:42:37,2,3,740,740
2023-06-21 09:42:48,1,3,740,740
2023-06-21 09:43:01,1,4,3940,4060
2023-06-21 09:43:10,2,4,3940,4060
2023-06-21 09:45:41,2,4,3990,4110
2023-06-21 09:45:41,2,4,4040,4160
2023-06-21 09:47:03,2,4,4130,4250
2023-06-21 09:47:03,1,4,4150,4270
2023-06-21 09:48:40,1,4,4200,4320
2023-06-21 09:48:40,1,3,4200,4320
2023-06-21 09:48:40,1,4,4200,4320
2023-06-21 09:48:51,1,3,4200,4320
2023-06-21 09:49:41,2,3,4200,4320
2023-06-21 09:49:41,2,3,4200,4420
2023-06-21 09:50:37,2,3,4200,4480
2023-06-21 09:53:13,2,3,4200,4500
2023-06-21 09:53:13,2,3,4300,4600
2023-06-21 09:54:13,2,3,4300,4660
2023-06-21 09:54:13,2,3,4300,4700
2023-06-21 09:56:16,2,3,4700,5100
2023-06-21 09:56:56,2,3,5200,5600
2023-06-21 09:56:56,2,3,5450,5850
2023-06-21 09:57:19,2,3,6400,6800
2023-06-21 09:57:21,2,3,6900,7300
2023-06-21 09:57:52,2,3,6900,7500
2023-06-21 09:58:01,2,4,7193,7823
2023-06-21 09:58:18,3,4,7193,7823
2023-06-21 09:59:13,3,4,7393,8023
2023-06-21 09:59:13,3,4,7423,8053
2023-06-21 10:00:05,2,4,7453,8083
2023-06-21 10:00:14,2,3,7453,8083
2023-06-21 10:00:24,2,4,7453,8083
2023-06-21 10:00:29,2,3,7453,8083
2023-06-21 10:00:30,2,4,7453,8083
2023-06-21 10:01:02,3,4,7453,8083
2023-06-21 10:01:02,3,4,7458,8088
2023-06-21 10:01:10,3,4,7503,8133
2023-06-21 10:01:25,3,4,7596,8226
2023-06-21 10:01:25,3,4,7689,8319
2023-06-21 10:02:10,4,5,7689,8383
2023-06-21 10:02:22,4,5,7695,8389
2023-06-21 10:02:22,4,5,7779,8473
2023-06-21 10:03:20,5,6,7779,8478
2023-06-21 10:03:54,5,6,7979,8678
2023-06-21 10:03:56,5,6,7982,8681
2023-06-21 10:03:57,4,5,8004,8703
2023-06-21 10:03:58,4,5,8004,8733
2023-06-21 10:04:55,3,5,8004,8733
2023-06-21 10:05:00,4,5,8004,8733
2023-06-21 10:05:29,3,4,8004,8763
2023-06-21 10:06:51,4,6,8034,8793
2023-06-21 10:06:51,4,5,8034,8793
2023-06-21 10:07:28,4,5,8434,9193
2023-06-21 10:07:32,3,5,8434,9193
2023-06-21 10:07:32,4,5,8434,9193
2023-06-21 10:07:49,3,5,8434,9193
2023-06-21 10:07:49,4,5,8434,9193
2023-06-21 10:08:46,3,5,8434,9193
2023-06-21 10:08:46,4,5,8434,9193
2023-06-21 10:09:08,5,6,8434,9253
2023-06-21 10:09:26,5,6,8454,9273
2023-06-21 10:09:28,4,6,8604,9423
2023-06-21 10:09:29,4,5,8604,9423
2023-06-21 10:09:29,4,5,8636,9455
2023-06-21 10:10:07,3,4,8636,9485
2023-06-21 10:11:06,3,5,8636,9485
2023-06-21 10:11:08,3,4,8636,9485
2023-06-21 10:12:00,3,5,8636,9485
2023-06-21 10:12:34,3,5,8666,9582
2023-06-21 10:13:47,3,5,8666,9982
2023-06-21 10:13:53,3,5,8666,10382
2023-06-21 10:13:56,3,5,8666,10782
2023-06-21 10:14:05,3,5,8666,10902
2023-06-21 10:14:06,3,5,8666,10932
2023-06-21 10:14:06,3,5,8666,11052
2023-06-21 10:14:58,3,4,8666,11052
2023-06-21 10:15:34,3,4,8666,11252
2023-06-21 10:15:36,3,4,8666,11362
2023-06-21 10:15:37,3,4,8666,11562
2023-06-21 10:15:38,3,4,8666,11712
2023-06-21 10:15:45,3,4,8666,11912
2023-06-21 10:15:56,2,4,5343,15235
2023-06-21 10:15:57,2,3,5343,15235
2023-06-21 10:17:04,2,3,5373,15265
2023-06-21 10:17:04,2,3,5403,15295
2023-06-21 10:21:13,2,4,5403,15295
2023-06-21 10:24:07,2,4,5423,15315
2023-06-21 10:24:07,2,4,5443,15335
2023-06-21 10:25:16,2,4,5473,15365
2023-06-21 10:30:02,2,4,5573,15465
2023-06-21 10:30:47,2,3,5573,15465
2023-06-21 10:33:33,2,3,5613,15505
2023-06-21 10:34:08,2,3,5653,15545
2023-06-21 10:35:07,2,3,5703,15595
2023-06-21 10:37:06,1,3,5726,15618
2023-06-21 10:38:11,2,3,5726,15618
2023-06-21 10:39:26,2,3,5806,15698
2023-06-21 10:39:26,2,3,5886,15778
2023-06-21 10:39:27,2,3,5906,15798
2023-06-21 10:40:29,1,3,5976,15868
2023-06-21 10:40:58,2,3,5976,15868
2023-06-21 10:42:46,2,3,5986,15878
2023-06-21 10:42:46,2,3,5996,15888
2023-06-21 10:43:58,2,3,6081,15973
2023-06-21 10:43:58,2,3,6166,16058
2023-06-21 10:44:07,1,3,6226,16118
2023-06-21 10:44:54,2,3,6226,16118
2023-06-21 10:45:28,1,3,6226,16118
2023-06-21 10:45:30,2,3,6226,16118
2023-06-21 10:49:01,3,4,6180,16164
2023-06-21 10:49:04,3,4,6130,16214
2023-06-21 10:49:04,3,4,6130,16354
2023-06-21 10:49:04,3,4,6130,16364
2023-06-21 10:50:01,2,4,6130,16364
2023-06-21 10:50:06,3,4,6130,16364
2023-06-21 10:50:06,3,4,6180,16414
2023-06-21 10:50:21,3,4,6199,16433
2023-06-21 10:50:26,4,5,6199,16473
2023-06-21 10:50:26,4,5,6219,16493
2023-06-21 10:50:44,3,5,6219,16493
2023-06-21 10:50:44,4,5,6219,16493
2023-06-21 10:51:25,2,5,6219,16493
2023-06-21 10:51:25,3,5,6219,16493
2023-06-21 10:51:25,3,4,6219,16493
2023-06-21 10:51:25,3,4,6269,16543
2023-06-21 10:51:35,2,4,6269,16543
2023-06-21 10:51:35,3,4,6269,16543
2023-06-21 10:52:34,3,5,6269,16543
2023-06-21 10:52:38,3,4,6269,16543
2023-06-21 10:52:39,3,4,6269,16553
2023-06-21 10:53:41,2,4,6269,16553
2023-06-21 10:54:01,3,4,6269,16553
2023-06-21 10:54:13,3,4,6269,16563
2023-06-21 10:54:27,3,5,6269,16563
2023-06-21 10:54:28,3,4,6269,16563
2023-06-21 10:54:28,3,4,6359,16653
2023-06-21 10:54:32,2,4,6359,16653
2023-06-21 10:55:27,2,4,6409,16703
2023-06-21 10:55:28,2,4,6459,16753
2023-06-21 10:59:43,2,4,6659,16953
2023-06-21 10:59:43,2,4,6689,16983
2023-06-21 11:00:46,2,4,6739,17033
2023-06-21 11:00:55,2,4,6829,17123
2023-06-21 11:01:04,1,4,6869,17163
2023-06-21 11:01:04,1,4,6889,17183
2023-06-21 11:01:04,1,3,6929,17223
2023-06-21 11:01:04,1,4,6929,17223
2023-06-21 11:01:45,1,3,6929,17223
2023-06-21 11:02:21,1,3,7019,17313
2023-06-21 11:02:21,1,2,7019,17313
2023-06-21 11:02:21,1,2,7109,17403
2023-06-21 11:02:22,1,3,7109,17403
2023-06-21 11:03:39,1,3,7159,17453
2023-06-21 11:03:54,1,3,7255,17549
2023-06-21 11:08:02,2,3,7255,17549
2023-06-21 11:10:42,1,3,7255,17549
2023-06-21 11:11:13,2,3,7255,17549
2023-06-21 11:11:14,1,3,7255,17549
2023-06-21 11:11:38,2,3,7255,17549
2023-06-21 11:11:45,1,3,7255,17549
2023-06-21 11:11:58,2,3,7255,17549
2023-06-21 11:12:14,1,3,7255,17549
2023-06-21 11:13:35,2,3,7255,17549
2023-06-21 11:14:03,1,3,7255,17549
2023-06-21 11:14:41,2,3,7255,17549
2023-06-21 11:14:52,1,3,7255,17549
2023-06-21 11:15:53,2,3,7255,17549
2023-06-21 11:16:05,1,3,7255,17549
2023-06-21 11:16:15,2,3,7255,17549
2023-06-21 11:16:15,2,3,7255,17551
2023-06-21 11:17:01,1,3,7255,17551
2023-06-21 11:17:04,2,3,7255,17551
2023-06-21 11:17:48,1,3,7255,17551
2023-06-21 11:18:17,2,3,7255,17551
2023-06-21 11:19:26,3,4,7255,17561
2023-06-21 11:20:11,3,4,7395,17701
2023-06-21 11:20:15,2,4,7395,17701
2023-06-21 11:20:15,1,4,7395,17701
2023-06-21 11:27:53,1,3,7395,17701
2023-06-21 11:29:01,1,3,7445,17751
2023-06-21 11:29:39,1,2,7445,17751
2023-06-21 11:30:18,1,2,7455,17761
2023-06-21 11:30:28,1,2,7478,17784
2023-06-21 11:31:19,1,2,7528,17834
2023-06-21 11:31:35,1,2,7568,17874
2023-06-21 11:31:35,1,2,7608,17914
2023-06-21 11:33:58,1,2,7818,18124
2023-06-21 11:34:17,1,2,7987,18293
2023-06-21 11:34:26,1,2,7993,18299
2023-06-21 11:35:43,1,2,8103,18409
2023-06-21 11:36:01,1,2,8163,18469
2023-06-21 11:36:05,1,2,8167,18473
2023-06-21 11:36:28,1,2,8254,18560
2023-06-21 11:37:35,0,2,8274,18580
2023-06-21 11:46:40,0,1,8274,18580
