datetime,bid,ask,open_interest,volume
2023-05-01 09:30:07,22,28,3094,4108
2023-05-01 09:30:07,20,28,3094,4108
2023-05-01 09:30:07,20,29,3094,4108
2023-05-01 09:30:13,20,26,3094,4108
2023-05-01 09:30:13,20,24,3094,4108
2023-05-01 09:30:20,20,23,3094,4108
2023-05-01 09:30:32,20,22,3094,4108
2023-05-01 09:31:13,20,21,3094,4108
2023-05-01 09:31:44,18,21,3133,4147
2023-05-01 09:31:44,18,20,3133,4147
2023-05-01 09:31:58,19,20,3133,4147
2023-05-01 09:32:01,18,20,3133,4147
2023-05-01 09:32:06,19,20,3133,4147
2023-05-01 09:32:13,19,20,3147,4161
2023-05-01 09:35:25,18,19,3151,4165
2023-05-01 09:38:08,18,19,3401,4415
2023-05-01 09:38:08,18,19,3651,4665
2023-05-01 09:38:09,16,19,3692,4706
2023-05-01 09:38:21,16,18,3692,4706
2023-05-01 09:38:35,14,18,3692,4706
2023-05-01 09:38:36,14,17,3692,4706
2023-05-01 09:39:02,14,16,3692,4706
2023-05-01 09:39:09,14,15,3692,4706
2023-05-01 09:39:23,13,15,3692,4706
2023-05-01 09:41:32,13,14,3692,4706
2023-05-01 09:46:01,12,14,3692,4706
2023-05-01 09:46:11,11,14,3692,4706
2023-05-01 09:46:12,11,13,3692,4706
2023-05-01 09:47:13,11,12,3692,4706
2023-05-01 09:48:14,8,12,3692,4706
2023-05-01 09:48:15,8,11,3692,4706
2023-05-01 09:48:18,9,11,3692,4706
2023-05-01 09:52:29,9,10,3692,4706
2023-05-01 09:54:49,9,11,3692,4708
2023-05-01 09:55:17,10,11,3692,4708
2023-05-01 09:55:29,10,12,3692,4708
2023-05-01 09:55:50,10,13,3692,4710
2023-05-01 09:55:59,11,13,3692,4710
2023-05-01 09:57:48,11,12,3692,4710
2023-05-01 09:58:52,11,12,3838,4860
2023-05-01 09:59:25,12,13,3838,4862
2023-05-01 10:00:01,12,14,3938,4965
2023-05-01 10:00:01,12,16,3938,4965
2023-05-01 10:00:02,15,16,3938,4965
2023-05-01 10:00:03,15,16,3938,4967
2023-05-01 10:00:04,15,18,3938,4967
2023-05-01 10:00:04,15,17,3938,4967
2023-05-01 10:00:04,15,18,3938,4967
2023-05-01 10:00:11,16,18,3938,4967
2023-05-01 10:00:15,15,18,3938,4967
2023-05-01 10:00:32,15,17,3938,4967
2023-05-01 10:00:37,13,15,3942,4971
2023-05-01 10:00:37,13,17,3942,4971
2023-05-01 10:00:41,13,16,3942,4971
2023-05-01 10:00:48,13,15,3942,4971
2023-05-01 10:01:04,14,15,3942,4971
2023-05-01 10:01:12,13,15,3942,4971
2023-05-01 10:01:36,15,16,3942,4973
2023-05-01 10:02:05,14,15,3942,4977
2023-05-01 10:02:20,13,15,3942,4977
2023-05-01 10:02:21,13,14,3942,4977
2023-05-01 10:06:34,14,15,3942,4979
2023-05-01 10:06:42,14,16,3942,4979
2023-05-01 10:07:28,15,16,3942,4979
2023-05-01 10:07:59,14,16,3942,4979
2023-05-01 10:08:12,14,15,3942,4979
2023-05-01 10:09:27,13,15,3942,4979
2023-05-01 10:09:27,13,14,3942,4979
2023-05-01 10:09:42,12,14,3942,4979
2023-05-01 10:09:43,12,13,3942,4979
2023-05-01 10:10:04,11,12,3942,4983
2023-05-01 10:10:05,9,12,3942,4983
2023-05-01 10:10:07,9,11,3942,4983
2023-05-01 10:10:31,10,11,3942,4983
2023-05-01 10:10:33,10,12,3942,4983
2023-05-01 10:11:16,11,12,3942,4983
2023-05-01 10:12:38,10,12,3942,4983
2023-05-01 10:15:26,10,11,3942,4983
2023-05-01 10:15:57,9,10,3946,4987
2023-05-01 10:15:57,9,11,3946,4987
2023-05-01 10:15:59,9,10,3946,4987
2023-05-01 10:16:07,7,10,3946,4987
2023-05-01 10:16:09,7,9,3946,4987
2023-05-01 10:16:23,5,9,3946,4987
2023-05-01 10:16:24,6,9,3946,4987
2023-05-01 10:16:24,6,8,3946,4987
2023-05-01 10:16:39,5,8,3946,4987
2023-05-01 10:17:28,6,8,3946,4987
2023-05-01 10:17:28,6,8,3947,4988
2023-05-01 10:17:29,5,8,3947,4988
2023-05-01 10:18:05,5,7,3947,4988
2023-05-01 10:19:38,6,7,3947,4988
2023-05-01 10:19:48,6,8,3947,4988
2023-05-01 10:19:55,6,9,3947,4990
2023-05-01 10:20:41,7,9,3947,4990
2023-05-01 10:21:38,8,9,3947,4990
2023-05-01 10:21:46,8,10,3947,4990
2023-05-01 10:21:47,9,10,3947,4990
2023-05-01 10:21:53,8,10,3947,4990
2023-05-01 10:22:01,10,13,3947,4995
2023-05-01 10:22:06,11,13,3947,4995
2023-05-01 10:22:13,12,13,3947,4995
2023-05-01 10:22:15,12,15,3947,4995
2023-05-01 10:22:15,12,14,3947,4995
2023-05-01 10:22:18,12,15,3947,4995
2023-05-01 10:22:44,12,14,3947,4995
2023-05-01 10:23:26,12,13,3947,4995
2023-05-01 10:24:17,13,14,3947,4998
2023-05-01 10:24:21,13,14,3949,5000
2023-05-01 10:24:25,13,15,3949,5000
2023-05-01 10:24:59,13,14,3949,5000
2023-05-01 10:25:10,12,14,3949,5000
2023-05-01 10:25:56,13,14,3949,5000
2023-05-01 10:26:36,12,14,3949,5000
2023-05-01 10:27:23,12,13,3949,5000
2023-05-01 10:29:02,12,14,3949,5000
2023-05-01 10:30:12,12,13,3949,5000
2023-05-01 10:30:28,11,13,3949,5000
2023-05-01 10:30:29,11,12,3949,5000
2023-05-01 10:31:21,11,13,3949,5000
2023-05-01 10:31:47,12,13,3949,5000
2023-05-01 10:32:02,13,14,3949,5002
2023-05-01 10:32:05,13,15,3949,5002
2023-05-01 10:32:17,12,15,3949,5002
2023-05-01 10:32:18,12,14,3949,5002
2023-05-01 10:32:46,11,14,3949,5002
2023-05-01 10:32:47,11,13,3949,5002
2023-05-01 10:33:10,11,12,3949,5002
2023-05-01 10:34:00,8,12,3949,5002
2023-05-01 10:34:01,8,11,3949,5002
2023-05-01 10:34:33,9,11,3949,5002
2023-05-01 10:34:34,8,11,3949,5002
2023-05-01 10:34:42,9,11,3949,5002
2023-05-01 10:36:25,9,10,3949,5002
2023-05-01 10:37:01,8,10,3949,5002
2023-05-01 10:37:02,8,9,3949,5002
2023-05-01 10:37:13,7,9,3949,5002
2023-05-01 10:41:35,8,9,3949,5002
2023-05-01 10:42:05,8,10,3949,5002
2023-05-01 10:43:11,8,9,3949,5002
2023-05-01 10:43:21,7,9,3949,5002
2023-05-01 10:43:22,7,8,3949,5002
2023-05-01 10:46:07,6,7,3949,5006
2023-05-01 10:47:59,5,6,3949,5010
2023-05-01 10:49:51,3,6,4053,5114
2023-05-01 10:50:06,3,5,4053,5114
2023-05-01 10:50:07,3,4,4053,5114
2023-05-01 10:50:43,4,5,4053,5116
2023-05-01 10:52:09,4,5,4053,5118
2023-05-01 10:57:07,3,5,4057,5122
2023-05-01 10:57:21,3,4,4057,5122
2023-05-01 10:58:42,3,4,4107,5172
2023-05-01 11:09:59,3,5,4107,5178
2023-05-01 11:10:12,4,5,4107,5178
2023-05-01 11:10:13,4,5,4107,5180
2023-05-01 11:13:52,5,6,4101,5186
2023-05-01 11:13:52,4,6,4101,5186
2023-05-01 11:13:53,5,6,4101,5186
2023-05-01 11:14:03,5,7,4101,5186
2023-05-01 11:14:05,6,7,4101,5186
2023-05-01 11:15:33,6,8,4101,5192
2023-05-01 11:15:46,7,8,4101,5192
2023-05-01 11:15:54,8,9,4101,5194
2023-05-01 11:16:27,9,10,4101,5195
2023-05-01 11:16:29,10,13,4101,5197
2023-05-01 11:16:31,10,12,4101,5197
2023-05-01 11:16:33,11,12,4101,5197
2023-05-01 11:16:37,12,14,4101,5199
2023-05-01 11:16:37,12,13,4101,5199
2023-05-01 11:16:52,13,15,4101,5200
2023-05-01 11:16:54,13,14,4101,5200
2023-05-01 11:17:14,12,14,5101,6200
2023-05-01 11:17:21,10,14,5101,6200
2023-05-01 11:17:21,10,13,5101,6200
2023-05-01 11:17:21,12,13,5101,6200
2023-05-01 11:17:25,10,12,5103,6202
2023-05-01 11:17:25,10,13,5103,6202
2023-05-01 11:17:25,10,14,5105,6236
2023-05-01 11:17:26,12,14,5105,6236
2023-05-01 11:17:26,13,14,5105,6236
2023-05-01 11:17:27,12,13,5105,6237
2023-05-01 11:17:27,12,14,5105,6237
2023-05-01 11:17:28,12,13,5105,6237
2023-05-01 11:17:28,10,12,5105,6238
2023-05-01 11:17:28,10,13,5105,6238
2023-05-01 11:17:32,10,12,5105,6238
2023-05-01 11:18:22,11,12,5105,6238
2023-05-01 11:18:26,10,12,5105,6238
2023-05-01 11:18:30,11,12,5105,6238
2023-05-01 11:18:33,10,12,5105,6238
2023-05-01 11:18:37,11,12,5105,6238
2023-05-01 11:19:10,11,13,5105,6238
2023-05-01 11:19:49,11,12,5105,6238
2023-05-01 11:20:52,10,11,5109,6242
2023-05-01 11:20:52,10,12,5109,6242
2023-05-01 11:20:59,10,11,5109,6242
2023-05-01 11:21:03,9,10,5113,6246
2023-05-01 11:21:03,9,11,5113,6246
2023-05-01 11:21:08,9,10,5113,6246
2023-05-01 11:22:07,9,11,5113,6246
2023-05-01 11:22:29,10,11,5113,6246
2023-05-01 11:22:55,11,12,5113,6256
2023-05-01 11:23:00,11,13,5113,6256
2023-05-01 11:23:00,11,15,5113,6256
2023-05-01 11:23:00,11,14,5113,6256
2023-05-01 11:23:20,11,13,5113,6256
2023-05-01 11:23:23,11,12,5113,6256
2023-05-01 11:23:28,12,13,5113,6258
2023-05-01 11:24:12,12,13,5126,6271
2023-05-01 11:24:25,12,13,6026,7171
2023-05-01 11:24:31,12,14,6026,7171
2023-05-01 11:24:32,12,15,6026,7171
2023-05-01 11:24:46,12,14,6026,7171
2023-05-01 11:25:01,13,14,6026,7171
2023-05-01 11:25:19,14,15,6026,7173
2023-05-01 11:25:50,14,16,6113,7262
2023-05-01 11:26:05,15,16,6113,7262
2023-05-01 11:26:36,14,15,6117,7266
2023-05-01 11:26:36,14,16,6117,7266
2023-05-01 11:26:47,14,15,6117,7266
2023-05-01 11:26:48,13,14,6131,7280
2023-05-01 11:26:48,13,15,6131,7280
2023-05-01 11:26:50,13,14,6131,7280
2023-05-01 11:26:55,12,13,6135,7284
2023-05-01 11:26:55,12,14,6135,7284
2023-05-01 11:27:22,11,14,6135,7284
2023-05-01 11:28:23,12,14,6135,7284
2023-05-01 11:28:50,11,14,6135,7284
2023-05-01 11:30:11,12,14,6135,7284
2023-05-01 11:30:43,13,14,6135,7284
2023-05-01 11:31:22,12,14,6135,7284
2023-05-01 11:31:58,11,14,6135,7284
2023-05-01 11:32:57,12,14,6135,7284
2023-05-01 11:33:37,13,14,6135,7284
2023-05-01 11:33:37,13,14,6162,7311
2023-05-01 11:33:38,13,14,6169,7318
2023-05-01 11:33:38,13,14,6185,7334
2023-05-01 11:33:57,12,14,6185,7334
2023-05-01 11:33:57,11,14,6185,7334
2023-05-01 11:35:40,11,13,6185,7334
2023-05-01 11:36:15,10,11,6389,7538
2023-05-01 11:36:28,9,11,6389,7538
2023-05-01 11:36:29,9,10,6389,7538
2023-05-01 11:38:28,7,10,6389,7538
2023-05-01 11:38:28,9,10,6389,7538
