datetime,bid,ask,open_interest,volume
2023-09-21 09:30:47,24,35,100,100
2023-09-21 09:30:47,26,35,100,100
2023-09-21 09:30:47,26,34,100,100
2023-09-21 09:31:00,26,32,100,100
2023-09-21 09:31:00,30,32,100,100
2023-09-21 09:31:06,29,32,100,100
2023-09-21 09:31:06,30,32,100,100
2023-09-21 09:31:08,29,32,100,100
2023-09-21 09:31:10,29,31,100,100
2023-09-21 09:31:33,29,32,100,100
2023-09-21 09:32:02,29,31,100,100
2023-09-21 09:33:03,28,31,100,100
2023-09-21 09:33:06,28,30,100,100
2023-09-21 09:33:18,27,30,100,100
2023-09-21 09:33:20,27,29,100,100
2023-09-21 09:33:45,27,29,160,160
2023-09-21 09:33:46,27,28,160,160
2023-09-21 09:33:48,26,28,160,160
2023-09-21 09:34:05,26,27,160,160
2023-09-21 09:34:29,26,28,160,160
2023-09-21 09:34:33,26,29,160,160
2023-09-21 09:34:34,26,28,160,160
2023-09-21 09:34:34,27,28,160,160
2023-09-21 09:34:35,27,29,160,160
2023-09-21 09:34:36,27,28,160,160
2023-09-21 09:34:43,28,30,260,260
2023-09-21 09:35:01,29,30,260,260
2023-09-21 09:35:08,28,30,260,260
2023-09-21 09:35:41,29,30,260,260
2023-09-21 09:35:48,29,31,260,260
2023-09-21 09:35:50,30,31,260,260
2023-09-21 09:35:53,30,32,260,260
2023-09-21 09:36:12,31,32,260,260
2023-09-21 09:36:14,31,33,260,260
2023-09-21 09:36:22,30,33,260,260
2023-09-21 09:36:23,31,33,260,260
2023-09-21 09:36:24,30,33,260,260
2023-09-21 09:36:26,30,32,260,260
2023-09-21 09:36:41,29,32,260,260
2023-09-21 09:36:44,31,32,260,260
2023-09-21 09:36:49,29,31,260,385
2023-09-21 09:37:01,28,31,260,385
2023-09-21 09:37:10,28,30,260,385
2023-09-21 09:37:13,28,29,260,385
2023-09-21 09:37:20,27,29,260,385
2023-09-21 09:37:44,28,29,260,385
2023-09-21 09:38:03,27,30,260,385
2023-09-21 09:38:07,27,29,260,385
2023-09-21 09:38:39,27,28,260,385
2023-09-21 09:38:40,26,28,260,385
2023-09-21 09:38:51,26,27,260,385
2023-09-21 09:39:11,26,28,260,385
2023-09-21 09:39:50,25,28,260,385
2023-09-21 09:39:50,25,27,260,385
2023-09-21 09:39:57,25,26,260,385
2023-09-21 09:39:58,24,26,260,385
2023-09-21 09:40:34,25,26,260,385
2023-09-21 09:40:34,25,27,260,385
2023-09-21 09:40:51,24,27,260,385
2023-09-21 09:41:05,25,27,260,385
2023-09-21 09:41:06,24,27,260,385
2023-09-21 09:41:07,25,27,260,385
2023-09-21 09:41:13,25,28,260,385
2023-09-21 09:41:21,25,27,260,385
2023-09-21 09:41:22,25,28,260,385
2023-09-21 09:41:23,26,28,260,385
2023-09-21 09:42:07,25,28,260,385
2023-09-21 09:42:08,25,27,260,385
2023-09-21 09:42:12,24,27,260,385
2023-09-21 09:42:15,25,27,260,385
2023-09-21 09:42:16,24,27,260,385
2023-09-21 09:42:24,24,26,260,385
2023-09-21 09:42:56,24,25,260,385
2023-09-21 09:43:06,24,26,260,385
2023-09-21 09:43:33,24,25,260,385
2023-09-21 09:43:42,24,26,260,385
2023-09-21 09:44:23,24,25,260,385
2023-09-21 09:45:03,24,25,410,535
2023-09-21 09:45:05,24,25,550,675
2023-09-21 09:45:32,24,26,550,675
2023-09-21 09:46:08,25,26,550,675
2023-09-21 09:46:08,25,27,550,675
2023-09-21 09:46:20,25,28,550,675
2023-09-21 09:46:31,25,27,550,675
2023-09-21 09:46:41,24,27,550,675
2023-09-21 09:46:47,24,26,550,675
2023-09-21 09:47:45,24,27,550,675
2023-09-21 09:47:46,24,26,550,675
2023-09-21 09:47:54,24,27,550,675
2023-09-21 09:47:57,25,27,550,675
2023-09-21 09:48:12,25,28,550,675
2023-09-21 09:48:12,25,27,550,675
2023-09-21 09:48:19,26,27,550,675
2023-09-21 09:48:19,26,27,670,795
2023-09-21 09:48:19,26,28,670,795
2023-09-21 09:48:21,26,28,870,995
2023-09-21 09:48:23,26,28,940,1065
2023-09-21 09:48:23,26,27,940,1065
2023-09-21 09:48:47,25,27,940,1065
2023-09-21 09:48:47,25,26,940,1065
2023-09-21 09:48:49,25,27,940,1135
2023-09-21 09:49:04,25,26,940,1135
2023-09-21 09:49:04,24,26,940,1135
2023-09-21 09:49:23,24,25,940,1135
2023-09-21 09:49:26,24,26,940,1135
2023-09-21 09:49:50,24,25,940,1135
2023-09-21 09:50:02,24,26,940,1135
2023-09-21 09:50:05,24,25,940,1135
2023-09-21 09:50:08,23,25,940,1135
2023-09-21 09:50:36,23,24,940,1135
2023-09-21 09:51:54,23,24,940,1235
2023-09-21 09:51:55,23,25,940,1235
2023-09-21 09:52:01,23,26,940,1235
2023-09-21 09:52:04,23,25,940,1235
2023-09-21 09:52:26,23,26,940,1235
2023-09-21 09:52:27,23,25,940,1235
2023-09-21 09:52:28,23,26,940,1235
2023-09-21 09:52:29,23,25,940,1235
2023-09-21 09:52:31,23,26,940,1235
2023-09-21 09:52:34,23,25,940,1235
2023-09-21 09:52:55,23,24,940,1235
2023-09-21 09:52:56,22,24,940,1235
2023-09-21 09:53:16,22,23,940,1235
2023-09-21 09:53:17,22,23,970,1265
2023-09-21 09:53:24,22,23,1070,1365
2023-09-21 09:53:31,21,23,1070,1365
2023-09-21 09:54:04,21,22,1070,1365
2023-09-21 09:54:10,21,23,1070,1365
2023-09-21 09:54:58,21,24,1070,1365
2023-09-21 09:55:00,22,24,1070,1365
2023-09-21 09:55:05,21,24,1070,1365
2023-09-21 09:55:19,21,23,1070,1365
2023-09-21 09:55:25,21,24,1070,1365
2023-09-21 09:55:26,21,23,1070,1365
2023-09-21 09:55:27,21,24,1070,1365
2023-09-21 09:55:33,21,23,1070,1365
