datetime,bid,ask,open_interest,volume
2023-08-18 09:30:07,5,100,20,31
2023-08-18 09:30:07,1,100,20,31
2023-08-18 09:30:07,0,100,20,31
2023-08-18 09:30:09,6,100,20,31
2023-08-18 09:31:11,6,23,20,31
2023-08-18 09:31:12,7,23,20,31
2023-08-18 09:31:12,7,22,20,31
2023-08-18 09:31:13,6,22,20,31
2023-08-18 09:31:13,6,21,20,31
2023-08-18 09:31:13,8,21,20,31
2023-08-18 09:31:14,6,21,20,31
2023-08-18 09:31:14,9,21,20,31
2023-08-18 09:31:15,6,21,20,31
2023-08-18 09:31:15,10,21,20,31
2023-08-18 09:31:16,6,21,20,31
2023-08-18 09:31:16,11,21,20,31
2023-08-18 09:31:17,6,21,20,31
2023-08-18 09:31:17,12,21,20,31
2023-08-18 09:31:18,6,21,20,31
2023-08-18 09:31:18,13,21,20,31
2023-08-18 09:31:19,6,21,20,31
2023-08-18 09:31:19,14,21,20,31
2023-08-18 09:31:20,15,21,20,31
2023-08-18 09:31:23,16,21,20,31
2023-08-18 09:31:38,17,21,20,31
2023-08-18 09:31:52,17,22,20,31
2023-08-18 09:31:54,18,22,20,31
2023-08-18 09:31:56,18,100,20,31
2023-08-18 09:31:57,0,25,20,31
2023-08-18 09:32:48,0,29,20,31
2023-08-18 09:32:48,0,33,20,31
2023-08-18 09:32:48,0,37,20,31
2023-08-18 09:32:48,0,100,20,31
2023-08-18 09:32:51,0,26,20,31
2023-08-18 09:33:06,0,30,20,31
2023-08-18 09:33:06,0,34,20,31
2023-08-18 09:33:06,0,38,20,31
2023-08-18 09:33:06,0,100,20,31
2023-08-18 09:33:09,16,100,20,31
2023-08-18 09:33:11,16,28,20,31
2023-08-18 09:33:12,17,28,20,31
2023-08-18 09:33:12,17,27,20,31
2023-08-18 09:33:13,16,27,20,31
2023-08-18 09:33:13,18,27,20,31
2023-08-18 09:33:14,16,27,20,31
2023-08-18 09:33:14,19,27,20,31
2023-08-18 09:33:15,16,27,20,31
2023-08-18 09:33:15,20,27,20,31
2023-08-18 09:33:16,16,27,20,31
2023-08-18 09:33:16,21,27,20,31
2023-08-18 09:33:17,16,27,20,31
2023-08-18 09:33:17,22,27,20,31
2023-08-18 09:33:18,23,27,20,31
2023-08-18 09:33:21,23,26,20,31
2023-08-18 09:33:39,23,27,20,31
2023-08-18 09:33:40,23,26,20,31
2023-08-18 09:34:16,22,26,20,31
2023-08-18 09:34:24,16,26,20,31
2023-08-18 09:34:25,17,26,20,31
2023-08-18 09:34:26,16,26,20,31
2023-08-18 09:34:26,18,26,20,31
2023-08-18 09:34:27,19,26,20,31
2023-08-18 09:34:29,20,26,20,31
2023-08-18 09:34:37,21,26,20,31
2023-08-18 09:35:06,21,23,20,31
2023-08-18 09:35:08,20,23,20,31
2023-08-18 09:35:09,21,23,20,31
2023-08-18 09:35:11,20,23,20,31
2023-08-18 09:35:20,19,23,20,31
2023-08-18 09:35:21,19,22,20,31
2023-08-18 09:35:22,19,21,20,31
2023-08-18 09:35:25,19,22,20,31
2023-08-18 09:35:25,20,22,20,31
2023-08-18 09:35:26,19,22,20,31
2023-08-18 09:35:26,19,21,20,31
2023-08-18 09:35:27,19,22,20,31
2023-08-18 09:35:27,20,22,20,31
2023-08-18 09:35:30,19,22,20,31
2023-08-18 09:35:30,19,21,20,31
2023-08-18 09:35:36,19,22,20,31
2023-08-18 09:35:36,20,22,20,31
2023-08-18 09:35:42,20,23,20,31
2023-08-18 09:35:56,20,100,20,31
2023-08-18 09:35:56,20,27,20,31
2023-08-18 09:35:56,20,25,20,31
2023-08-18 09:35:57,20,24,20,31
2023-08-18 09:36:04,20,23,20,31
2023-08-18 09:36:15,20,24,20,31
2023-08-18 09:36:17,20,25,20,31
2023-08-18 09:36:18,21,25,20,31
2023-08-18 09:36:23,22,25,20,31
2023-08-18 09:36:24,22,26,20,31
2023-08-18 09:36:25,23,26,20,31
2023-08-18 09:36:35,22,26,20,31
2023-08-18 09:36:36,23,26,20,31
2023-08-18 09:36:37,24,26,20,31
2023-08-18 09:36:49,24,29,20,31
2023-08-18 09:36:49,24,27,20,31
2023-08-18 09:37:11,24,26,20,31
2023-08-18 09:37:12,24,27,20,31
2023-08-18 09:37:27,24,26,20,31
2023-08-18 09:37:31,24,27,20,31
2023-08-18 09:37:53,24,26,20,31
2023-08-18 09:37:57,24,27,20,31
2023-08-18 09:38:00,24,26,20,31
2023-08-18 09:38:01,24,27,20,31
2023-08-18 09:38:29,24,26,20,31
2023-08-18 09:38:31,24,27,20,31
2023-08-18 09:38:43,24,100,20,31
2023-08-18 09:38:43,24,31,20,31
2023-08-18 09:38:43,24,29,20,31
2023-08-18 09:38:44,24,28,20,31
2023-08-18 09:38:47,24,27,20,31
2023-08-18 09:38:49,24,28,20,31
2023-08-18 09:38:51,24,29,20,31
2023-08-18 09:38:52,25,29,20,31
2023-08-18 09:38:58,26,29,20,31
2023-08-18 09:38:58,26,100,20,31
2023-08-18 09:38:58,26,30,20,31
2023-08-18 09:39:11,26,29,20,31
2023-08-18 09:39:24,26,30,20,31
2023-08-18 09:39:27,26,29,20,31
2023-08-18 09:39:28,26,30,20,31
2023-08-18 09:39:40,27,30,20,31
2023-08-18 09:39:40,27,100,20,31
2023-08-18 09:39:40,27,31,20,31
2023-08-18 09:39:45,27,30,20,31
2023-08-18 09:40:00,27,31,20,31
2023-08-18 09:40:02,27,30,20,31
2023-08-18 09:40:11,26,30,20,31
2023-08-18 09:40:12,27,30,20,31
2023-08-18 09:40:13,26,30,20,31
