datetime,bid,ask,open_interest,volume
2023-10-02 09:30:00,34,40,850,855
2023-10-02 09:30:00,1,40,850,855
2023-10-02 09:30:01,1,85,850,855
2023-10-02 09:30:50,31,85,850,855
2023-10-02 09:30:50,33,85,850,855
2023-10-02 09:30:50,33,37,850,855
2023-10-02 09:31:00,1,37,850,855
2023-10-02 09:31:00,1,85,850,855
2023-10-02 09:31:00,33,85,850,855
2023-10-02 09:31:00,35,85,850,855
2023-10-02 09:31:00,35,39,850,855
2023-10-02 09:31:12,1,39,850,855
2023-10-02 09:31:12,1,85,850,855
2023-10-02 09:31:12,34,85,850,855
2023-10-02 09:31:12,36,85,850,855
2023-10-02 09:31:12,36,40,850,855
2023-10-02 09:31:21,1,40,850,855
2023-10-02 09:31:21,1,85,850,855
2023-10-02 09:31:21,34,85,850,855
2023-10-02 09:31:21,36,85,850,855
2023-10-02 09:31:21,36,49,850,855
2023-10-02 09:31:21,36,46,850,855
2023-10-02 09:31:26,1,46,850,855
2023-10-02 09:31:26,1,85,850,855
2023-10-02 09:31:26,41,85,850,855
2023-10-02 09:31:26,41,44,850,855
2023-10-02 09:31:39,1,44,850,855
2023-10-02 09:31:39,1,85,850,855
2023-10-02 09:31:39,40,85,850,855
2023-10-02 09:31:39,42,85,850,855
2023-10-02 09:31:39,42,49,850,855
2023-10-02 09:31:39,42,46,850,855
2023-10-02 09:31:44,42,85,850,855
2023-10-02 09:31:44,1,85,850,855
2023-10-02 09:31:44,38,85,850,855
2023-10-02 09:31:44,40,85,850,855
2023-10-02 09:31:44,40,46,850,855
2023-10-02 09:31:44,40,44,850,855
2023-10-02 09:31:54,1,44,850,855
2023-10-02 09:31:54,1,85,850,855
2023-10-02 09:31:54,42,85,850,855
2023-10-02 09:31:54,42,46,850,855
2023-10-02 09:31:59,42,85,850,855
2023-10-02 09:31:59,1,85,850,855
2023-10-02 09:31:59,41,85,850,855
2023-10-02 09:31:59,41,47,850,855
2023-10-02 09:31:59,41,45,850,855
2023-10-02 09:32:21,1,45,850,855
2023-10-02 09:32:21,1,85,850,855
2023-10-02 09:32:21,40,85,850,855
2023-10-02 09:32:21,42,85,850,855
2023-10-02 09:32:21,42,48,850,855
2023-10-02 09:32:21,42,46,850,855
2023-10-02 09:33:21,42,85,850,855
2023-10-02 09:33:22,41,85,850,855
2023-10-02 09:33:22,43,85,850,855
2023-10-02 09:33:22,43,50,850,855
2023-10-02 09:33:22,43,47,850,855
2023-10-02 09:33:33,1,47,850,855
2023-10-02 09:33:33,1,85,850,855
2023-10-02 09:33:33,42,85,850,855
2023-10-02 09:33:33,44,85,850,855
2023-10-02 09:33:33,44,50,850,855
2023-10-02 09:33:33,44,48,850,855
2023-10-02 09:33:58,44,85,850,855
2023-10-02 09:33:58,1,85,850,855
2023-10-02 09:33:58,43,85,850,855
2023-10-02 09:33:58,43,47,850,855
2023-10-02 09:34:58,43,49,850,855
2023-10-02 09:34:59,44,85,850,855
2023-10-02 09:34:59,44,48,850,855
2023-10-02 09:35:01,1,48,850,855
2023-10-02 09:35:01,1,85,850,855
2023-10-02 09:35:01,45,85,850,855
2023-10-02 09:35:01,45,49,850,855
2023-10-02 09:35:30,1,49,850,855
2023-10-02 09:35:30,1,85,850,855
2023-10-02 09:35:30,46,85,850,855
2023-10-02 09:35:30,46,52,850,855
2023-10-02 09:35:30,46,50,850,855
2023-10-02 09:35:46,1,50,850,855
2023-10-02 09:35:46,1,85,850,855
2023-10-02 09:35:46,46,85,850,855
2023-10-02 09:35:46,48,85,850,855
2023-10-02 09:35:46,48,54,850,855
2023-10-02 09:35:46,48,52,850,855
2023-10-02 09:36:08,48,85,850,855
2023-10-02 09:36:08,1,85,850,855
2023-10-02 09:36:08,47,85,850,855
2023-10-02 09:36:08,47,51,850,855
2023-10-02 09:36:25,1,51,850,855
2023-10-02 09:36:25,1,85,850,855
2023-10-02 09:36:25,46,85,850,855
2023-10-02 09:36:25,48,85,850,855
2023-10-02 09:36:25,48,55,850,855
2023-10-02 09:36:25,48,52,850,855
2023-10-02 09:37:18,1,52,850,855
2023-10-02 09:37:18,1,85,850,855
2023-10-02 09:37:18,49,85,850,855
2023-10-02 09:37:18,49,53,850,855
2023-10-02 09:37:39,49,85,850,855
2023-10-02 09:37:39,1,85,850,855
2023-10-02 09:37:39,45,85,850,855
2023-10-02 09:37:39,48,85,850,855
2023-10-02 09:37:39,48,52,850,855
2023-10-02 09:38:22,1,52,850,855
2023-10-02 09:38:22,1,85,850,855
2023-10-02 09:38:22,49,85,850,855
2023-10-02 09:38:22,49,55,850,855
