datetime,bid,ask,open_interest,volume
2023-12-11 09:45:07,17,20,1769,2803
2023-12-11 09:45:13,17,19,1769,2803
2023-12-11 09:45:15,17,20,1769,2803
2023-12-11 09:45:39,19,20,1769,2803
2023-12-11 09:45:44,19,20,1769,2915
2023-12-11 09:46:02,18,20,1769,2915
2023-12-11 09:46:02,17,20,1769,2915
2023-12-11 09:46:05,18,20,1769,2915
2023-12-11 09:46:06,17,20,1769,2915
2023-12-11 09:46:09,17,20,1769,2915
2023-12-11 09:46:09,18,20,1769,2915
2023-12-11 09:46:23,18,21,1769,2915
2023-12-11 09:46:29,20,21,1769,2915
2023-12-11 09:46:31,20,22,1769,2915
2023-12-11 09:46:33,21,22,1769,2915
2023-12-11 09:46:34,20,22,1769,2915
2023-12-11 09:46:35,21,22,1769,2975
2023-12-11 09:46:38,20,22,1769,2975
2023-12-11 09:46:52,19,22,1769,2975
2023-12-11 09:46:52,19,21,1769,2975
2023-12-11 09:47:01,18,21,1769,2975
2023-12-11 09:47:03,18,20,1769,2975
2023-12-11 09:47:04,18,20,1769,3035
2023-12-11 09:47:11,18,21,1769,3035
2023-12-11 09:47:11,19,21,1769,3035
2023-12-11 09:47:11,19,21,1907,3194
2023-12-11 09:47:28,19,22,1907,3194
2023-12-11 09:47:29,21,22,1907,3194
2023-12-11 09:47:41,21,22,2052,3339
2023-12-11 09:47:42,20,22,2052,3339
2023-12-11 09:47:42,21,22,2052,3339
2023-12-11 09:47:45,21,23,2063,3350
2023-12-11 09:47:49,22,23,2063,3350
2023-12-11 09:47:50,22,23,2275,3700
2023-12-11 09:47:51,22,24,2275,3700
2023-12-11 09:47:56,23,24,2275,3700
2023-12-11 09:47:56,23,24,2275,3745
2023-12-11 09:47:57,22,24,2275,3745
2023-12-11 09:47:58,22,24,2275,3805
2023-12-11 09:48:13,22,24,2625,4155
2023-12-11 09:48:14,22,25,2625,4155
2023-12-11 09:48:14,23,25,2625,4155
2023-12-11 09:48:17,22,25,2625,4155
2023-12-11 09:48:17,22,24,2625,4155
2023-12-11 09:48:18,23,24,2625,4155
2023-12-11 09:48:19,22,24,2625,4155
2023-12-11 09:48:33,22,23,2625,4155
2023-12-11 09:48:34,21,23,2625,4155
2023-12-11 09:48:46,20,23,2625,4155
2023-12-11 09:48:46,20,22,2625,4155
2023-12-11 09:49:08,20,23,2625,4155
2023-12-11 09:49:08,21,23,2625,4155
2023-12-11 09:49:19,21,24,2625,4155
2023-12-11 09:49:19,22,24,2625,4155
2023-12-11 09:49:24,21,24,2625,4155
2023-12-11 09:49:24,21,23,2625,4155
2023-12-11 09:49:26,20,23,2625,4155
2023-12-11 09:49:30,20,22,2625,4155
2023-12-11 09:49:33,20,23,2625,4155
2023-12-11 09:49:37,20,22,2625,4155
2023-12-11 09:49:50,19,22,2625,4155
2023-12-11 09:49:50,19,21,2625,4155
2023-12-11 09:50:03,20,21,2625,4155
2023-12-11 09:50:03,20,21,2625,4275
2023-12-11 09:50:08,19,21,2625,4275
2023-12-11 09:50:09,19,21,2625,4380
2023-12-11 09:50:11,19,22,2625,4380
2023-12-11 09:50:13,19,21,2625,4380
2023-12-11 09:50:13,19,21,2625,4407
2023-12-11 09:50:13,19,22,2625,4407
2023-12-11 09:50:15,20,22,2625,4407
2023-12-11 09:50:15,20,22,2625,4509
2023-12-11 09:50:16,19,22,2625,4509
2023-12-11 09:50:20,20,22,2625,4509
2023-12-11 09:50:24,20,23,2625,4509
2023-12-11 09:50:27,21,23,2625,4509
2023-12-11 09:50:41,20,23,2625,4509
2023-12-11 09:50:43,21,23,2625,4509
2023-12-11 09:50:45,20,23,2625,4509
2023-12-11 09:50:55,20,22,2625,4509
2023-12-11 09:50:57,19,22,2625,4509
2023-12-11 09:51:04,20,22,2625,4509
2023-12-11 09:51:08,20,23,2625,4509
2023-12-11 09:51:09,20,22,2625,4509
2023-12-11 09:51:16,20,22,2825,4709
2023-12-11 09:51:16,21,22,2825,4709
2023-12-11 09:51:16,21,23,2825,4709
2023-12-11 09:51:19,21,22,2825,4709
2023-12-11 09:51:24,20,22,2825,4709
2023-12-11 09:51:31,19,22,2825,4709
2023-12-11 09:51:31,19,21,2825,4709
2023-12-11 09:51:34,19,20,2825,4709
2023-12-11 09:51:34,18,20,2825,4777
2023-12-11 09:51:36,19,20,2825,4777
2023-12-11 09:51:52,19,21,2825,4777
2023-12-11 09:51:55,20,21,2825,4777
2023-12-11 09:51:56,19,21,2825,4777
2023-12-11 09:51:56,18,21,2825,4777
2023-12-11 09:51:56,19,21,2825,4777
2023-12-11 09:52:01,20,21,2825,4777
2023-12-11 09:52:05,19,21,2825,4777
2023-12-11 09:52:05,18,21,2825,4777
2023-12-11 09:52:05,19,21,2825,4777
2023-12-11 09:52:12,20,21,2825,4777
2023-12-11 09:52:18,20,22,2825,4777
2023-12-11 09:52:20,20,21,2825,4777
2023-12-11 09:52:21,20,22,2825,4777
2023-12-11 09:52:22,20,21,2825,4777
2023-12-11 09:52:23,20,22,2825,4777
2023-12-11 09:52:27,20,21,2825,4777
2023-12-11 09:52:28,20,21,2825,4890
2023-12-11 09:52:29,19,21,2825,4977
2023-12-11 09:52:35,19,22,2825,4977
2023-12-11 09:52:37,19,21,2825,4977
2023-12-11 09:52:39,18,21,2825,4977
2023-12-11 09:52:40,19,21,2825,4977
2023-12-11 09:52:42,18,21,2825,4977
2023-12-11 09:52:42,19,21,2825,4977
2023-12-11 09:52:45,19,22,2825,4977
2023-12-11 09:52:48,19,21,2825,4977
2023-12-11 09:52:51,19,22,2825,4977
2023-12-11 09:52:57,20,22,2825,4977
2023-12-11 09:52:58,20,23,2825,4977
2023-12-11 09:53:10,21,23,2825,4977
2023-12-11 09:53:18,22,23,2825,4977
2023-12-11 09:53:21,22,24,2825,4977
2023-12-11 09:53:27,23,24,2825,4977
2023-12-11 09:53:30,22,24,2825,4977
2023-12-11 09:53:34,22,25,2825,4977
2023-12-11 09:53:34,23,25,2825,4977
2023-12-11 09:53:39,24,25,2825,4977
2023-12-11 09:53:42,23,25,2825,4977
2023-12-11 09:54:08,22,25,2825,4977
2023-12-11 09:54:08,22,24,2825,4977
2023-12-11 09:54:10,22,23,2825,4977
2023-12-11 09:54:27,22,24,2825,4977
2023-12-11 09:54:33,22,23,2825,4977
2023-12-11 09:54:37,22,24,2825,4977
2023-12-11 09:54:46,22,23,2825,4977
2023-12-11 09:54:53,21,23,2825,4977
2023-12-11 09:54:57,20,23,2825,4977
2023-12-11 09:55:02,20,22,2825,4977
2023-12-11 09:55:06,19,22,2825,4977
2023-12-11 09:55:06,19,21,2825,4977
2023-12-11 09:55:11,19,22,2825,4977
2023-12-11 09:55:16,19,20,2825,4977
2023-12-11 09:55:16,19,20,3193,5345
2023-12-11 09:55:17,18,20,3193,5345
2023-12-11 09:55:19,18,19,3193,5345
2023-12-11 09:55:21,18,20,3193,5345
2023-12-11 09:55:27,18,19,3193,5345
2023-12-11 09:55:47,18,20,3193,5345
2023-12-11 09:56:07,18,19,3193,5345
2023-12-11 09:56:21,18,20,3193,5345
2023-12-11 09:56:38,19,20,3193,5345
2023-12-11 09:56:38,18,20,3193,5345
2023-12-11 09:56:39,19,20,3193,5345
2023-12-11 09:56:40,18,20,3193,5345
2023-12-11 09:56:41,18,19,3193,5345
2023-12-11 09:56:53,18,20,3193,5345
2023-12-11 09:56:54,18,19,3193,5345
2023-12-11 09:57:19,17,18,3193,5350
2023-12-11 09:57:35,17,18,3193,5713
2023-12-11 09:57:37,17,18,3393,5913
2023-12-11 09:57:53,17,19,3393,5913
2023-12-11 09:58:05,17,20,3393,5913
2023-12-11 09:58:06,18,20,3393,5913
