datetime,bid,ask,open_interest,volume
2023-08-15 09:30:40,6,13,11,11
2023-08-15 09:31:00,6,11,11,11
2023-08-15 09:31:00,6,10,11,11
2023-08-15 09:31:00,7,10,11,11
2023-08-15 09:31:01,6,10,11,11
2023-08-15 09:31:01,7,10,11,11
2023-08-15 09:31:01,7,9,11,11
2023-08-15 09:31:03,6,9,11,11
2023-08-15 09:31:03,7,9,11,11
2023-08-15 09:31:11,7,10,11,11
2023-08-15 09:31:12,7,11,11,11
2023-08-15 09:31:12,8,11,11,11
2023-08-15 09:31:13,8,11,11,11
2023-08-15 09:31:13,8,10,11,11
2023-08-15 09:31:14,8,11,11,11
2023-08-15 09:31:15,8,10,11,11
2023-08-15 09:31:20,8,11,11,11
2023-08-15 09:31:22,8,10,11,11
2023-08-15 09:31:30,7,10,11,11
2023-08-15 09:31:41,8,10,11,11
2023-08-15 09:31:43,7,10,11,11
2023-08-15 09:31:44,8,10,11,11
2023-08-15 09:31:54,7,10,11,11
2023-08-15 09:31:56,8,10,11,11
2023-08-15 09:32:12,7,10,11,11
2023-08-15 09:32:32,7,9,11,11
2023-08-15 09:32:33,7,10,11,11
2023-08-15 09:32:34,7,9,11,11
2023-08-15 09:32:38,6,9,11,11
2023-08-15 09:33:12,6,8,11,11
2023-08-15 09:34:01,7,8,11,11
2023-08-15 09:34:03,7,9,11,11
2023-08-15 09:34:07,6,9,11,11
2023-08-15 09:34:10,7,9,11,11
2023-08-15 09:34:19,7,10,11,11
2023-08-15 09:34:21,7,9,11,11
2023-08-15 09:34:24,7,10,11,11
2023-08-15 09:34:25,7,9,11,11
2023-08-15 09:34:26,7,10,11,11
2023-08-15 09:34:29,7,9,11,11
2023-08-15 09:34:44,6,9,11,11
2023-08-15 09:34:51,7,9,11,11
2023-08-15 09:34:53,6,9,11,11
2023-08-15 09:35:01,6,8,11,11
2023-08-15 09:35:19,6,9,11,11
2023-08-15 09:35:20,7,9,11,11
2023-08-15 09:35:40,6,9,11,11
2023-08-15 09:35:41,6,8,11,11
2023-08-15 09:35:47,6,9,11,11
2023-08-15 09:35:50,6,8,11,11
2023-08-15 09:35:57,6,9,11,11
2023-08-15 09:36:03,7,9,11,11
2023-08-15 09:36:14,6,9,11,11
2023-08-15 09:36:21,7,9,11,11
2023-08-15 09:36:25,6,9,11,11
2023-08-15 09:36:28,6,8,11,11
2023-08-15 09:36:30,6,9,11,11
2023-08-15 09:36:37,7,9,11,11
2023-08-15 09:36:39,6,9,11,11
2023-08-15 09:36:42,7,9,11,11
2023-08-15 09:37:10,7,10,11,11
2023-08-15 09:37:12,7,9,11,11
2023-08-15 09:37:13,7,10,11,11
2023-08-15 09:37:14,7,9,11,11
2023-08-15 09:37:30,6,9,11,11
2023-08-15 09:37:31,6,7,11,11
2023-08-15 09:37:53,6,7,11,21
2023-08-15 09:38:01,6,7,61,71
2023-08-15 09:38:15,6,7,111,121
2023-08-15 09:39:22,6,7,151,161
2023-08-15 09:39:23,6,7,191,201
2023-08-15 09:39:47,5,7,251,261
2023-08-15 09:39:59,5,6,251,261
2023-08-15 09:40:15,5,7,251,261
2023-08-15 09:41:00,6,7,251,261
2023-08-15 09:41:02,5,7,251,261
2023-08-15 09:41:07,6,7,251,261
2023-08-15 09:41:19,5,7,251,261
2023-08-15 09:41:31,6,7,251,261
2023-08-15 09:41:53,7,9,351,361
2023-08-15 09:41:54,6,9,351,361
2023-08-15 09:41:54,7,9,351,361
2023-08-15 09:41:54,8,9,351,361
2023-08-15 09:41:57,7,9,351,361
2023-08-15 09:42:09,6,9,351,361
2023-08-15 09:42:09,6,8,351,361
2023-08-15 09:42:10,6,9,351,361
2023-08-15 09:42:12,7,9,351,361
2023-08-15 09:42:26,6,9,351,361
2023-08-15 09:42:26,6,8,351,361
2023-08-15 09:42:52,7,8,351,361
2023-08-15 09:42:53,7,9,351,361
2023-08-15 09:42:55,6,9,351,361
2023-08-15 09:42:56,7,9,351,361
2023-08-15 09:42:57,8,9,351,361
2023-08-15 09:42:57,7,9,351,374
2023-08-15 09:42:58,7,8,351,374
2023-08-15 09:43:00,7,9,351,374
2023-08-15 09:43:03,7,8,351,374
2023-08-15 09:43:11,7,9,351,374
2023-08-15 09:43:12,7,8,351,374
2023-08-15 09:43:13,6,8,351,374
2023-08-15 09:43:22,5,8,351,374
2023-08-15 09:43:24,6,8,351,374
2023-08-15 09:43:35,7,8,351,374
2023-08-15 09:43:36,7,9,351,374
2023-08-15 09:43:37,7,9,351,374
2023-08-15 09:43:42,8,9,351,374
2023-08-15 09:43:44,7,9,351,374
2023-08-15 09:43:49,8,9,351,374
2023-08-15 09:44:16,8,10,351,374
2023-08-15 09:44:17,9,10,351,374
2023-08-15 09:45:06,9,11,351,374
