datetime,bid,ask,open_interest,volume
2023-12-08 09:30:14,0,49,5,5
2023-12-08 09:30:28,2,49,5,5
2023-12-08 09:30:57,16,49,5,5
2023-12-08 09:30:57,16,28,5,5
2023-12-08 09:30:57,16,26,5,5
2023-12-08 09:31:00,17,26,5,5
2023-12-08 09:31:00,19,22,5,5
2023-12-08 09:31:00,19,22,13,13
2023-12-08 09:31:01,19,21,13,13
2023-12-08 09:31:07,19,22,13,13
2023-12-08 09:31:07,20,22,13,13
2023-12-08 09:31:12,21,22,13,13
2023-12-08 09:31:13,20,22,13,13
2023-12-08 09:31:18,19,22,13,13
2023-12-08 09:31:19,20,22,13,13
2023-12-08 09:31:20,19,22,13,13
2023-12-08 09:31:24,19,21,13,13
2023-12-08 09:31:31,19,22,13,13
2023-12-08 09:31:32,20,22,13,13
2023-12-08 09:31:43,20,23,13,13
2023-12-08 09:31:59,20,24,13,13
2023-12-08 09:31:59,22,24,13,13
2023-12-08 09:32:09,22,23,13,13
2023-12-08 09:32:12,20,23,13,13
2023-12-08 09:32:13,20,22,13,13
2023-12-08 09:34:11,20,23,13,13
2023-12-08 09:34:11,21,23,13,13
2023-12-08 09:34:18,20,23,13,13
2023-12-08 09:34:41,21,23,13,13
2023-12-08 09:34:43,21,24,13,13
2023-12-08 09:34:43,22,24,13,13
2023-12-08 09:34:55,21,24,13,13
2023-12-08 09:34:56,21,23,13,13
2023-12-08 09:34:57,21,24,13,13
2023-12-08 09:34:57,21,23,13,13
2023-12-08 09:35:04,21,24,13,13
2023-12-08 09:35:11,21,23,13,13
2023-12-08 09:35:37,21,24,13,13
2023-12-08 09:35:38,21,23,13,13
2023-12-08 09:35:44,20,23,13,13
2023-12-08 09:35:53,21,23,13,13
2023-12-08 09:35:57,20,23,13,13
2023-12-08 09:36:03,20,22,13,13
2023-12-08 09:36:13,21,22,13,13
2023-12-08 09:36:13,21,23,13,13
2023-12-08 09:36:18,21,24,13,13
2023-12-08 09:36:19,21,23,13,13
2023-12-08 09:36:20,20,23,13,13
2023-12-08 09:36:21,20,23,505,513
2023-12-08 09:36:22,21,23,505,513
2023-12-08 09:36:23,20,23,505,513
2023-12-08 09:36:23,21,23,505,513
2023-12-08 09:36:33,20,23,505,513
2023-12-08 09:36:40,21,23,505,513
2023-12-08 09:36:47,21,24,505,513
2023-12-08 09:36:48,21,23,505,513
2023-12-08 09:36:53,21,24,505,513
2023-12-08 09:36:53,21,23,505,513
2023-12-08 09:37:01,21,24,505,513
2023-12-08 09:37:04,21,23,505,513
2023-12-08 09:37:09,21,24,505,513
2023-12-08 09:37:13,22,24,505,513
2023-12-08 09:37:22,23,24,505,513
2023-12-08 09:37:29,22,24,505,513
2023-12-08 09:38:23,21,24,505,513
2023-12-08 09:38:24,21,23,505,513
2023-12-08 09:38:40,20,23,505,513
2023-12-08 09:38:44,20,22,505,513
2023-12-08 09:38:50,20,23,505,513
2023-12-08 09:38:51,21,23,505,513
2023-12-08 09:38:53,20,23,505,513
2023-12-08 09:38:56,20,22,505,513
2023-12-08 09:39:38,20,23,505,513
2023-12-08 09:39:40,21,23,505,513
2023-12-08 09:39:44,20,23,505,513
2023-12-08 09:39:51,20,22,505,513
2023-12-08 09:40:17,20,22,505,525
