datetime,bid,ask,open_interest,volume
2023-02-14 09:31:23,7,22,279,279
2023-02-14 09:31:23,13,22,279,279
2023-02-14 09:31:23,16,22,279,279
2023-02-14 09:31:25,16,21,279,279
2023-02-14 09:31:30,16,21,294,294
2023-02-14 09:31:30,13,21,299,299
2023-02-14 09:31:32,13,22,299,299
2023-02-14 09:31:33,13,22,314,314
2023-02-14 09:31:34,13,19,314,314
2023-02-14 09:31:35,13,16,314,314
2023-02-14 09:32:30,9,16,314,314
2023-02-14 09:32:30,11,16,314,314
2023-02-14 09:34:24,11,14,314,314
2023-02-14 09:34:40,9,14,314,314
2023-02-14 09:35:13,10,14,314,314
2023-02-14 09:36:54,10,12,314,314
2023-02-14 09:37:40,10,14,314,314
2023-02-14 09:37:46,10,12,314,314
2023-02-14 09:38:07,10,14,314,314
2023-02-14 09:38:35,10,12,314,314
2023-02-14 09:38:53,10,14,314,314
2023-02-14 09:39:07,10,12,314,314
2023-02-14 09:39:08,10,14,314,314
2023-02-14 09:39:09,10,12,314,314
2023-02-14 09:39:24,10,14,314,314
2023-02-14 09:39:28,10,12,314,314
2023-02-14 09:39:33,10,14,314,314
2023-02-14 09:39:39,10,12,314,314
2023-02-14 09:40:54,12,14,299,329
2023-02-14 09:41:09,12,16,299,329
2023-02-14 09:41:09,12,13,299,329
2023-02-14 09:41:18,11,13,299,329
2023-02-14 09:41:45,11,12,299,329
2023-02-14 09:42:17,11,13,299,329
2023-02-14 09:42:19,11,12,299,329
2023-02-14 09:42:21,10,12,299,329
2023-02-14 09:42:30,10,13,299,329
2023-02-14 09:42:37,10,12,299,329
2023-02-14 09:42:42,10,13,299,329
2023-02-14 09:42:53,10,12,299,329
2023-02-14 09:42:54,10,13,299,329
2023-02-14 09:42:55,10,12,299,329
2023-02-14 09:43:00,10,13,299,329
2023-02-14 09:43:02,10,12,299,329
2023-02-14 09:43:05,10,13,299,329
2023-02-14 09:44:07,10,12,299,329
2023-02-14 09:44:23,11,12,299,329
2023-02-14 09:44:31,11,13,299,329
2023-02-14 09:44:33,11,12,299,329
2023-02-14 09:44:49,11,13,299,329
2023-02-14 09:44:53,10,13,299,329
2023-02-14 09:44:54,10,12,299,329
2023-02-14 09:44:55,10,13,299,329
2023-02-14 09:44:58,10,12,299,329
2023-02-14 09:45:06,10,11,299,329
2023-02-14 09:45:26,10,13,299,329
2023-02-14 09:45:51,10,12,299,349
2023-02-14 09:46:06,10,11,299,349
2023-02-14 09:46:10,10,12,299,349
2023-02-14 09:46:29,10,11,299,349
2023-02-14 09:46:34,10,12,299,349
2023-02-14 09:46:37,10,11,299,349
2023-02-14 09:46:42,10,12,299,349
2023-02-14 09:46:46,10,11,299,349
2023-02-14 09:47:21,9,11,379,429
2023-02-14 09:47:52,9,10,379,429
2023-02-14 09:48:33,8,10,479,529
2023-02-14 09:48:43,8,9,479,529
2023-02-14 09:48:46,8,10,479,529
2023-02-14 09:49:47,8,10,764,814
2023-02-14 09:50:31,8,10,1014,1064
2023-02-14 09:50:48,8,11,1014,1064
2023-02-14 09:54:19,8,11,1164,1214
2023-02-14 09:55:06,8,9,1164,1214
2023-02-14 09:56:01,8,9,1184,1234
2023-02-14 09:56:05,8,10,1184,1234
2023-02-14 09:56:34,7,8,1264,1314
2023-02-14 09:57:02,7,9,1264,1314
2023-02-14 09:57:28,7,8,1264,1314
2023-02-14 09:57:36,5,8,1614,1664
2023-02-14 09:58:24,4,8,1614,1664
2023-02-14 09:58:25,4,7,1614,1664
2023-02-14 09:58:53,4,8,1614,1664
2023-02-14 10:01:28,4,7,1614,1664
2023-02-14 10:01:53,4,6,1614,1664
2023-02-14 10:02:46,4,7,1614,1664
2023-02-14 10:02:46,4,6,1614,1664
2023-02-14 10:03:02,2,6,1614,1664
2023-02-14 10:03:10,3,6,1614,1664
2023-02-14 10:03:51,3,5,1614,1664
2023-02-14 10:06:22,3,6,1614,1664
2023-02-14 10:06:22,3,5,1614,1664
2023-02-14 10:10:31,3,6,1614,1664
2023-02-14 10:10:32,3,5,1614,1664
2023-02-14 10:11:52,3,4,1614,1664
2023-02-14 10:12:17,3,7,1614,1664
2023-02-14 10:20:50,3,6,1614,1664
2023-02-14 10:20:51,3,5,1614,1664
2023-02-14 10:21:20,3,7,1614,1664
2023-02-14 10:21:50,3,5,1614,1664
2023-02-14 10:21:51,3,4,1614,1664
2023-02-14 10:22:16,3,5,1614,1664
2023-02-14 10:22:16,3,7,1614,1664
2023-02-14 10:29:47,3,9,1614,1664
2023-02-14 10:29:48,3,7,1614,1664
2023-02-14 10:29:48,3,6,1614,1664
2023-02-14 10:29:48,3,5,1614,1664
2023-02-14 10:30:18,3,5,1914,1964
2023-02-14 10:30:26,3,6,1914,1964
2023-02-14 10:32:21,3,7,1914,1964
2023-02-14 10:32:52,4,7,1914,1964
2023-02-14 10:34:19,4,8,1914,1964
2023-02-14 10:34:21,4,7,1914,1964
2023-02-14 10:34:49,3,7,1914,1964
2023-02-14 10:35:13,4,7,1914,1964
2023-02-14 10:35:24,4,8,1914,1964
2023-02-14 10:35:48,4,9,1914,1964
2023-02-14 10:35:48,5,9,1914,1964
2023-02-14 10:36:15,6,9,1914,1964
2023-02-14 10:36:49,7,9,1914,1964
2023-02-14 10:36:50,7,11,1914,1964
2023-02-14 10:37:21,7,10,1914,1964
2023-02-14 10:37:48,7,11,1914,1964
2023-02-14 10:38:19,7,13,1914,1964
2023-02-14 10:38:20,7,12,1914,1964
2023-02-14 10:38:23,8,12,1914,1964
2023-02-14 10:39:18,8,13,1914,1964
2023-02-14 10:39:18,8,14,1914,1964
2023-02-14 10:39:19,8,13,1914,1964
2023-02-14 10:39:19,9,13,1914,1964
2023-02-14 10:40:07,10,13,1914,1964
2023-02-14 10:40:17,9,13,1914,1964
2023-02-14 10:41:01,10,13,1914,1964
2023-02-14 10:41:20,10,14,1914,1964
2023-02-14 10:41:20,10,15,1914,1964
2023-02-14 10:41:20,10,14,1914,1964
2023-02-14 10:41:36,11,14,1914,1964
2023-02-14 10:41:59,10,14,1914,1964
2023-02-14 10:42:05,11,14,1914,1964
2023-02-14 10:42:10,10,14,1914,1964
2023-02-14 10:42:20,10,17,1914,1964
2023-02-14 10:42:20,10,15,1914,1964
2023-02-14 10:42:21,11,15,1914,1964
2023-02-14 10:42:48,10,15,1914,1964
2023-02-14 10:42:48,10,14,1914,1964
2023-02-14 10:44:48,10,13,1914,1964
2023-02-14 10:45:13,11,13,1914,1964
2023-02-14 10:45:29,10,13,1914,1964
2023-02-14 10:45:29,12,13,1914,1964
2023-02-14 10:45:45,10,13,1914,1964
2023-02-14 10:45:46,10,13,1914,1984
2023-02-14 10:45:48,10,14,1914,1984
2023-02-14 10:45:50,10,15,1914,1984
2023-02-14 10:45:51,11,15,1914,1984
2023-02-14 10:45:59,12,15,1914,1984
2023-02-14 10:46:10,14,15,1914,1984
2023-02-14 10:46:11,14,15,2014,2084
2023-02-14 10:46:15,14,15,2114,2184
2023-02-14 10:46:18,14,16,2114,2184
2023-02-14 10:46:20,12,16,2114,2184
2023-02-14 10:46:47,12,18,2114,2184
2023-02-14 10:46:49,14,18,2114,2184
