datetime,bid,ask,open_interest,volume
2023-07-24 09:30:16,18,27,66,76
2023-07-24 09:30:17,18,26,66,76
2023-07-24 09:30:19,18,25,66,76
2023-07-24 09:30:20,18,24,66,76
2023-07-24 09:30:21,18,23,66,76
2023-07-24 09:30:22,18,22,66,76
2023-07-24 09:30:31,18,23,66,76
2023-07-24 09:30:33,18,26,66,76
2023-07-24 09:30:37,18,27,66,76
2023-07-24 09:30:37,18,25,66,76
2023-07-24 09:30:38,18,24,66,76
2023-07-24 09:30:39,18,25,66,76
2023-07-24 09:30:40,18,26,66,76
2023-07-24 09:30:41,18,27,66,76
2023-07-24 09:30:41,18,25,66,76
2023-07-24 09:30:42,18,24,66,76
2023-07-24 09:30:43,18,23,66,76
2023-07-24 09:30:44,18,22,66,76
2023-07-24 09:30:45,18,21,66,76
2023-07-24 09:30:46,18,22,66,76
2023-07-24 09:30:47,18,21,66,76
2023-07-24 09:30:48,18,20,66,76
2023-07-24 09:30:49,18,19,66,76
2023-07-24 09:31:00,17,19,69,79
2023-07-24 09:31:02,17,18,69,79
2023-07-24 09:31:05,16,17,72,82
2023-07-24 09:31:07,15,17,75,85
2023-07-24 09:31:07,15,17,172,185
2023-07-24 09:31:07,15,16,172,185
2023-07-24 09:31:07,15,17,172,185
2023-07-24 09:31:07,15,16,172,185
2023-07-24 09:31:08,15,17,172,185
2023-07-24 09:31:08,15,17,269,282
2023-07-24 09:31:08,15,17,366,379
2023-07-24 09:31:09,15,17,466,479
2023-07-24 09:31:22,15,18,466,479
2023-07-24 09:31:34,15,17,466,479
2023-07-24 09:31:39,15,18,466,479
2023-07-24 09:31:44,15,17,466,479
2023-07-24 09:31:48,15,18,466,479
2023-07-24 09:31:49,15,17,466,479
2023-07-24 09:31:56,14,17,466,479
2023-07-24 09:32:02,14,16,466,479
2023-07-24 09:32:07,14,17,466,479
2023-07-24 09:32:15,15,17,466,479
2023-07-24 09:32:21,14,17,466,479
2023-07-24 09:32:30,15,17,466,479
2023-07-24 09:32:35,14,17,466,479
2023-07-24 09:32:37,15,17,466,479
2023-07-24 09:32:38,15,18,466,479
2023-07-24 09:32:48,16,18,466,479
2023-07-24 09:32:56,16,19,466,479
2023-07-24 09:33:02,16,18,466,479
2023-07-24 09:33:41,15,18,466,479
2023-07-24 09:33:41,15,17,466,479
2023-07-24 09:34:04,15,18,466,479
2023-07-24 09:34:20,15,17,466,479
2023-07-24 09:34:39,14,17,466,479
2023-07-24 09:34:44,15,17,466,479
2023-07-24 09:34:45,14,17,466,479
2023-07-24 09:34:47,14,16,466,479
2023-07-24 09:34:50,14,17,466,479
2023-07-24 09:34:54,15,17,466,479
2023-07-24 09:35:03,14,17,466,479
2023-07-24 09:35:05,15,17,466,479
2023-07-24 09:35:26,15,16,466,479
2023-07-24 09:36:04,14,15,466,481
2023-07-24 09:36:23,14,16,466,481
2023-07-24 09:36:33,15,16,466,481
2023-07-24 09:36:37,15,17,461,486
2023-07-24 09:37:21,16,17,461,486
2023-07-24 09:37:26,17,18,461,489
2023-07-24 09:38:57,17,19,458,492
2023-07-24 09:39:04,18,19,458,492
2023-07-24 09:39:11,19,20,458,498
2023-07-24 09:39:15,19,21,419,701
2023-07-24 09:39:38,19,20,419,701
2023-07-24 09:39:39,19,21,419,701
2023-07-24 09:39:42,18,21,419,701
2023-07-24 09:39:43,18,20,419,701
2023-07-24 09:39:46,17,20,419,701
2023-07-24 09:39:46,18,20,419,701
2023-07-24 09:39:49,17,20,419,701
2023-07-24 09:39:51,17,19,419,701
2023-07-24 09:39:58,17,20,419,701
2023-07-24 09:40:01,17,19,419,701
2023-07-24 09:40:45,17,18,419,701
2023-07-24 09:40:47,16,18,621,903
2023-07-24 09:40:51,16,17,621,903
2023-07-24 09:41:00,16,18,621,903
2023-07-24 09:41:03,16,17,621,903
2023-07-24 09:41:05,16,18,621,903
2023-07-24 09:41:08,16,17,621,903
2023-07-24 09:41:21,15,17,823,1105
2023-07-24 09:41:57,15,18,823,1105
2023-07-24 09:41:58,15,17,823,1105
2023-07-24 09:42:28,15,18,823,1105
2023-07-24 09:42:29,15,17,823,1105
2023-07-24 09:42:35,15,17,1223,1505
2023-07-24 09:43:07,15,18,1223,1505
2023-07-24 09:43:10,16,18,1223,1505
2023-07-24 09:43:24,16,18,1223,1855
2023-07-24 09:43:25,16,19,1223,1855
2023-07-24 09:43:25,17,19,1223,1855
2023-07-24 09:43:28,17,18,1223,1855
2023-07-24 09:43:30,17,19,1423,2055
2023-07-24 09:43:30,17,18,1423,2055
2023-07-24 09:43:31,17,19,1423,2055
2023-07-24 09:43:41,17,18,1423,2055
2023-07-24 09:43:42,17,19,1523,2155
2023-07-24 09:43:46,16,19,1523,2155
2023-07-24 09:43:47,16,18,1523,2155
2023-07-24 09:43:53,15,18,1523,2155
2023-07-24 09:44:06,15,17,1523,2155
2023-07-24 09:44:29,15,18,1523,2155
2023-07-24 09:44:49,15,17,1523,2155
2023-07-24 09:44:57,15,17,1923,2555
2023-07-24 09:44:58,15,16,1923,2555
2023-07-24 09:45:00,15,17,1923,2555
2023-07-24 09:45:00,15,18,1923,2555
2023-07-24 09:45:00,15,17,1923,2555
2023-07-24 09:45:01,15,16,1923,2555
2023-07-24 09:45:02,15,18,1923,2555
2023-07-24 09:45:02,15,18,2323,2955
2023-07-24 09:45:02,16,18,2323,2955
2023-07-24 09:45:03,16,17,2323,2955
2023-07-24 09:45:03,15,17,2323,2955
2023-07-24 09:45:05,15,17,2723,3355
2023-07-24 09:45:05,14,17,2723,3355
2023-07-24 09:45:05,15,17,2723,3355
2023-07-24 09:45:12,15,18,2723,3355
2023-07-24 09:45:12,15,17,2723,3355
2023-07-24 09:45:13,15,18,2723,3355
2023-07-24 09:45:14,15,17,2723,3355
2023-07-24 09:45:14,16,17,2723,3355
2023-07-24 09:45:16,16,18,2723,3355
2023-07-24 09:45:17,16,17,2723,3355
2023-07-24 09:45:18,15,17,2723,3355
2023-07-24 09:45:22,15,16,2723,3355
2023-07-24 09:45:22,14,16,2723,3355
2023-07-24 09:45:22,15,16,2723,3355
2023-07-24 09:45:23,14,16,2723,3355
2023-07-24 09:45:29,14,15,2723,3355
2023-07-24 09:45:39,14,16,2723,3555
2023-07-24 09:45:42,15,16,2723,3555
2023-07-24 09:45:43,14,16,2723,3555
2023-07-24 09:45:58,14,17,2723,3555
2023-07-24 09:46:03,15,17,2723,3555
2023-07-24 09:46:03,15,18,2723,3555
2023-07-24 09:46:04,15,17,2723,3555
2023-07-24 09:46:07,15,18,2723,3555
2023-07-24 09:46:09,16,18,2723,3555
2023-07-24 09:46:09,16,19,2723,3555
2023-07-24 09:46:09,17,19,2723,3555
2023-07-24 09:46:10,17,18,2723,3555
2023-07-24 09:46:12,17,19,2723,3555
2023-07-24 09:46:20,17,18,2723,3555
2023-07-24 09:46:23,17,19,2723,3555
2023-07-24 09:46:31,17,18,2723,3555
2023-07-24 09:46:35,17,19,2723,3555
2023-07-24 09:46:37,17,18,2723,3555
2023-07-24 09:46:39,17,19,2723,3555
2023-07-24 09:46:41,17,20,2723,3555
2023-07-24 09:46:42,18,20,2723,3555
2023-07-24 09:46:43,18,21,2723,3555
2023-07-24 09:46:44,18,20,2723,3555
2023-07-24 09:46:45,19,20,2723,3555
2023-07-24 09:46:46,19,21,2723,3555
2023-07-24 09:46:48,20,21,2723,3555
2023-07-24 09:46:50,21,22,2723,3558
2023-07-24 09:47:06,22,23,2723,3561
2023-07-24 09:47:07,22,24,2723,3561
2023-07-24 09:47:08,23,24,2723,3561
2023-07-24 09:47:21,23,25,2723,3761
2023-07-24 09:47:23,23,24,2723,3761
2023-07-24 09:47:24,23,25,2823,3861
2023-07-24 09:47:26,22,25,2823,3861
2023-07-24 09:47:27,22,24,2823,3861
2023-07-24 09:47:41,22,23,2823,3861
2023-07-24 09:47:44,22,24,3023,4061
2023-07-24 09:47:48,22,25,3023,4061
2023-07-24 09:47:48,22,24,3023,4061
2023-07-24 09:47:49,22,25,3023,4061
2023-07-24 09:47:50,22,24,3023,4061
2023-07-24 09:47:52,22,23,3023,4061
2023-07-24 09:48:09,21,23,3023,4061
2023-07-24 09:48:13,21,24,3023,4061
2023-07-24 09:48:16,21,23,3023,4061
2023-07-24 09:48:18,21,24,3023,4061
2023-07-24 09:48:18,21,23,3023,4061
2023-07-24 09:48:22,21,22,3023,4061
2023-07-24 09:48:25,21,23,3223,4261
2023-07-24 09:48:26,21,24,3223,4261
2023-07-24 09:48:34,21,23,3223,4261
2023-07-24 09:48:37,21,24,3223,4261
2023-07-24 09:48:38,21,23,3223,4261
2023-07-24 09:48:41,21,24,3223,4261
2023-07-24 09:48:43,22,24,3223,4261
2023-07-24 09:48:46,22,25,3223,4261
2023-07-24 09:48:50,23,25,3223,4261
2023-07-24 09:48:58,24,25,3223,4261
2023-07-24 09:48:58,23,25,3273,4311
2023-07-24 09:49:07,23,26,3273,4511
2023-07-24 09:49:08,23,25,3273,4511
2023-07-24 09:49:08,24,25,3273,4511
2023-07-24 09:49:08,24,26,3373,4611
2023-07-24 09:49:42,23,26,3373,4611
2023-07-24 09:49:43,23,25,3373,4611
2023-07-24 09:49:50,22,25,3373,4611
2023-07-24 09:49:50,22,24,3373,4611
2023-07-24 09:50:03,22,25,3373,4611
2023-07-24 09:50:13,23,25,3373,4611
2023-07-24 09:50:14,22,25,3373,4611
2023-07-24 09:50:20,23,25,3373,4611
2023-07-24 09:50:23,22,25,3373,4611
2023-07-24 09:50:25,23,25,3373,4611
2023-07-24 09:50:26,22,25,3373,4611
2023-07-24 09:50:27,23,25,3373,4611
2023-07-24 09:50:31,23,26,3373,4611
2023-07-24 09:50:41,23,25,3373,4611
2023-07-24 09:50:52,23,26,3373,4611
2023-07-24 09:51:07,23,25,3373,4611
2023-07-24 09:51:17,22,25,3373,4611
2023-07-24 09:51:22,23,25,3373,4611
2023-07-24 09:51:24,23,26,3373,4611
2023-07-24 09:51:31,24,26,3373,4611
2023-07-24 09:51:33,25,26,3373,4611
2023-07-24 09:51:37,25,27,3373,4611
2023-07-24 09:51:42,26,27,3373,4611
2023-07-24 09:51:42,26,28,2973,5011
2023-07-24 09:51:55,27,28,2973,5011
2023-07-24 09:51:57,28,29,3073,5111
2023-07-24 09:51:58,27,29,3173,5211
2023-07-24 09:51:58,28,29,3173,5211
2023-07-24 09:51:59,27,29,3173,5211
2023-07-24 09:52:02,27,28,3173,5211
2023-07-24 09:52:11,27,29,3173,5211
2023-07-24 09:52:20,26,29,3173,5211
2023-07-24 09:52:21,26,28,3173,5211
2023-07-24 09:52:23,26,29,3173,5211
2023-07-24 09:52:23,26,28,3173,5211
2023-07-24 09:52:26,26,27,3173,5211
2023-07-24 09:52:27,26,28,3173,5211
2023-07-24 09:52:52,26,29,3173,5211
2023-07-24 09:52:52,27,29,3173,5211
2023-07-24 09:52:56,26,29,3173,5211
2023-07-24 09:53:00,27,29,3173,5211
2023-07-24 09:53:06,27,28,3173,5211
2023-07-24 09:53:08,28,29,3273,5311
2023-07-24 09:53:08,27,29,3373,5411
