datetime,bid,ask,open_interest,volume
2023-06-15 09:30:38,21,27,647,732
2023-06-15 09:31:03,21,24,647,732
2023-06-15 09:31:06,19,22,649,734
2023-06-15 09:31:06,20,22,649,734
2023-06-15 09:31:17,20,24,649,734
2023-06-15 09:31:17,21,24,649,734
2023-06-15 09:31:18,21,24,649,734
2023-06-15 09:31:18,21,23,649,734
2023-06-15 09:31:20,21,24,649,734
2023-06-15 09:31:36,21,23,649,734
2023-06-15 09:31:41,20,23,649,734
2023-06-15 09:31:41,20,22,649,734
2023-06-15 09:31:44,19,22,649,734
2023-06-15 09:32:03,20,23,649,734
2023-06-15 09:32:04,21,23,649,734
2023-06-15 09:32:08,20,23,649,734
2023-06-15 09:32:29,21,23,649,734
2023-06-15 09:32:32,21,24,649,734
2023-06-15 09:32:35,21,23,649,734
2023-06-15 09:33:01,21,24,649,734
2023-06-15 09:33:10,22,24,649,734
2023-06-15 09:33:14,22,24,749,834
2023-06-15 09:33:15,23,24,749,834
2023-06-15 09:33:16,23,25,849,934
2023-06-15 09:33:46,23,24,849,934
2023-06-15 09:33:46,22,24,849,934
2023-06-15 09:33:47,22,25,849,934
2023-06-15 09:33:54,23,25,849,934
2023-06-15 09:34:06,22,25,849,934
2023-06-15 09:34:09,23,25,849,934
2023-06-15 09:34:20,22,25,849,934
2023-06-15 09:34:34,22,24,849,934
2023-06-15 09:35:26,22,25,849,934
2023-06-15 09:35:28,23,25,849,934
2023-06-15 09:35:47,22,25,849,934
2023-06-15 09:36:38,22,25,849,934
2023-06-15 09:36:57,22,24,849,934
2023-06-15 09:37:01,22,25,849,934
2023-06-15 09:37:01,23,25,849,934
2023-06-15 09:37:09,23,24,849,934
2023-06-15 09:37:10,23,25,849,934
2023-06-15 09:37:12,23,24,849,934
2023-06-15 09:37:15,23,25,849,934
2023-06-15 09:37:40,23,24,849,934
2023-06-15 09:37:41,23,25,849,934
2023-06-15 09:38:43,23,24,849,934
2023-06-15 09:38:44,23,25,849,934
2023-06-15 09:38:55,23,24,849,934
2023-06-15 09:39:15,22,23,852,937
2023-06-15 09:39:16,21,22,856,941
2023-06-15 09:40:53,20,21,860,945
2023-06-15 09:41:49,19,20,864,949
2023-06-15 09:42:21,18,19,868,953
2023-06-15 09:42:48,17,19,875,960
2023-06-15 09:42:50,17,19,875,1360
2023-06-15 09:42:51,16,19,1054,1760
2023-06-15 09:43:00,17,19,1054,1760
2023-06-15 09:43:11,18,19,1054,1760
2023-06-15 09:43:11,17,19,1054,1760
2023-06-15 09:43:11,18,19,1054,1760
2023-06-15 09:43:12,17,19,1054,1760
2023-06-15 09:43:12,18,19,1054,1760
2023-06-15 09:43:37,17,19,1054,1760
2023-06-15 09:44:01,17,18,1054,1760
2023-06-15 09:44:12,16,17,1063,1769
2023-06-15 09:44:34,15,17,1063,1769
2023-06-15 09:44:34,15,16,1063,1769
2023-06-15 09:45:57,15,17,1413,2119
2023-06-15 09:46:06,16,17,1413,2119
2023-06-15 09:46:29,16,17,1413,2261
2023-06-15 09:47:03,15,17,1413,2261
2023-06-15 09:47:06,16,17,1413,2261
2023-06-15 09:47:52,16,17,1563,2411
2023-06-15 09:48:06,15,17,1563,2411
2023-06-15 09:48:25,15,16,1563,2411
2023-06-15 09:48:31,15,16,1963,2811
2023-06-15 09:48:34,15,16,2078,3211
2023-06-15 09:48:34,14,16,2078,3211
2023-06-15 09:48:36,14,15,2078,3211
2023-06-15 09:48:59,14,16,2078,3211
2023-06-15 09:49:11,15,16,2078,3211
2023-06-15 09:50:10,14,16,2078,3211
2023-06-15 09:50:31,14,15,2078,3211
2023-06-15 09:50:36,13,15,2078,3211
2023-06-15 09:50:37,13,14,2078,3211
2023-06-15 09:51:02,13,15,2078,3211
2023-06-15 09:51:36,13,14,2078,3211
2023-06-15 09:51:50,13,14,2078,3353
2023-06-15 09:51:59,12,13,2136,3411
2023-06-15 09:52:32,12,13,2146,3421
2023-06-15 09:52:38,12,14,2146,3421
2023-06-15 09:53:05,12,14,2326,3601
2023-06-15 09:53:37,12,13,2326,3601
2023-06-15 09:54:38,12,13,2326,3641
2023-06-15 09:55:28,12,14,2326,3641
2023-06-15 09:55:28,12,13,2326,3641
2023-06-15 09:55:30,12,14,2326,3641
2023-06-15 09:55:31,13,14,2326,3641
2023-06-15 09:56:16,12,14,2326,3691
2023-06-15 09:57:16,12,13,2326,3691
2023-06-15 09:57:29,12,14,2326,3691
2023-06-15 09:58:26,13,14,2326,3691
2023-06-15 09:58:27,13,15,2326,3691
2023-06-15 09:58:29,14,15,2326,3691
2023-06-15 09:58:56,14,16,2326,3691
2023-06-15 09:58:56,15,16,2326,3691
2023-06-15 09:58:57,14,16,2337,3991
2023-06-15 09:58:57,14,15,2337,3991
2023-06-15 09:58:59,14,15,2437,4091
2023-06-15 09:59:34,12,15,2437,4091
2023-06-15 09:59:35,12,14,2437,4091
2023-06-15 09:59:40,13,14,2437,4091
2023-06-15 09:59:41,13,14,2426,4491
2023-06-15 09:59:42,12,14,2426,4491
2023-06-15 09:59:42,12,15,2426,4591
2023-06-15 09:59:46,13,15,2426,4591
2023-06-15 09:59:57,12,15,2426,4591
2023-06-15 10:00:09,12,14,2426,4591
2023-06-15 10:00:26,12,15,2426,4591
2023-06-15 10:00:36,13,15,2426,4591
2023-06-15 10:01:00,14,15,2426,4591
2023-06-15 10:01:12,13,15,2426,4591
2023-06-15 10:01:21,14,15,2426,4591
2023-06-15 10:01:35,13,15,2426,4591
2023-06-15 10:01:41,12,15,2426,4591
2023-06-15 10:01:45,13,15,2426,4591
2023-06-15 10:01:46,12,15,2426,4591
2023-06-15 10:02:02,13,15,2426,4591
2023-06-15 10:02:02,12,15,2626,4791
2023-06-15 10:02:05,13,15,2626,4791
2023-06-15 10:02:26,13,14,2626,4791
2023-06-15 10:02:27,13,14,2226,5191
2023-06-15 10:02:28,13,14,2326,5391
2023-06-15 10:02:28,12,14,2626,5691
2023-06-15 10:02:31,12,13,2626,5691
2023-06-15 10:03:27,12,15,2626,5691
2023-06-15 10:03:27,12,14,2626,5691
2023-06-15 10:03:33,12,13,2626,5691
2023-06-15 10:04:31,12,14,2626,5691
2023-06-15 10:04:35,12,13,2626,5691
2023-06-15 10:05:04,11,13,2626,5691
2023-06-15 10:05:37,11,12,2626,5691
2023-06-15 10:05:37,11,13,2326,5991
2023-06-15 10:06:40,11,12,2326,5991
2023-06-15 10:06:53,10,12,2336,6001
2023-06-15 10:06:55,10,11,2336,6001
2023-06-15 10:07:43,9,11,2586,6251
2023-06-15 10:07:56,9,10,2586,6251
2023-06-15 10:08:19,9,10,2475,6651
2023-06-15 10:09:13,8,10,2475,6651
2023-06-15 10:09:22,8,9,2475,6651
2023-06-15 10:10:23,7,9,2486,6851
2023-06-15 10:10:23,7,8,2486,6851
2023-06-15 10:10:53,7,9,2486,7151
2023-06-15 10:11:05,8,9,2486,7151
2023-06-15 10:11:57,8,9,2486,7153
2023-06-15 10:12:05,7,10,2486,7153
2023-06-15 10:12:08,8,10,2486,7153
2023-06-15 10:12:31,8,9,2486,7153
2023-06-15 10:12:44,8,10,2486,7153
2023-06-15 10:13:09,9,10,2486,7153
2023-06-15 10:14:14,8,10,2486,7153
2023-06-15 10:15:15,9,10,2486,7153
2023-06-15 10:16:13,8,10,2486,7153
2023-06-15 10:16:24,9,10,2486,7153
2023-06-15 10:17:15,8,10,2486,7153
2023-06-15 10:17:15,9,10,2486,7153
2023-06-15 10:17:44,9,11,2486,7153
2023-06-15 10:17:45,10,11,2486,7153
2023-06-15 10:18:00,10,12,2486,7153
2023-06-15 10:18:45,9,12,2486,7153
2023-06-15 10:18:46,10,12,2486,7153
2023-06-15 10:19:38,10,12,2486,7553
2023-06-15 10:19:39,10,11,2486,7553
2023-06-15 10:19:48,9,11,2486,7553
2023-06-15 10:19:49,10,11,2486,7553
2023-06-15 10:20:46,9,11,2486,7553
2023-06-15 10:21:28,9,10,2486,7553
2023-06-15 10:21:43,8,10,2486,7553
2023-06-15 10:22:09,7,10,2486,7553
2023-06-15 10:22:09,7,9,2486,7553
2023-06-15 10:22:17,8,9,2486,7553
2023-06-15 10:22:19,8,10,2486,7553
2023-06-15 10:23:04,9,10,2486,7553
2023-06-15 10:23:08,9,11,2486,7553
2023-06-15 10:23:08,10,11,2486,7553
2023-06-15 10:23:36,9,11,2499,7753
2023-06-15 10:24:08,8,11,2499,7753
2023-06-15 10:24:09,9,11,2499,7753
2023-06-15 10:24:09,9,10,2499,7753
2023-06-15 10:25:07,8,10,2499,7753
2023-06-15 10:25:09,7,10,2499,7753
2023-06-15 10:25:09,8,10,2499,7753
2023-06-15 10:25:09,8,9,2499,7753
2023-06-15 10:26:06,8,10,2499,7753
2023-06-15 10:26:51,8,9,2499,7753
2023-06-15 10:26:55,7,9,2499,7753
2023-06-15 10:26:55,7,8,2499,7753
2023-06-15 10:27:33,6,7,2736,8003
2023-06-15 10:28:31,6,8,2736,8003
2023-06-15 10:28:49,6,8,2738,8005
2023-06-15 10:29:38,6,7,2738,8005
2023-06-15 10:29:38,6,7,2936,8203
2023-06-15 10:29:38,6,7,2936,8403
2023-06-15 10:30:35,5,7,2936,8403
