datetime,bid,ask,open_interest,volume
2023-10-17 09:30:07,10,20,172,172
2023-10-17 09:30:07,10,23,172,172
2023-10-17 09:30:07,10,26,172,172
2023-10-17 09:30:07,10,43,172,172
2023-10-17 09:30:12,10,18,172,172
2023-10-17 09:30:15,0,18,172,172
2023-10-17 09:31:00,12,18,172,172
2023-10-17 09:31:00,12,16,172,172
2023-10-17 09:31:00,13,16,172,172
2023-10-17 09:31:01,14,16,172,172
2023-10-17 09:31:01,14,16,218,218
2023-10-17 09:31:02,13,16,218,218
2023-10-17 09:31:10,13,17,218,218
2023-10-17 09:31:10,14,17,218,218
2023-10-17 09:31:11,13,17,218,218
2023-10-17 09:31:11,14,17,218,218
2023-10-17 09:31:12,14,16,218,218
2023-10-17 09:31:15,13,16,218,218
2023-10-17 09:31:15,14,16,218,218
2023-10-17 09:31:17,13,16,218,218
2023-10-17 09:31:17,14,16,218,218
2023-10-17 09:31:18,13,16,218,218
2023-10-17 09:31:20,14,16,218,218
2023-10-17 09:31:21,13,16,218,218
2023-10-17 09:31:25,14,16,218,218
2023-10-17 09:31:28,13,16,218,218
2023-10-17 09:31:44,13,15,218,218
2023-10-17 09:31:48,13,16,218,218
2023-10-17 09:31:51,13,15,218,218
2023-10-17 09:31:54,13,16,218,218
2023-10-17 09:31:55,14,16,218,218
2023-10-17 09:32:06,14,17,218,218
2023-10-17 09:32:15,14,16,218,218
2023-10-17 09:32:18,13,16,218,218
2023-10-17 09:32:26,13,15,218,218
2023-10-17 09:33:02,13,16,218,218
2023-10-17 09:33:02,14,16,218,218
2023-10-17 09:33:02,14,16,278,278
2023-10-17 09:33:07,14,17,278,278
2023-10-17 09:33:10,14,16,278,278
2023-10-17 09:33:22,14,17,278,278
2023-10-17 09:33:28,15,17,278,278
2023-10-17 09:33:40,14,17,278,278
2023-10-17 09:33:49,15,17,278,278
2023-10-17 09:34:13,16,17,278,278
2023-10-17 09:34:14,16,18,278,278
2023-10-17 09:34:38,15,18,278,278
2023-10-17 09:34:40,16,18,278,278
2023-10-17 09:34:45,15,18,278,278
2023-10-17 09:34:47,15,17,278,278
2023-10-17 09:35:01,14,17,278,278
2023-10-17 09:35:06,14,16,278,278
2023-10-17 09:35:09,14,16,278,328
2023-10-17 09:35:09,15,16,278,328
2023-10-17 09:35:09,14,16,278,378
