time,ask,high_option_ask,low_option_ask,spx_price
09:31,35,9.5,2.6,5078.14
09:32,37,9.0,2.5,5075.32
09:33,37,8.5,2.55,5073.44
09:34,35,9.5,2.15,5079.42
09:35,35,8.9,2.0,5082.93
09:36,38,8.3,2.35,5082.61
09:37,38,7.9,2.4,5081.3
09:38,38,8.1,2.35,5082.43
09:39,39,7.9,2.45,5084.8
09:40,40,7.1,2.9,5088.64
09:41,39,7.5,2.45,5083.57
09:42,38,7.4,2.65,5083.7
09:43,39,7.9,2.5,5084.42
09:44,40,6.8,3.0,5083.01
09:45,41,6.8,2.9,5085.25
09:46,40,7.3,2.6,5086.48
09:47,40,7.4,2.6,5086.6
09:48,39,7.3,2.65,5088.08
09:49,40,7.5,2.55,5085.92
09:50,40,7.3,2.65,5089.65
09:51,41,6.2,3.3,5093.84
09:52,41,6.4,3.1,5095.55
09:53,42,5.8,3.4,5093.49
09:54,42,6.3,3.0,5094.61
09:55,42,6.1,3.1,5095.48
09:56,42,5.9,3.2,5097.77
09:57,41,6.3,3.0,5095.22
09:58,41,6.9,2.6,5096.56
09:59,41,6.5,2.8,5095.43
10:00,41,6.6,2.7,5094.32
10:01,40,7.5,2.25,5094.97
10:02,40,8.0,1.9,5096.43
10:03,41,7.3,2.15,5097.35
10:04,40,7.4,2.1,5100.53
10:05,40,7.7,2.0,5101.01
10:06,42,6.5,2.5,5099.81
10:07,42,6.2,2.65,5095.05
10:08,42,6.3,2.6,5099.42
10:09,42,6.0,2.9,5101.63
10:10,42,5.8,2.9,5101.5
10:11,42,6.4,2.55,5102.38
10:12,42,5.6,2.9,5103.36
10:13,42,6.2,2.6,5104.91
10:14,42,6.2,2.6,5104.39
10:15,42,6.3,2.35,5104.38
10:16,43,6.2,2.3,5102.92
10:17,43,5.8,2.6,5104.88
10:18,42,6.0,2.5,5104.13
10:19,43,6.6,2.0,5103.41
10:20,44,6.2,2.2,5103.33
10:21,44,5.2,3.0,5101.99
10:22,44,5.0,2.9,5101.01
10:23,44,5.7,2.55,5101.54
10:24,45,5.5,2.65,5103.83
10:25,44,5.1,2.9,5104.53
10:26,44,5.5,2.7,5102.66
10:27,44,5.6,2.6,5103.12
10:28,43,5.6,2.6,5102.31
