time,ask,high_option_ask,low_option_ask,spx_price
09:31,42,6.7,1.85,5078.14
09:32,43,7.2,1.85,5075.32
09:33,44,7.3,1.8,5073.44
09:34,44,6.5,1.95,5079.42
09:35,44,7.0,1.75,5082.93
09:36,44,6.5,1.9,5082.61
09:37,45,6.2,2.0,5081.3
09:38,43,6.7,1.65,5082.43
09:39,45,6.8,1.65,5084.8
09:40,45,6.4,1.65,5088.64
09:41,45,6.8,1.55,5083.57
09:42,46,6.5,1.6,5083.7
09:43,47,5.6,1.7,5084.42
09:44,48,6.2,1.55,5083.01
09:45,47,5.7,1.7,5085.25
09:46,48,5.7,1.55,5086.48
09:47,50,4.8,1.8,5086.6
09:48,50,4.4,2.05,5088.08
09:49,51,4.7,2.0,5085.92
09:50,51,4.4,2.05,5089.65
09:51,51,4.1,2.25,5093.84
09:52,49,4.3,2.05,5095.55
09:53,49,5.7,1.35,5093.49
09:54,50,5.0,1.7,5094.61
09:55,50,4.8,1.8,5095.48
09:56,50,4.2,2.05,5097.77
09:57,49,5.1,1.55,5095.22
09:58,50,4.7,1.75,5096.56
09:59,50,5.0,1.65,5095.43
10:00,51,4.0,2.1,5094.32
10:01,50,4.7,1.85,5094.97
10:02,50,4.4,1.95,5096.43
10:03,51,4.4,2.0,5097.35
10:04,51,3.9,2.15,5100.53
10:05,50,4.6,1.75,5101.01
10:06,49,5.5,1.45,5099.81
10:07,51,4.8,1.85,5095.05
10:08,47,5.2,1.6,5099.42
10:09,49,5.5,1.55,5101.63
10:10,50,4.2,2.1,5101.5
10:11,47,5.1,1.65,5102.38
10:12,44,6.1,1.4,5103.36
10:13,43,6.9,1.15,5104.91
10:14,42,7.0,1.15,5104.39
10:15,39,7.0,1.1,5104.38
10:16,37,5.7,0.8,5102.92
10:17,37,5.5,0.8,5104.88
10:18,38,6.4,0.95,5104.13
10:19,38,6.3,0.85,5103.41
10:20,36,5.6,0.75,5103.33
10:21,32,5.3,0.75,5101.99
10:22,31,4.5,0.6,5101.01
10:23,33,4.6,0.65,5101.54
10:24,32,4.7,0.65,5103.83
10:25,33,4.6,0.6,5104.53
10:26,34,5.0,0.7,5102.66
10:27,34,4.8,0.65,5103.12
10:28,33,4.9,0.7,5102.31
10:29,31,4.4,0.6,5099.75
10:30,30,4.4,0.6,5096.99
10:31,29,4.0,0.55,5094.4
10:32,30,4.4,0.6,5096.3
10:33,28,4.0,0.6,5100.6
10:34,28,4.4,0.65,5100.6
10:35,31,4.3,0.6,5101.44
10:36,29,4.4,0.6,5102.86
10:37,29,4.2,0.6,5100.97
10:38,30,4.3,0.6,5099.85
10:39,28,4.1,0.55,5099.98
10:40,32,4.1,0.6,5100.29
10:41,33,4.8,0.65,5100.88
10:42,33,5.1,0.7,5101.24
10:43,33,4.9,0.65,5101.6
10:44,32,4.9,0.7,5099.02
10:45,34,4.8,0.65,5099.13
10:46,34,4.8,0.65,5098.19
10:47,33,5.0,0.65,5098.66
10:48,32,4.9,0.65,5100.48
10:49,32,4.6,0.6,5102.25
10:50,32,4.6,0.6,5102.5
10:51,32,4.4,0.55,5098.52
10:52,33,4.8,0.6,5098.62
10:53,32,4.4,0.6,5099.77
10:54,34,4.6,0.6,5102.87
10:55,35,4.9,0.6,5104.58
10:56,35,4.9,0.65,5104.33
10:57,34,4.8,0.65,5104.88
10:58,35,4.9,0.65,5103.6
10:59,32,4.5,0.6,5103.75
11:00,30,4.0,0.55,5103.58
11:01,30,3.7,0.5,5104.64
