time,ask,high_option_ask,low_option_ask,spx_price
09:31,35,0.4,4.2,5078.14
09:32,34,0.35,4.3,5075.32
09:33,37,0.4,4.8,5073.44
09:34,39,0.45,5.5,5079.42
09:35,40,0.45,5.6,5082.93
09:36,42,0.45,5.7,5082.61
09:37,42,0.45,5.5,5081.3
09:38,43,0.45,5.6,5082.43
09:39,41,0.45,5.9,5084.8
09:40,40,0.4,5.3,5088.64
09:41,38,0.35,4.9,5083.57
09:42,38,0.35,4.6,5083.7
09:43,41,0.4,5.3,5084.42
09:44,45,0.45,5.7,5083.01
09:45,46,0.45,6.1,5085.25
09:46,47,0.45,5.6,5086.48
09:47,45,0.35,5.8,5086.6
09:48,45,0.35,5.7,5088.08
09:49,43,0.35,5.3,5085.92
09:50,46,0.4,5.8,5089.65
09:51,44,0.4,5.9,5093.84
09:52,44,0.35,5.2,5095.55
09:53,45,0.35,5.7,5093.49
09:54,44,0.35,5.4,5094.61
09:55,43,0.3,5.1,5095.48
09:56,43,0.3,5.0,5097.77
09:57,46,0.3,5.6,5095.22
09:58,48,0.35,5.7,5096.56
09:59,48,0.3,5.8,5095.43
10:00,50,0.3,6.3,5094.32
10:01,53,0.3,4.7,5094.97
10:02,54,0.25,5.1,5096.43
10:03,54,0.25,4.9,5097.35
10:04,52,0.25,4.8,5100.53
10:05,50,0.25,5.2,5101.01
10:06,50,0.25,5.3,5099.81
10:07,52,0.25,4.8,5095.05
10:08,52,0.25,4.7,5099.42
10:09,53,0.25,4.5,5101.63
10:10,54,0.25,4.2,5101.5
10:11,53,0.25,4.5,5102.38
10:12,51,0.25,4.3,5103.36
10:13,47,0.2,4.7,5104.91
10:14,49,0.2,4.9,5104.39
10:15,50,0.2,4.8,5104.38
10:16,50,0.2,4.4,5102.92
10:17,51,0.2,4.5,5104.88
10:18,51,0.2,4.5,5104.13
10:19,47,0.15,4.7,5103.41
10:20,46,0.15,4.3,5103.33
10:21,44,0.15,4.3,5101.99
10:22,40,0.15,3.7,5101.01
10:23,45,0.15,3.9,5101.54
10:24,49,0.15,4.5,5103.83
10:25,51,0.15,4.3,5104.53
10:26,53,0.15,4.3,5102.66
10:27,53,0.15,3.9,5103.12
10:28,51,0.15,4.0,5102.31
10:29,50,0.15,4.4,5099.75
10:30,54,0.15,4.0,5096.99
10:31,52,0.15,3.7,5094.4
10:32,46,0.15,4.0,5096.3
10:33,47,0.1,3.9,5100.6
10:34,50,0.15,4.3,5100.6
10:35,52,0.15,4.1,5101.44
10:36,47,0.15,4.2,5102.86
10:37,47,0.1,3.4,5100.97
10:38,47,0.15,4.1,5099.85
10:39,43,0.1,3.6,5099.98
10:40,43,0.1,3.4,5100.29
10:41,43,0.1,3.4,5100.88
10:42,44,0.1,3.6,5101.24
10:43,39,0.1,3.1,5101.6
10:44,38,0.1,2.75,5099.02
10:45,39,0.1,3.2,5099.13
10:46,40,0.1,3.0,5098.19
10:47,40,0.1,3.0,5098.66
10:48,39,0.1,3.1,5100.48
10:49,42,0.1,2.9,5102.25
10:50,44,0.1,3.4,5102.5
10:51,41,0.1,3.3,5098.52
10:52,37,0.1,2.55,5098.62
10:53,42,0.1,3.1,5099.77
10:54,46,0.1,3.5,5102.87
10:55,49,0.1,3.8,5104.58
10:56,49,0.1,3.6,5104.33
10:57,51,0.1,3.8,5104.88
10:58,47,0.1,3.4,5103.6
10:59,41,0.1,2.8,5103.75
11:00,42,0.1,2.75,5103.58
11:01,44,0.1,3.2,5104.64
11:02,47,0.1,3.3,5106.19
11:03,47,0.1,3.2,5108.54
11:04,46,0.1,3.4,5110.35
11:05,47,0.1,2.9,5107.21
11:06,50,0.1,3.5,5107.24
11:07,54,0.1,3.5,5105.09
11:08,57,0.1,3.0,5105.6
11:09,57,0.1,2.95,5104.73
11:10,57,0.1,2.95,5103.31
11:11,56,0.1,3.3,5101.79
11:12,56,0.1,3.0,5096.71
11:13,57,0.1,3.1,5095.26
11:14,59,0.1,2.85,5096.29
11:15,58,0.1,2.65,5096.72
11:16,53,0.1,3.0,5096.33
11:17,55,0.1,3.3,5096.5
11:18,56,0.1,2.85,5095.95
11:19,53,0.15,2.9,5096.96
11:20,51,0.1,3.2,5098.99
11:21,52,0.1,3.1,5097.43
11:22,51,0.1,3.2,5095.98
11:23,55,0.1,3.0,5096.04
11:24,56,0.1,2.7,5094.91
11:25,55,0.1,2.6,5095.8
11:26,52,0.1,2.9,5096.03
11:27,51,0.1,2.85,5097.41
11:28,54,0.1,2.6,5098.41
11:29,57,0.1,2.65,5099.32
11:30,59,0.1,2.45,5097.88
11:31,58,0.1,2.2,5096.83
11:32,55,0.1,2.5,5098.43
11:33,53,0.1,2.6,5098.14
11:34,55,0.1,2.55,5096.58
11:35,56,0.1,2.2,5096.85
11:36,55,0.1,2.4,5097.48
11:37,59,0.1,2.25,5097.42
11:38,60,0.1,2.05,5098.86
11:39,63,0.1,1.9,5098.45
11:40,62,0.1,2.05,5098.62
11:41,63,0.1,2.0,5097.95
11:42,64,0.1,1.9,5100.09
11:43,61,0.1,1.8,5100.31
11:44,60,0.1,2.2,5102.31
11:45,62,0.1,1.85,5104.06
11:46,65,0.1,1.75,5104.6
11:47,65,0.1,1.65,5103.07
11:48,63,0.1,1.65,5103.37
11:49,60,0.1,1.9,5105.34
11:50,61,0.1,1.7,5104.58
11:51,61,0.1,1.85,5103.64
11:52,62,0.1,1.9,5104.02
11:53,65,0.1,1.7,5102.53
11:54,67,0.1,1.5,5100.6
11:55,67,0.1,1.35,5101.35
11:56,68,0.1,1.35,5101.28
11:57,65,0.1,1.45,5101.05
11:58,65,0.1,1.7,5100.96
11:59,64,0.1,1.75,5102.13
12:00,66,0.1,1.55,5101.56
12:01,65,0.1,1.55,5098.16
12:02,64,0.1,1.45,5100.43
12:03,65,0.1,1.5,5100.18
12:04,68,0.1,1.45,5099.68
12:05,67,0.1,1.35,5101.02
12:06,67,0.1,1.4,5100.12
12:07,67,0.05,1.2,5099.99
12:08,69,0.05,1.25,5099.37
12:09,68,0.05,1.3,5100.68
12:10,67,0.05,1.35,5101.3
12:11,67,0.05,1.35,5102.18
12:12,71,0.05,1.2,5101.48
12:13,75,0.05,0.95,5101.65
12:14,75,0.1,0.85,5102.17
12:15,75,0.1,0.9,5102.88
12:16,75,0.1,0.85,5102.72
12:17,76,0.1,0.85,5102.82
12:18,75,0.1,0.9,5102.0
12:19,74,0.05,1.05,5102.54
12:20,77,0.05,0.75,5103.01
12:21,79,0.05,0.7,5102.08
12:22,80,0.05,0.7,5103.19
12:23,81,0.05,0.65,5103.72
12:24,82,0.05,0.6,5103.31
12:25,84,0.05,0.55,5103.54
12:26,86,0.05,0.45,5104.82
12:27,85,0.05,0.4,5103.53
12:28,83,0.05,0.55,5104.23
12:29,86,0.05,0.5,5103.75
12:30,85,0.05,0.45,5104.33
12:31,85,0.05,0.45,5103.99
12:32,86,0.05,0.45,5102.53
12:33,85,0.05,0.45,5103.29
12:34,87,0.05,0.35,5104.29
12:35,88,0.05,0.35,5105.56
12:36,88,0.05,0.4,5105.28
12:37,88,0.05,0.35,5106.24
12:38,88,0.05,0.35,5106.89
12:39,89,0.05,0.35,5107.54
12:40,89,0.05,0.35,5108.19
12:41,88,0.05,0.35,5108.16
12:42,90,0.05,0.25,5108.06
12:43,91,0.05,0.3,5107.87
12:44,90,0.05,0.25,5106.11
12:45,91,0.05,0.2,5107.04
12:46,90,0.05,0.2,5106.98
12:47,91,0.05,0.2,5107.84
12:48,88,0.05,0.2,5106.24
12:49,90,0.05,0.25,5107.24
12:50,94,0.05,0.15,5107.4
12:51,91,0.05,0.15,5108.02
12:52,88,0.05,0.2,5107.74
12:53,86,0.05,0.2,5108.06
12:54,90,0.05,0.15,5108.3
