time,ask,high_option_ask,low_option_ask,spx_price
09:31,3,0.2,0.6,5078.14
09:32,3,0.15,0.55,5075.32
09:33,3,0.15,0.4,5073.44
09:34,3,0.15,0.35,5079.42
09:35,3,0.15,0.35,5082.93
09:36,3,0.15,0.35,5082.61
09:37,3,0.15,0.35,5081.3
09:38,3,0.15,0.35,5082.43
09:39,3,0.15,0.35,5084.8
09:40,3,0.15,0.4,5088.64
09:41,3,0.15,0.35,5083.57
09:42,3,0.15,0.35,5083.7
09:43,3,0.15,0.3,5084.42
09:44,3,0.15,0.3,5083.01
09:45,2,0.15,0.35,5085.25
09:46,2,0.15,0.3,5086.48
09:47,2,0.15,0.3,5086.6
09:48,2,0.15,0.3,5088.08
09:49,2,0.15,0.3,5085.92
09:50,2,0.15,0.3,5089.65
09:51,2,0.1,0.25,5093.84
09:52,2,0.1,0.25,5095.55
09:53,2,0.1,0.25,5093.49
09:54,2,0.1,0.25,5094.61
09:55,2,0.1,0.25,5095.48
09:56,2,0.1,0.25,5097.77
09:57,2,0.1,0.3,5095.22
09:58,2,0.1,0.3,5096.56
09:59,2,0.1,0.3,5095.43
10:00,2,0.1,0.3,5094.32
10:01,2,0.15,0.3,5094.97
10:02,2,0.1,0.25,5096.43
10:03,2,0.1,0.3,5097.35
10:04,2,0.1,0.3,5100.53
10:05,2,0.15,0.3,5101.01
10:06,2,0.1,0.35,5099.81
10:07,2,0.15,0.35,5095.05
10:08,2,0.15,0.3,5099.42
10:09,2,0.15,0.35,5101.63
10:10,3,0.15,0.35,5101.5
10:11,3,0.15,0.35,5102.38
10:12,3,0.15,0.35,5103.36
10:13,3,0.15,0.4,5104.91
10:14,3,0.15,0.35,5104.39
10:15,3,0.15,0.4,5104.38
10:16,3,0.15,0.4,5102.92
10:17,3,0.15,0.4,5104.88
10:18,3,0.15,0.35,5104.13
10:19,3,0.15,0.35,5103.41
10:20,3,0.15,0.35,5103.33
10:21,2,0.15,0.35,5101.99
10:22,2,0.1,0.25,5101.01
10:23,2,0.15,0.3,5101.54
10:24,2,0.1,0.25,5103.83
10:25,2,0.1,0.25,5104.53
10:26,2,0.1,0.25,5102.66
10:27,2,0.1,0.25,5103.12
10:28,2,0.1,0.25,5102.31
10:29,2,0.15,0.3,5099.75
10:30,2,0.15,0.3,5096.99
10:31,2,0.15,0.3,5094.4
10:32,2,0.15,0.25,5096.3
10:33,2,0.15,0.3,5100.6
10:34,2,0.15,0.3,5100.6
10:35,2,0.1,0.25,5101.44
10:36,2,0.15,0.3,5102.86
10:37,2,0.1,0.3,5100.97
10:38,2,0.15,0.3,5099.85
10:39,2,0.15,0.3,5099.98
10:40,2,0.1,0.3,5100.29
10:41,3,0.1,0.35,5100.88
10:42,4,0.15,0.4,5101.24
10:43,4,0.15,0.4,5101.6
10:44,4,0.15,0.45,5099.02
10:45,5,0.15,0.45,5099.13
10:46,7,0.15,0.55,5098.19
10:47,8,0.15,0.75,5098.66
10:48,7,0.15,0.6,5100.48
10:49,5,0.15,0.5,5102.25
10:50,5,0.15,0.6,5102.5
10:51,6,0.15,0.65,5098.52
10:52,6,0.15,0.7,5098.62
10:53,6,0.15,0.7,5099.77
10:54,6,0.15,0.7,5102.87
10:55,7,0.15,0.7,5104.58
10:56,7,0.15,0.7,5104.33
10:57,7,0.15,0.6,5104.88
10:58,6,0.15,0.55,5103.6
10:59,6,0.15,0.6,5103.75
11:00,6,0.15,0.6,5103.58
11:01,6,0.15,0.6,5104.64
11:02,7,0.15,0.55,5106.19
11:03,8,0.15,0.55,5108.54
11:04,7,0.15,0.6,5110.35
11:05,7,0.15,0.6,5107.21
11:06,8,0.15,0.65,5107.24
