time,ask,high_option_ask,low_option_ask,spx_price
09:31,34,3.1,10.8,5078.14
09:32,51,2.65,9.4,5075.32
09:33,25,2.15,8.1,5073.44
09:34,25,2.25,8.5,5079.42
09:35,26,2.1,8.2,5082.93
09:36,25,2.0,8.0,5082.61
09:37,24,1.7,7.1,5081.3
09:38,23,1.5,6.4,5082.43
09:39,23,1.4,6.0,5084.8
09:40,23,1.45,6.1,5088.64
09:41,24,1.65,7.0,5083.57
09:42,24,1.65,7.0,5083.7
09:43,24,1.65,7.1,5084.42
09:44,25,1.5,6.8,5083.01
09:45,26,1.7,7.4,5085.25
09:46,27,1.75,7.6,5086.48
09:47,27,1.5,6.8,5086.6
09:48,28,1.7,7.6,5088.08
09:49,25,1.5,7.0,5085.92
09:50,22,1.2,5.6,5089.65
09:51,23,1.05,5.1,5093.84
09:52,23,1.15,5.6,5095.55
09:53,23,1.05,5.2,5093.49
09:54,23,1.1,5.4,5094.61
09:55,23,1.25,5.9,5095.48
09:56,24,1.3,6.1,5097.77
09:57,25,1.45,6.6,5095.22
09:58,25,1.35,6.5,5096.56
09:59,24,1.2,5.9,5095.43
10:00,25,1.25,5.9,5094.32
10:01,26,1.5,7.5,5094.97
10:02,25,1.2,6.2,5096.43
10:03,27,1.25,6.5,5097.35
10:04,27,1.35,6.8,5100.53
10:05,27,1.45,7.2,5101.01
10:06,25,1.3,6.5,5099.81
10:07,24,1.1,5.6,5095.05
10:08,24,1.1,5.4,5099.42
10:09,24,1.0,5.1,5101.63
10:10,23,0.95,5.0,5101.5
10:11,21,0.85,4.3,5102.38
10:12,21,0.75,4.2,5103.36
10:13,21,0.75,4.1,5104.91
10:14,21,0.8,4.5,5104.39
10:15,21,0.75,4.3,5104.38
10:16,23,0.9,4.9,5102.92
10:17,23,0.9,5.1,5104.88
10:18,24,0.9,5.2,5104.13
10:19,22,0.8,4.6,5103.41
10:20,21,0.7,4.0,5103.33
10:21,20,0.65,4.0,5101.99
10:22,20,0.6,3.9,5101.01
10:23,20,0.7,4.1,5101.54
10:24,20,0.6,3.8,5103.83
10:25,20,0.6,3.7,5104.53
10:26,21,0.65,4.1,5102.66
10:27,22,0.8,4.8,5103.12
10:28,23,0.75,4.5,5102.31
10:29,24,0.8,5.0,5099.75
10:30,25,0.8,5.1,5096.99
10:31,23,0.8,4.9,5094.4
10:32,23,0.65,4.2,5096.3
10:33,23,0.8,5.1,5100.6
10:34,22,0.7,4.5,5100.6
10:35,23,0.75,4.7,5101.44
10:36,22,0.7,4.4,5102.86
10:37,23,0.8,5.0,5100.97
10:38,24,0.7,4.5,5099.85
10:39,25,0.75,4.9,5099.98
10:40,27,0.9,5.6,5100.29
10:41,29,1.0,6.2,5100.88
10:42,28,1.0,6.2,5101.24
10:43,28,0.9,5.9,5101.6
10:44,29,1.0,6.2,5099.02
10:45,31,1.0,6.3,5099.13
10:46,32,1.05,6.6,5098.19
10:47,32,1.05,6.7,5098.66
10:48,32,1.0,6.4,5100.48
10:49,28,0.9,5.9,5102.25
10:50,28,0.9,5.8,5102.5
10:51,30,0.9,6.0,5098.52
10:52,29,0.85,5.7,5098.62
10:53,29,0.85,5.5,5099.77
10:54,29,0.8,5.4,5102.87
10:55,30,0.85,5.6,5104.58
10:56,28,0.9,6.0,5104.33
10:57,28,0.85,5.8,5104.88
10:58,28,0.8,5.3,5103.6
10:59,28,0.8,5.5,5103.75
11:00,29,0.9,6.0,5103.58
11:01,30,0.95,6.3,5104.64
11:02,31,0.95,6.5,5106.19
11:03,31,0.95,6.5,5108.54
11:04,33,0.95,6.6,5110.35
11:05,34,0.9,6.5,5107.21
11:06,35,0.95,6.9,5107.24
11:07,36,1.05,7.1,5105.09
11:08,36,1.05,7.3,5105.6
11:09,36,1.0,7.1,5104.73
11:10,37,1.05,7.3,5103.31
11:11,38,1.05,7.6,5101.79
11:12,39,1.05,7.7,5096.71
11:13,40,1.05,7.8,5095.26
11:14,41,1.15,8.2,5096.29
11:15,41,1.15,8.2,5096.72
11:16,39,1.25,8.4,5096.33
11:17,34,0.85,6.4,5096.5
11:18,32,0.7,5.2,5095.95
11:19,33,0.8,6.1,5096.96
11:20,32,0.75,5.6,5098.99
11:21,31,0.8,5.9,5097.43
11:22,31,0.75,5.6,5095.98
11:23,31,0.7,5.6,5096.04
11:24,31,0.7,5.4,5094.91
11:25,32,0.75,5.8,5095.8
11:26,31,0.75,5.8,5096.03
11:27,30,0.65,5.4,5097.41
11:28,30,0.6,4.9,5098.41
11:29,30,0.65,5.2,5099.32
11:30,30,0.6,5.1,5097.88
11:31,28,0.6,4.9,5096.83
11:32,28,0.45,4.1,5098.43
11:33,27,0.45,4.3,5098.14
11:34,25,0.4,3.7,5096.58
11:35,24,0.4,3.6,5096.85
11:36,24,0.35,3.3,5097.48
11:37,23,0.4,3.5,5097.42
11:38,23,0.4,3.6,5098.86
11:39,22,0.35,3.3,5098.45
11:40,20,0.35,3.1,5098.62
11:41,19,0.3,2.45,5097.95
11:42,19,0.3,2.65,5100.09
11:43,20,0.3,2.75,5100.31
11:44,20,0.35,2.8,5102.31
11:45,19,0.3,2.55,5104.06
11:46,19,0.3,2.6,5104.6
11:47,20,0.3,2.7,5103.07
11:48,20,0.35,2.9,5103.37
11:49,20,0.3,2.55,5105.34
11:50,20,0.3,2.8,5104.58
11:51,20,0.3,2.55,5103.64
11:52,20,0.3,2.65,5104.02
11:53,21,0.3,2.6,5102.53
11:54,21,0.35,3.3,5100.6
11:55,20,0.3,2.65,5101.35
11:56,20,0.35,2.9,5101.28
11:57,19,0.35,2.6,5101.05
11:58,20,0.35,2.8,5100.96
11:59,21,0.4,2.95,5102.13
12:00,22,0.4,3.4,5101.56
12:01,25,0.45,3.9,5098.16
12:02,25,0.5,3.9,5100.43
12:03,26,0.5,4.0,5100.18
12:04,26,0.5,4.0,5099.68
12:05,27,0.5,4.2,5101.02
12:06,27,0.5,4.1,5100.12
12:07,26,0.45,3.8,5099.99
12:08,27,0.45,4.2,5099.37
12:09,27,0.5,4.3,5100.68
12:10,28,0.45,4.1,5101.3
12:11,29,0.5,4.4,5102.18
12:12,31,0.5,4.7,5101.48
12:13,32,0.55,5.0,5101.65
12:14,32,0.6,5.5,5102.17
12:15,32,0.55,5.4,5102.88
12:16,33,0.55,5.2,5102.72
12:17,35,0.6,5.9,5102.82
12:18,35,0.6,5.7,5102.0
12:19,37,0.55,5.6,5102.54
12:20,38,0.65,6.3,5103.01
12:21,38,0.65,6.3,5102.08
12:22,38,0.65,6.4,5103.19
12:23,41,0.85,7.4,5103.72
12:24,39,1.05,8.5,5103.31
12:25,37,0.75,6.9,5103.54
12:26,36,0.65,6.0,5104.82
12:27,35,0.7,6.2,5103.53
12:28,36,0.7,6.0,5104.23
12:29,37,0.75,6.5,5103.75
12:30,38,0.75,6.8,5104.33
12:31,37,0.7,6.5,5103.99
12:32,37,0.7,6.3,5102.53
12:33,37,0.7,6.1,5103.29
12:34,34,0.65,5.7,5104.29
12:35,33,0.45,4.5,5105.56
12:36,34,0.55,5.1,5105.28
12:37,34,0.55,5.3,5106.24
12:38,34,0.5,5.3,5106.89
12:39,34,0.5,5.0,5107.54
12:40,37,0.55,5.6,5108.19
12:41,38,0.75,6.8,5108.16
12:42,38,0.65,6.4,5108.06
12:43,38,0.65,6.4,5107.87
12:44,38,0.7,6.6,5106.11
12:45,37,0.6,5.9,5107.04
12:46,36,0.55,5.6,5106.98
12:47,37,0.6,5.8,5107.84
12:48,36,0.5,5.4,5106.24
12:49,35,0.55,5.5,5107.24
12:50,36,0.5,5.5,5107.4
12:51,37,0.5,5.6,5108.02
12:52,37,0.55,5.9,5107.74
12:53,38,0.55,5.9,5108.06
