time,ask,high_option_ask,low_option_ask,spx_price
09:31,32,4.6,10.3,5078.14
09:32,32,4.1,11.7,5075.32
09:33,32,4.2,11.5,5073.44
09:34,32,4.8,10.7,5079.42
09:35,32,5.9,8.9,5082.93
09:36,32,5.2,10.3,5082.61
09:37,32,5.1,10.6,5081.3
09:38,31,4.4,11.8,5082.43
09:39,32,4.4,11.9,5084.8
09:40,29,4.3,12.1,5088.64
09:41,29,3.9,13.3,5083.57
09:42,30,4.4,12.1,5083.7
09:43,30,3.7,13.0,5084.42
09:44,31,3.8,13.0,5083.01
09:45,30,3.7,12.9,5085.25
09:46,31,3.8,13.0,5086.48
09:47,31,4.5,11.4,5086.6
09:48,31,4.6,11.5,5088.08
09:49,31,3.9,12.8,5085.92
09:50,31,4.0,12.7,5089.65
09:51,31,3.7,13.4,5093.84
09:52,31,3.7,12.8,5095.55
09:53,31,3.8,13.2,5093.49
09:54,30,3.7,12.8,5094.61
09:55,32,4.1,12.4,5095.48
09:56,31,4.5,11.2,5097.77
09:57,31,3.8,12.7,5095.22
09:58,31,4.2,11.5,5096.56
09:59,31,3.8,12.5,5095.43
10:00,31,4.2,11.5,5094.32
10:01,29,3.6,13.1,5094.97
10:02,30,3.1,11.2,5096.43
10:03,31,3.2,11.7,5097.35
10:04,31,3.4,12.1,5100.53
10:05,31,3.6,12.1,5101.01
10:06,32,3.8,11.7,5099.81
10:07,34,4.9,9.0,5095.05
10:08,34,5.0,9.4,5099.42
10:09,34,4.8,9.5,5101.63
10:10,32,3.9,11.2,5101.5
10:11,32,3.6,12.0,5102.38
10:12,32,3.7,11.5,5103.36
10:13,32,3.3,12.2,5104.91
10:14,32,3.5,12.3,5104.39
10:15,32,3.7,11.5,5104.38
10:16,32,3.3,12.4,5102.92
10:17,33,3.8,10.9,5104.88
10:18,33,4.1,10.0,5104.13
10:19,34,4.4,9.5,5103.41
10:20,34,6.3,7.4,5103.33
10:21,34,6.8,6.9,5101.99
10:22,34,6.3,7.3,5101.01
10:23,35,6.5,7.0,5101.54
10:24,35,6.6,6.8,5103.83
10:25,35,6.6,7.1,5104.53
10:26,35,5.4,8.3,5102.66
10:27,35,4.3,10.0,5103.12
10:28,34,4.6,9.4,5102.31
10:29,32,4.0,10.5,5099.75
10:30,31,2.9,11.6,5096.99
10:31,31,2.65,10.9,5094.4
10:32,31,3.1,11.8,5096.3
10:33,31,2.85,11.3,5100.6
10:34,30,2.5,10.5,5100.6
10:35,29,2.35,10.1,5101.44
10:36,28,2.25,9.9,5102.86
10:37,28,2.0,9.1,5100.97
10:38,27,1.8,8.3,5099.85
10:39,27,1.95,8.6,5099.98
10:40,27,2.0,8.9,5100.29
10:41,27,1.7,8.1,5100.88
10:42,27,1.6,7.9,5101.24
10:43,28,1.6,7.9,5101.6
10:44,29,1.85,8.8,5099.02
10:45,30,1.9,8.9,5099.13
10:46,30,1.95,9.2,5098.19
10:47,29,1.8,8.7,5098.66
10:48,29,1.8,8.6,5100.48
10:49,28,1.85,8.8,5102.25
10:50,28,1.55,7.8,5102.5
10:51,25,1.55,7.8,5098.52
10:52,25,1.15,6.0,5098.62
10:53,24,1.2,6.3,5099.77
10:54,24,1.2,6.3,5102.87
10:55,24,1.0,5.6,5104.58
10:56,25,1.0,5.6,5104.33
10:57,25,1.2,6.5,5104.88
10:58,26,1.25,6.6,5103.6
10:59,25,1.15,6.3,5103.75
11:00,26,1.15,6.2,5103.58
11:01,27,1.1,6.3,5104.64
11:02,28,1.25,7.0,5106.19
11:03,30,1.4,7.5,5108.54
11:04,30,1.6,8.5,5110.35
11:05,29,1.55,8.1,5107.21
11:06,27,1.25,7.0,5107.24
11:07,26,1.2,6.9,5105.09
11:08,25,1.1,6.4,5105.6
11:09,25,1.05,6.1,5104.73
11:10,24,1.0,5.8,5103.31
11:11,25,0.9,5.6,5101.79
11:12,24,0.95,5.7,5096.71
11:13,25,1.15,6.6,5095.26
11:14,26,1.2,6.8,5096.29
11:15,26,1.1,6.5,5096.72
11:16,27,1.3,7.2,5096.33
11:17,28,1.05,6.3,5096.5
11:18,29,1.35,7.4,5095.95
11:19,30,1.55,8.3,5096.96
11:20,29,1.45,7.9,5098.99
11:21,30,1.5,8.0,5097.43
11:22,28,1.25,7.0,5095.98
11:23,28,1.4,7.5,5096.04
11:24,29,1.4,7.4,5094.91
11:25,30,1.45,7.7,5095.8
11:26,32,1.75,9.0,5096.03
11:27,32,1.65,8.6,5097.41
11:28,30,1.6,8.4,5098.41
11:29,29,1.25,7.0,5099.32
11:30,28,1.25,7.1,5097.88
11:31,29,1.25,7.1,5096.83
11:32,30,1.3,7.4,5098.43
11:33,29,1.35,7.4,5098.14
11:34,28,1.3,7.2,5096.58
11:35,29,1.25,7.0,5096.85
11:36,29,1.3,7.3,5097.48
11:37,30,1.3,7.3,5097.42
11:38,30,1.3,7.4,5098.86
11:39,31,1.4,7.8,5098.45
11:40,30,1.35,7.5,5098.62
11:41,29,1.35,7.3,5097.95
11:42,30,1.25,7.0,5100.09
