time,ask,high_option_ask,low_option_ask,spx_price
09:31,36,0.9,6.7,5078.14
09:32,37,0.95,7.3,5075.32
09:33,40,1.25,8.0,5073.44
09:34,41,1.25,7.9,5079.42
09:35,43,1.4,7.0,5082.93
09:36,43,1.4,6.9,5082.61
09:37,44,1.4,6.8,5081.3
09:38,43,1.45,6.4,5082.43
09:39,44,1.3,6.9,5084.8
09:40,45,1.4,6.5,5088.64
09:41,45,1.55,5.9,5083.57
09:42,46,1.35,6.3,5083.7
09:43,45,1.3,6.4,5084.42
09:44,43,1.1,7.1,5083.01
09:45,45,1.2,6.6,5085.25
09:46,44,1.1,7.0,5086.48
09:47,45,1.0,7.2,5086.6
09:48,43,1.1,6.7,5088.08
09:49,41,0.9,7.7,5085.92
09:50,41,0.9,7.4,5089.65
09:51,43,0.85,8.0,5093.84
09:52,44,0.8,7.4,5095.55
09:53,45,0.95,6.8,5093.49
09:54,46,0.95,6.6,5094.61
09:55,46,0.95,6.4,5095.48
09:56,46,0.95,6.3,5097.77
09:57,48,1.0,5.9,5095.22
09:58,48,1.05,5.3,5096.56
09:59,48,1.05,5.3,5095.43
10:00,47,1.05,5.5,5094.32
10:01,47,0.9,5.9,5094.97
10:02,47,0.85,6.1,5096.43
10:03,48,0.85,6.1,5097.35
10:04,47,0.95,5.6,5100.53
10:05,45,0.85,6.2,5101.01
10:06,45,0.85,6.4,5099.81
10:07,44,0.75,7.1,5095.05
10:08,44,0.75,6.9,5099.42
10:09,42,0.75,7.1,5101.63
10:10,43,0.7,7.5,5101.5
10:11,42,0.75,7.0,5102.38
10:12,46,0.75,6.7,5103.36
10:13,48,0.8,6.0,5104.91
10:14,48,0.8,5.9,5104.39
10:15,47,0.8,5.6,5104.38
10:16,46,0.7,6.2,5102.92
10:17,48,0.75,6.0,5104.88
10:18,48,0.75,6.0,5104.13
10:19,49,0.8,5.8,5103.41
10:20,48,0.75,5.7,5103.33
10:21,45,0.6,6.5,5101.99
10:22,42,0.5,6.6,5101.01
10:23,43,0.5,6.6,5101.54
10:24,41,0.5,6.4,5103.83
10:25,36,0.5,6.1,5104.53
10:26,35,0.4,5.3,5102.66
10:27,34,0.4,5.0,5103.12
10:28,34,0.35,4.5,5102.31
10:29,34,0.35,4.6,5099.75
10:30,32,0.35,4.6,5096.99
10:31,34,0.3,4.3,5094.4
10:32,38,0.35,4.8,5096.3
10:33,39,0.4,5.6,5100.6
10:34,40,0.4,5.5,5100.6
10:35,39,0.35,5.3,5101.44
10:36,39,0.35,5.1,5102.86
10:37,38,0.35,5.3,5100.97
10:38,36,0.35,5.0,5099.85
10:39,35,0.3,4.4,5099.98
10:40,36,0.35,4.6,5100.29
10:41,35,0.3,4.3,5100.88
