time,ask,high_option_ask,low_option_ask,spx_price
09:31,20,25.0,45.4,5078.14
09:32,20,21.8,41.2,5075.32
09:33,19,23.7,44.0,5073.44
09:34,19,25.5,46.1,5079.42
09:35,21,21.7,41.3,5082.93
09:36,21,21.4,40.9,5082.61
09:37,21,20.9,40.2,5081.3
09:38,21,20.5,39.7,5082.43
09:39,21,21.5,41.0,5084.8
09:40,21,21.7,41.3,5088.64
09:41,21,20.6,39.7,5083.57
09:42,23,21.4,40.9,5083.7
09:43,23,19.8,38.8,5084.42
09:44,22,19.6,38.5,5083.01
09:45,21,22.0,41.6,5085.25
09:46,20,22.6,42.4,5086.48
09:47,20,23.1,43.4,5086.6
09:48,19,22.4,42.3,5088.08
09:49,18,25.1,45.8,5085.92
09:50,17,26.1,47.0,5089.65
09:51,18,25.4,46.3,5093.84
09:52,18,24.6,45.2,5095.55
09:53,18,25.5,46.5,5093.49
09:54,18,26.0,47.0,5094.61
09:55,19,24.9,46.3,5095.48
09:56,17,25.5,46.4,5097.77
09:57,17,25.8,46.7,5095.22
09:58,18,26.3,47.5,5096.56
09:59,18,24.2,44.7,5095.43
10:00,18,23.6,44.0,5094.32
10:01,17,25.3,46.3,5094.97
10:02,16,27.1,48.5,5096.43
10:03,17,25.3,46.2,5097.35
10:04,17,26.6,47.9,5100.53
10:05,16,26.0,47.3,5101.01
10:06,17,26.7,48.0,5099.81
10:07,17,23.9,44.8,5095.05
10:08,17,25.2,46.2,5099.42
10:09,18,25.8,47.0,5101.63
10:10,17,23.7,44.3,5101.5
10:11,17,25.9,47.1,5102.38
10:12,17,25.6,46.8,5103.36
10:13,17,25.3,46.4,5104.91
10:14,19,24.2,45.0,5104.39
10:15,18,22.8,43.4,5104.38
10:16,19,23.2,43.7,5102.92
10:17,19,23.5,44.2,5104.88
10:18,19,22.2,42.5,5104.13
10:19,19,22.6,43.2,5103.41
10:20,20,22.1,42.4,5103.33
10:21,21,20.4,40.4,5101.99
10:22,22,19.1,38.6,5101.01
10:23,24,18.6,37.7,5101.54
10:24,24,17.4,35.9,5103.83
