time,ask,high_option_ask,low_option_ask,spx_price
09:31,33,9.3,24.4,5078.14
09:32,33,8.0,22.7,5075.32
09:33,34,8.1,22.8,5073.44
09:34,34,7.7,22.0,5079.42
09:35,34,7.4,21.4,5082.93
09:36,34,7.5,21.6,5082.61
09:37,34,7.5,21.7,5081.3
09:38,35,8.2,23.1,5082.43
09:39,35,8.5,23.5,5084.8
09:40,34,8.8,24.2,5088.64
09:41,34,9.9,26.1,5083.57
09:42,35,9.2,25.0,5083.7
09:43,35,9.2,25.0,5084.42
09:44,35,9.7,25.8,5083.01
09:45,32,9.8,26.0,5085.25
09:46,31,12.8,30.9,5086.48
09:47,31,11.6,29.5,5086.6
09:48,27,14.5,33.5,5088.08
09:49,25,17.3,37.0,5085.92
09:50,23,17.4,37.0,5089.65
09:51,22,20.1,40.3,5093.84
09:52,24,18.3,38.2,5095.55
09:53,26,16.5,35.9,5093.49
09:54,27,14.3,33.0,5094.61
09:55,26,14.5,33.0,5095.48
09:56,26,17.5,37.1,5097.77
09:57,25,17.3,36.7,5095.22
09:58,25,18.1,37.9,5096.56
09:59,24,17.3,37.0,5095.43
10:00,24,17.4,40.2,5094.32
10:01,23,17.4,37.1,5094.97
10:02,23,18.4,38.5,5096.43
10:03,25,18.7,38.8,5097.35
10:04,25,15.7,34.8,5100.53
10:05,26,16.4,35.8,5101.01
10:06,25,16.7,36.1,5099.81
10:07,25,16.6,36.0,5095.05
10:08,25,16.4,36.0,5099.42
10:09,24,17.1,36.9,5101.63
10:10,26,15.8,35.1,5101.5
10:11,26,16.0,35.3,5102.38
10:12,27,15.3,34.5,5103.36
10:13,25,15.5,34.8,5104.91
10:14,25,16.6,36.6,5104.39
10:15,25,15.5,35.1,5104.38
10:16,24,16.6,36.8,5102.92
10:17,23,17.3,37.6,5104.88
10:18,25,17.5,38.0,5104.13
10:19,26,15.4,35.0,5103.41
10:20,26,15.1,34.8,5103.33
10:21,26,15.5,35.4,5101.99
10:22,25,15.9,36.0,5101.01
10:23,25,16.4,36.6,5101.54
10:24,24,15.7,35.7,5103.83
10:25,24,16.9,37.3,5104.53
10:26,25,15.8,35.8,5102.66
10:27,24,16.5,36.8,5103.12
10:28,23,16.1,36.5,5102.31
10:29,22,17.8,38.7,5099.75
10:30,21,18.8,40.0,5096.99
10:31,21,19.1,40.3,5094.4
10:32,21,18.6,39.7,5096.3
10:33,20,19.2,40.7,5100.6
10:34,19,19.9,41.6,5100.6
10:35,19,20.6,42.5,5101.44
10:36,20,19.7,41.4,5102.86
10:37,21,19.4,41.0,5100.97
10:38,21,18.6,40.2,5099.85
10:39,22,18.7,40.3,5099.98
10:40,22,17.1,38.3,5100.29
10:41,22,17.7,39.0,5100.88
10:42,23,17.6,39.0,5101.24
10:43,24,16.5,37.5,5101.6
10:44,24,15.6,36.3,5099.02
10:45,26,15.4,36.1,5099.13
10:46,28,13.3,33.2,5098.19
10:47,27,13.4,33.5,5098.66
10:48,28,14.3,34.6,5100.48
10:49,28,13.7,33.6,5102.25
10:50,28,13.2,33.0,5102.5
10:51,28,13.3,33.0,5098.52
10:52,27,13.6,33.6,5098.62
10:53,28,13.9,34.1,5099.77
10:54,28,13.2,32.9,5102.87
10:55,27,13.9,33.9,5104.58
10:56,27,14.5,34.9,5104.33
10:57,27,14.1,34.3,5104.88
10:58,28,14.3,34.6,5103.6
10:59,27,13.9,34.1,5103.75
11:00,28,14.0,34.2,5103.58
11:01,28,13.2,33.0,5104.64
11:02,27,13.6,33.8,5106.19
11:03,28,13.6,33.9,5108.54
11:04,28,13.7,34.0,5110.35
11:05,27,13.4,33.7,5107.21
11:06,24,13.6,34.0,5107.24
11:07,26,15.8,37.2,5105.09
11:08,27,13.5,34.1,5105.6
11:09,27,13.2,33.4,5104.73
11:10,24,14.1,34.8,5103.31
11:11,22,16.4,37.8,5101.79
11:12,21,16.5,37.9,5096.71
11:13,20,17.1,38.9,5095.26
11:14,20,17.8,39.7,5096.29
11:15,20,17.6,39.5,5096.72
11:16,19,18.1,40.1,5096.33
11:17,18,18.5,40.7,5096.5
11:18,18,19.1,41.4,5095.95
11:19,17,20.0,42.5,5096.96
11:20,20,19.2,41.6,5098.99
11:21,19,17.9,39.8,5097.43
11:22,19,18.2,40.3,5095.98
11:23,19,18.8,41.1,5096.04
11:24,18,19.0,41.3,5094.91
11:25,18,19.2,41.7,5095.8
11:26,19,18.4,40.7,5096.03
11:27,18,18.6,41.0,5097.41
11:28,19,19.8,42.4,5098.41
11:29,20,18.8,41.2,5099.32
11:30,19,17.8,40.0,5097.88
11:31,18,19.4,42.0,5096.83
11:32,18,19.5,42.2,5098.43
11:33,17,19.7,42.2,5098.14
11:34,16,20.2,43.0,5096.58
11:35,16,21.0,43.7,5096.85
11:36,17,21.2,44.0,5097.48
11:37,17,20.6,43.3,5097.42
