time,ask,high_option_ask,low_option_ask,spx_price
09:31,39,1.55,8.8,5078.14
09:32,38,1.4,8.4,5075.32
09:33,37,1.3,8.2,5073.44
09:34,39,1.4,8.8,5079.42
09:35,39,1.45,9.1,5082.93
09:36,40,1.6,9.7,5082.61
09:37,40,1.55,9.5,5081.3
09:38,39,1.4,8.7,5082.43
09:39,39,1.3,8.7,5084.8
09:40,40,1.4,9.0,5088.64
09:41,40,1.3,8.6,5083.57
09:42,40,1.35,8.7,5083.7
09:43,40,1.35,8.8,5084.42
09:44,40,1.4,9.1,5083.01
09:45,41,1.45,9.1,5085.25
09:46,41,1.4,8.9,5086.48
09:47,41,1.4,9.0,5086.6
09:48,41,1.45,9.3,5088.08
09:49,41,1.45,9.4,5085.92
09:50,42,1.45,9.4,5089.65
09:51,43,1.55,9.8,5093.84
09:52,42,1.5,9.6,5095.55
09:53,42,1.45,9.6,5093.49
09:54,43,1.5,9.8,5094.61
09:55,43,1.65,10.2,5095.48
09:56,42,1.55,9.7,5097.77
09:57,42,1.65,10.1,5095.22
09:58,42,1.6,9.9,5096.56
09:59,43,1.7,10.3,5095.43
10:00,40,1.8,10.4,5094.32
10:01,36,1.1,7.8,5094.97
10:02,37,0.7,6.1,5096.43
10:03,39,0.95,7.2,5097.35
10:04,38,0.85,6.9,5100.53
10:05,38,0.9,7.0,5101.01
10:06,38,0.8,6.4,5099.81
10:07,40,0.9,7.1,5095.05
10:08,40,1.0,7.7,5099.42
10:09,39,1.0,7.6,5101.63
10:10,41,1.05,8.0,5101.5
10:11,41,1.15,8.6,5102.38
10:12,42,1.0,7.9,5103.36
10:13,41,1.0,8.0,5104.91
10:14,41,0.95,7.5,5104.39
10:15,40,0.9,7.4,5104.38
10:16,41,0.9,7.5,5102.92
10:17,40,0.75,6.9,5104.88
10:18,41,0.85,7.5,5104.13
10:19,42,0.9,7.9,5103.41
10:20,41,0.8,7.5,5103.33
10:21,41,0.75,7.2,5101.99
10:22,40,0.7,6.7,5101.01
10:23,40,0.7,6.8,5101.54
10:24,41,0.75,7.2,5103.83
10:25,40,0.7,6.8,5104.53
10:26,36,0.6,6.1,5102.66
10:27,38,0.5,5.4,5103.12
10:28,39,0.55,5.9,5102.31
10:29,39,0.65,6.4,5099.75
10:30,41,0.65,6.6,5096.99
10:31,40,0.6,6.3,5094.4
10:32,41,0.65,6.5,5096.3
10:33,41,0.65,6.4,5100.6
10:34,40,0.65,6.5,5100.6
10:35,41,0.7,6.9,5101.44
10:36,41,0.6,6.5,5102.86
10:37,42,0.7,6.9,5100.97
10:38,42,0.7,7.0,5099.85
10:39,40,0.65,6.7,5099.98
10:40,40,0.6,6.2,5100.29
10:41,38,0.55,6.0,5100.88
10:42,40,0.6,6.2,5101.24
10:43,39,0.6,6.3,5101.6
10:44,37,0.5,5.3,5099.02
10:45,36,0.5,5.6,5099.13
10:46,35,0.4,5.0,5098.19
10:47,36,0.45,5.3,5098.66
10:48,37,0.5,5.7,5100.48
10:49,39,0.55,5.9,5102.25
10:50,37,0.5,5.8,5102.5
10:51,39,0.45,5.3,5098.52
10:52,38,0.55,6.1,5098.62
10:53,35,0.45,5.2,5099.77
10:54,35,0.4,4.9,5102.87
10:55,34,0.4,4.7,5104.58
10:56,35,0.4,4.8,5104.33
10:57,37,0.45,5.2,5104.88
10:58,37,0.45,5.3,5103.6
10:59,38,0.5,5.6,5103.75
11:00,39,0.5,5.6,5103.58
11:01,39,0.5,5.9,5104.64
11:02,39,0.5,5.8,5106.19
11:03,41,0.55,6.3,5108.54
11:04,39,0.55,6.3,5110.35
11:05,39,0.45,5.5,5107.21
11:06,39,0.5,5.9,5107.24
11:07,37,0.45,5.6,5105.09
11:08,36,0.4,5.1,5105.6
11:09,37,0.4,5.1,5104.73
11:10,38,0.45,5.4,5103.31
11:11,40,0.45,5.5,5101.79
11:12,41,0.5,6.1,5096.71
11:13,39,0.5,5.9,5095.26
11:14,38,0.4,5.1,5096.29
11:15,40,0.45,5.6,5096.72
11:16,40,0.45,5.8,5096.33
11:17,40,0.5,6.0,5096.5
11:18,41,0.5,6.0,5095.95
11:19,41,0.45,5.9,5096.96
11:20,40,0.45,5.8,5098.99
11:21,41,0.4,5.6,5097.43
11:22,43,0.5,6.3,5095.98
11:23,43,0.5,6.1,5096.04
11:24,43,0.5,6.2,5094.91
11:25,44,0.55,6.5,5095.8
11:26,44,0.5,6.3,5096.03
11:27,47,0.55,7.0,5097.41
11:28,47,0.6,7.1,5098.41
11:29,46,0.55,6.8,5099.32
11:30,46,0.55,7.0,5097.88
11:31,49,0.55,7.1,5096.83
11:32,49,0.6,7.4,5098.43
11:33,49,0.65,7.7,5098.14
11:34,48,0.6,7.1,5096.58
11:35,49,0.6,7.3,5096.85
11:36,50,0.55,6.8,5097.48
11:37,50,0.6,7.2,5097.42
11:38,49,0.6,7.3,5098.86
11:39,49,0.55,7.0,5098.45
11:40,50,0.6,7.7,5098.62
11:41,50,0.6,7.5,5097.95
11:42,51,0.6,7.2,5100.09
11:43,51,0.6,7.5,5100.31
11:44,50,0.65,7.7,5102.31
11:45,51,0.55,7.3,5104.06
11:46,52,0.65,7.9,5104.6
11:47,52,0.65,8.0,5103.07
11:48,54,0.6,7.8,5103.37
11:49,55,0.75,9.1,5105.34
11:50,54,0.7,8.5,5104.58
11:51,55,0.7,8.5,5103.64
11:52,55,0.8,9.0,5104.02
11:53,54,0.75,8.9,5102.53
11:54,54,0.65,8.2,5100.6
11:55,54,0.6,8.0,5101.35
11:56,54,0.6,8.1,5101.28
11:57,54,0.65,8.2,5101.05
11:58,55,0.7,8.5,5100.96
11:59,53,0.65,8.3,5102.13
12:00,54,0.65,8.2,5101.56
12:01,53,0.65,8.5,5098.16
12:02,55,0.65,8.4,5100.43
12:03,54,0.7,8.9,5100.18
12:04,54,0.6,8.1,5099.68
12:05,54,0.65,8.2,5101.02
12:06,54,0.6,8.2,5100.12
12:07,54,0.6,8.2,5099.99
12:08,54,0.65,8.4,5099.37
12:09,55,0.65,8.4,5100.68
12:10,55,0.65,8.7,5101.3
12:11,55,0.65,8.7,5102.18
12:12,54,0.65,8.4,5101.48
12:13,54,0.6,8.0,5101.65
12:14,54,0.6,8.2,5102.17
12:15,51,0.55,8.1,5102.88
12:16,49,0.4,6.7,5102.72
12:17,48,0.4,6.2,5102.82
12:18,48,0.4,6.3,5102.0
12:19,48,0.4,6.4,5102.54
12:20,49,0.4,6.4,5103.01
12:21,49,0.4,6.4,5102.08
12:22,50,0.4,6.8,5103.19
12:23,48,0.4,6.5,5103.72
12:24,48,0.35,5.9,5103.31
12:25,46,0.35,5.4,5103.54
12:26,44,0.35,5.3,5104.82
12:27,40,0.25,4.5,5103.53
12:28,41,0.25,4.3,5104.23
12:29,38,0.25,4.1,5103.75
12:30,36,0.25,3.8,5104.33
12:31,37,0.2,3.5,5103.99
