time,ask,high_option_ask,low_option_ask,spx_price
09:31,25,1.2,6.1,5078.14
09:32,26,1.35,6.8,5075.32
09:33,28,1.35,6.8,5073.44
09:34,26,1.5,7.1,5079.42
09:35,25,1.2,5.9,5082.93
09:36,24,1.15,5.5,5082.61
09:37,21,1.05,5.0,5081.3
09:38,20,0.95,4.5,5082.43
09:39,21,0.95,4.4,5084.8
09:40,21,1.05,4.9,5088.64
09:41,22,1.2,5.4,5083.57
09:42,22,1.15,5.2,5083.7
09:43,22,1.2,5.3,5084.42
09:44,23,1.2,5.5,5083.01
09:45,23,1.25,5.7,5085.25
09:46,22,1.25,5.7,5086.48
09:47,21,1.1,5.2,5086.6
09:48,21,1.1,5.0,5088.08
09:49,21,1.1,5.1,5085.92
09:50,21,1.15,5.3,5089.65
09:51,20,1.0,4.8,5093.84
09:52,21,1.1,5.0,5095.55
09:53,20,1.2,5.5,5093.49
09:54,21,1.05,5.1,5094.61
09:55,22,1.1,5.2,5095.48
09:56,21,1.0,5.0,5097.77
09:57,20,1.1,5.3,5095.22
09:58,20,0.95,4.7,5096.56
09:59,20,0.95,4.6,5095.43
10:00,19,1.1,5.2,5094.32
10:01,19,0.95,4.7,5094.97
10:02,18,0.8,4.0,5096.43
10:03,18,0.9,4.4,5097.35
10:04,16,0.75,3.7,5100.53
10:05,14,0.55,2.7,5101.01
10:06,13,0.55,2.75,5099.81
10:07,13,0.45,2.45,5095.05
10:08,12,0.45,2.2,5099.42
10:09,13,0.55,3.0,5101.63
10:10,14,0.5,2.5,5101.5
10:11,14,0.55,2.95,5102.38
10:12,14,0.65,3.2,5103.36
10:13,13,0.5,2.5,5104.91
10:14,14,0.45,2.35,5104.39
10:15,15,0.55,2.85,5104.38
10:16,18,0.6,3.2,5102.92
10:17,18,0.7,3.7,5104.88
10:18,18,0.65,3.6,5104.13
10:19,17,0.65,3.5,5103.41
10:20,17,0.6,3.2,5103.33
10:21,18,0.65,3.6,5101.99
10:22,18,0.65,3.7,5101.01
10:23,18,0.65,3.6,5101.54
10:24,17,0.7,3.7,5103.83
10:25,17,0.6,3.3,5104.53
10:26,16,0.55,3.1,5102.66
10:27,15,0.55,3.1,5103.12
10:28,15,0.5,2.65,5102.31
10:29,16,0.5,2.95,5099.75
10:30,14,0.5,2.85,5096.99
10:31,15,0.45,2.55,5094.4
10:32,15,0.5,2.75,5096.3
10:33,16,0.5,2.9,5100.6
10:34,19,0.55,3.1,5100.6
10:35,19,0.6,3.6,5101.44
10:36,19,0.55,3.5,5102.86
10:37,18,0.45,2.9,5100.97
10:38,19,0.55,3.3,5099.85
10:39,18,0.5,2.95,5099.98
10:40,18,0.5,3.1,5100.29
10:41,18,0.5,2.95,5100.88
10:42,17,0.45,2.95,5101.24
10:43,18,0.5,3.2,5101.6
10:44,17,0.4,2.7,5099.02
10:45,18,0.4,2.75,5099.13
10:46,19,0.4,2.8,5098.19
10:47,20,0.45,3.1,5098.66
10:48,19,0.45,2.9,5100.48
10:49,20,0.45,2.85,5102.25
10:50,19,0.45,2.95,5102.5
10:51,23,0.5,3.5,5098.52
10:52,22,0.5,3.6,5098.62
10:53,22,0.5,3.6,5099.77
10:54,23,0.5,3.7,5102.87
10:55,23,0.5,3.7,5104.58
10:56,25,0.5,3.8,5104.33
10:57,24,0.55,4.0,5104.88
10:58,24,0.5,3.8,5103.6
10:59,25,0.55,4.1,5103.75
11:00,26,0.5,3.9,5103.58
11:01,29,0.55,4.4,5104.64
11:02,31,0.7,5.2,5106.19
11:03,30,0.85,6.2,5108.54
11:04,27,0.6,4.7,5110.35
11:05,27,0.55,4.4,5107.21
11:06,28,0.6,4.8,5107.24
11:07,28,0.55,4.5,5105.09
11:08,30,0.5,4.4,5105.6
11:09,30,0.65,5.1,5104.73
11:10,31,0.6,5.0,5103.31
11:11,31,0.65,5.5,5101.79
11:12,32,0.65,5.4,5096.71
11:13,32,0.7,5.6,5095.26
11:14,32,0.7,5.7,5096.29
11:15,33,0.7,5.5,5096.72
11:16,33,0.75,6.0,5096.33
11:17,33,0.7,5.7,5096.5
11:18,33,0.75,5.9,5095.95
11:19,34,0.75,6.0,5096.96
11:20,34,0.75,6.0,5098.99
11:21,34,0.7,5.7,5097.43
11:22,32,0.65,5.5,5095.98
11:23,32,0.6,5.1,5096.04
11:24,33,0.55,5.1,5094.91
11:25,33,0.6,5.3,5095.8
11:26,33,0.6,5.2,5096.03
11:27,35,0.65,5.6,5097.41
11:28,36,0.75,6.1,5098.41
11:29,37,0.75,6.2,5099.32
11:30,37,0.8,6.5,5097.88
11:31,35,0.8,6.3,5096.83
11:32,33,0.65,5.5,5098.43
11:33,30,0.55,4.8,5098.14
11:34,28,0.45,3.9,5096.58
11:35,30,0.45,4.3,5096.85
11:36,33,0.55,4.9,5097.48
11:37,34,0.6,5.4,5097.42
11:38,34,0.6,5.5,5098.86
11:39,35,0.6,5.5,5098.45
