time,ask
09:30,28
09:31,28
09:32,28
09:33,28
09:34,28
09:35,28
09:36,28
09:37,28
09:38,28
09:39,28
09:40,28
09:41,28
09:42,28
09:43,28
09:44,28
09:45,28
09:46,29
09:47,29
09:48,30
09:49,30
09:50,30
09:51,30
09:52,30
09:53,30
09:54,30
09:55,30
09:56,29
09:57,30
09:58,30
09:59,30
10:00,30
10:01,30
10:02,30
10:03,30
10:04,30
10:05,30
10:06,30
10:07,30
10:08,30
10:09,30
10:10,30
10:11,30
10:12,30
10:13,30
10:14,30
10:15,30
10:16,30
10:17,30
10:18,30
10:19,30
10:20,29
10:21,29
10:22,28
10:23,28
10:24,29
10:25,29
10:26,29
10:27,29
10:28,30
10:29,30
10:30,30
10:31,30
10:32,30
10:33,30
10:34,29
10:35,30
10:36,30
10:37,30
10:38,29
10:39,29
10:40,30
10:41,30
10:42,30
10:43,30
10:44,30
10:45,30
10:46,29
10:47,29
10:48,29
10:49,30
10:50,30
10:51,29
10:52,29
10:53,29
10:54,29
10:55,29
10:56,28
10:57,28
10:58,28
10:59,28
11:00,28
11:01,28
11:02,28
11:03,28
11:04,28
11:05,28
11:06,29
11:07,29
11:08,29
11:09,29
11:10,29
11:11,30
11:12,30
11:13,30
11:14,30
11:15,30
11:16,29
11:17,29
11:18,29
11:19,29
11:20,29
11:21,29
11:22,29
11:23,29
11:24,29
11:25,29
11:26,28
11:27,29
11:28,29
11:29,29
11:30,29
11:31,29
11:32,30
11:33,29
11:34,29
11:35,29
11:36,29
11:37,29
11:38,29
11:39,30
11:40,30
11:41,30
11:42,30
11:43,30
11:44,30
11:45,31
11:46,31
11:47,31
11:48,31
11:49,31
11:50,31
11:51,31
11:52,31
11:53,31
11:54,31
11:55,31
11:56,31
11:57,31
11:58,31
11:59,31
12:00,31
12:01,31
12:02,31
12:03,31
12:04,32
12:05,32
12:06,32
12:07,32
12:08,32
12:09,32
12:10,32
12:11,32
12:12,32
12:13,32
12:14,32
12:15,32
12:16,32
12:17,32
12:18,32
12:19,32
12:20,32
12:21,32
12:22,32
12:23,32
12:24,32
12:25,32
12:26,32
12:27,32
12:28,32
12:29,32
12:30,32
12:31,32
12:32,32
12:33,32
12:34,32
12:35,32
12:36,32
12:37,32
12:38,32
12:39,32
12:40,32
12:41,32
12:42,32
12:43,32
12:44,32
12:45,32
12:46,32
12:47,32
12:48,32
12:49,32
12:50,31
12:51,31
12:52,31
12:53,32
12:54,31
12:55,31
12:56,31
12:57,31
12:58,31
12:59,31
13:00,31
13:01,31
13:02,31
13:03,31
13:04,32
13:05,32
13:06,31
13:07,32
13:08,32
13:09,32
13:10,32
13:11,32
13:12,32
13:13,32
13:14,32
13:15,32
13:16,33
13:17,33
13:18,32
13:19,32
13:20,32
13:21,32
13:22,32
13:23,32
13:24,33
13:25,32
13:26,33
13:27,32
13:28,32
13:29,33
13:30,32
13:31,32
13:32,32
13:33,32
13:34,33
13:35,33
13:36,32
13:37,32
13:38,32
13:39,33
13:40,32
13:41,32
13:42,33
13:43,32
13:44,33
13:45,32
13:46,32
13:47,33
13:48,33
13:49,34
13:50,34
13:51,34
13:52,34
13:53,34
13:54,34
13:55,34
13:56,34
13:57,34
13:58,34
13:59,34
14:00,35
14:01,38
14:02,39
14:03,37
14:04,38
14:05,38
14:06,37
14:07,38
14:08,37
14:09,38
14:10,37
14:11,37
14:12,37
14:13,37
14:14,37
14:15,37
14:16,37
14:17,37
14:18,38
14:19,39
14:20,39
14:21,38
14:22,37
14:23,37
14:24,38
14:25,37
14:26,37
14:27,37
14:28,37
14:29,36
14:30,36
14:31,37
14:32,38
14:33,38
14:34,39
14:35,39
14:36,39
14:37,39
14:38,40
14:39,38
14:40,36
14:41,34
14:42,32
14:43,33
14:44,35
14:45,35
14:46,35
14:47,37
14:48,38
14:49,41
14:50,41
14:51,41
14:52,39
14:53,40
14:54,38
14:55,40
14:56,43
14:57,45
14:58,45
14:59,47
15:00,46
15:01,46
15:02,46
15:03,50
15:04,51
15:05,52
15:06,56
15:07,58
15:08,54
15:09,50
15:10,50
15:11,56
15:12,57
15:13,58
15:14,60
15:15,58
15:16,60
15:17,63
15:18,55
15:19,47
15:20,59
15:21,66
15:22,64
15:23,63
15:24,66
15:25,66
15:26,70
15:27,71
15:28,73
15:29,73
15:30,73
15:31,70
15:32,75
15:33,79
15:34,81
15:35,84
15:36,83
15:37,81
15:38,80
15:39,85
15:40,86
15:41,86
15:42,86
15:43,88
15:44,88
15:45,88
15:46,90
15:47,89
15:48,90
15:49,92
15:50,94
15:51,92
15:52,92
15:53,93
15:54,98
15:55,100
15:56,100
15:57,100
15:58,100
15:59,100
