time,ask
09:30,26
09:31,20
09:32,22
09:33,22
09:34,23
09:35,23
09:36,25
09:37,26
09:38,26
09:39,27
09:40,26
09:41,26
09:42,26
09:43,26
09:44,27
09:45,25
09:46,24
09:47,23
09:48,23
09:49,23
09:50,23
09:51,21
09:52,19
09:53,18
09:54,20
09:55,21
09:56,22
09:57,22
09:58,22
09:59,22
10:00,23
10:01,26
10:02,28
10:03,30
10:04,31
10:05,30
10:06,30
10:07,28
10:08,29
10:09,28
10:10,26
10:11,26
10:12,26
10:13,26
10:14,23
10:15,24
10:16,25
10:17,26
10:18,27
10:19,27
10:20,26
10:21,25
10:22,23
10:23,24
10:24,26
10:25,27
10:26,28
10:27,26
10:28,25
10:29,24
10:30,20
10:31,19
10:32,22
10:33,22
10:34,22
10:35,23
10:36,23
10:37,23
10:38,22
10:39,21
10:40,23
10:41,22
10:42,18
10:43,16
10:44,17
10:45,20
10:46,19
10:47,19
10:48,20
10:49,19
10:50,19
10:51,20
10:52,21
10:53,21
10:54,19
10:55,19
10:56,19
10:57,17
10:58,16
10:59,17
11:00,18
11:01,20
11:02,21
11:03,22
11:04,25
11:05,22
11:06,22
11:07,23
11:08,21
11:09,20
11:10,21
11:11,22
11:12,22
11:13,23
11:14,24
11:15,26
11:16,28
11:17,27
11:18,26
11:19,28
11:20,30
11:21,32
11:22,36
11:23,37
11:24,37
11:25,37
11:26,37
11:27,37
11:28,37
11:29,37
11:30,38
11:31,36
11:32,35
11:33,35
11:34,36
11:35,35
11:36,33
11:37,30
11:38,28
11:39,29
11:40,28
11:41,26
11:42,24
11:43,22
11:44,23
11:45,21
11:46,19
11:47,18
11:48,18
11:49,18
11:50,18
11:51,18
11:52,18
11:53,14
11:54,12
11:55,11
11:56,11
11:57,12
11:58,11
11:59,12
12:00,11
12:01,11
12:02,11
12:03,11
12:04,12
12:05,11
12:06,11
12:07,9
12:08,9
12:09,7
12:10,7
12:11,9
12:12,9
12:13,9
12:14,10
12:15,11
12:16,11
12:17,11
12:18,10
12:19,9
12:20,9
12:21,9
12:22,9
12:23,10
12:24,10
12:25,10
12:26,11
12:27,11
12:28,9
12:29,8
12:30,8
12:31,8
12:32,8
12:33,8
12:34,8
12:35,9
12:36,8
12:37,8
12:38,7
12:39,8
12:40,7
12:41,7
12:42,7
12:43,7
12:44,7
12:45,6
12:46,6
12:47,6
12:48,5
12:49,4
12:50,4
12:51,3
12:52,3
12:53,4
12:54,4
12:55,4
12:56,4
12:57,4
12:58,4
12:59,3
13:00,4
13:01,4
13:02,4
13:03,5
13:04,4
13:05,3
13:06,3
13:07,3
13:08,3
13:09,3
13:10,3
13:11,3
13:12,2
13:13,3
13:14,3
13:15,3
13:16,3
13:17,3
13:18,3
13:19,3
13:20,5
13:21,5
13:22,4
13:23,5
13:24,5
13:25,5
13:26,5
13:27,5
13:28,5
13:29,5
13:30,5
13:31,5
13:32,4
13:33,3
13:34,3
13:35,3
13:36,3
13:37,3
13:38,3
13:39,3
13:40,3
13:41,3
13:42,3
13:43,3
13:44,3
13:45,3
13:46,3
13:47,3
13:48,3
13:49,3
13:50,3
13:51,3
13:52,3
13:53,3
13:54,3
13:55,3
13:56,3
13:57,3
13:58,3
13:59,3
14:00,2
14:01,3
14:02,3
14:03,3
14:04,3
14:05,3
14:06,3
14:07,3
14:08,3
14:09,3
14:10,3
14:11,6
14:12,9
14:13,10
14:14,10
14:15,9
14:16,6
14:17,5
14:18,4
14:19,4
14:20,3
14:21,2
14:22,2
14:23,3
14:24,3
14:25,2
14:26,2
14:27,2
14:28,2
14:29,1
14:30,2
14:31,2
14:32,2
14:33,2
14:34,2
14:35,2
14:36,2
14:37,2
14:38,2
14:39,2
14:40,2
14:41,2
14:42,2
14:43,2
14:44,2
14:45,2
14:46,2
14:47,2
14:48,2
14:49,2
14:50,2
14:51,2
14:52,2
14:53,2
14:54,2
14:55,2
14:56,2
14:57,2
14:58,2
14:59,1
15:00,1
15:01,1
15:02,1
15:03,1
15:04,1
15:05,1
15:06,1
15:07,1
15:08,1
15:09,1
15:10,1
15:11,1
15:12,1
15:13,1
15:14,1
15:15,1
15:16,1
15:17,1
15:18,1
15:19,1
15:20,1
15:21,1
15:22,1
15:23,1
15:24,1
15:25,1
15:26,1
15:27,1
15:28,1
15:29,1
15:30,1
15:31,1
15:32,1
15:33,1
15:34,1
15:35,1
15:36,1
15:37,1
15:38,1
15:39,1
15:40,1
15:41,1
15:42,1
15:43,1
15:44,1
15:45,1
15:46,1
15:47,1
15:48,1
15:49,1
15:50,1
15:51,1
15:52,1
15:53,1
15:54,1
15:55,1
15:56,1
15:57,1
15:58,1
15:59,1
