quote_datetime,ask,option_type
11:59,8.6,C
12:00,8.0,C
12:01,8.0,C
12:02,8.1,C
13:26,6.6,C
13:27,5.5,C
13:28,6.0,C
13:29,5.6,C
13:30,5.7,C
13:31,5.7,C
13:35,5.9,C
13:36,6.2,C
13:37,6.3,C
13:38,6.6,C
13:39,6.4,C
13:45,6.3,C
13:51,5.9,C
13:52,6.1,C
13:53,6.0,C
13:54,6.0,C
13:55,5.7,C
13:56,5.9,C
13:57,5.9,C
13:58,5.6,C
13:59,5.2,C
14:00,6.0,C
14:07,5.6,C
14:19,5.0,C
14:20,4.6,C
14:21,5.2,C
14:23,5.4,C
14:24,5.0,C
14:26,4.8,C
14:27,4.0,C
14:28,4.6,C
14:29,4.8,C
14:30,4.5,C
14:31,5.3,C
14:32,5.2,C
14:33,4.4,C
14:34,4.5,C
14:35,4.5,C
14:36,4.0,C
14:37,2.85,C
14:38,3.1,C
14:39,3.1,C
14:40,2.95,C
14:41,2.5,C
14:42,2.5,C
14:43,2.35,C
14:44,2.2,C
14:45,1.8,C
14:46,1.95,C
14:47,2.6,C
14:48,2.8,C
14:49,2.2,C
14:50,2.0,C
14:51,2.1,C
14:52,2.2,C
14:53,2.0,C
14:54,1.95,C
14:55,1.9,C
14:56,2.15,C
14:57,2.8,C
14:58,3.5,C
14:59,3.2,C
15:00,3.1,C
15:01,3.4,C
15:02,2.25,C
15:03,2.95,C
15:04,2.55,C
15:05,2.25,C
15:06,3.0,C
15:07,2.25,C
15:08,2.05,C
15:09,1.95,C
15:10,1.75,C
15:11,1.8,C
15:12,2.55,C
15:13,2.3,C
15:14,2.45,C
15:15,2.2,C
15:16,2.3,C
15:17,2.45,C
15:18,2.15,C
15:19,2.05,C
15:20,1.95,C
15:21,3.3,C
15:22,2.25,C
15:23,2.3,C
15:24,1.55,C
15:25,1.45,C
15:26,1.45,C
15:27,1.35,C
15:28,1.15,C
15:29,1.25,C
15:30,1.1,C
15:31,1.1,C
15:32,1.3,C
15:33,1.05,C
15:34,0.75,C
15:35,0.8,C
15:36,0.55,C
15:37,0.3,C
15:38,0.35,C
15:39,0.4,C
15:40,0.3,C
15:41,0.25,C
15:42,0.25,C
15:43,0.2,C
15:44,0.2,C
15:45,0.15,C
15:46,0.1,C
15:47,0.05,C
15:48,0.05,C
15:49,0.05,C
15:50,0.05,C
15:51,0.05,C
15:52,0.05,C
15:53,0.05,C
15:54,0.05,C
15:55,0.05,C
15:56,0.05,C
15:57,0.05,C
15:58,0.05,C
15:59,0.05,C
16:00,0.05,C
16:01,0.05,C
16:02,0.05,C
16:03,0.05,C
16:04,0.05,C
16:05,0.05,C
16:06,0.05,C
16:07,0.05,C
16:08,0.05,C
16:09,0.05,C
16:10,0.05,C
16:11,0.05,C
16:12,0.05,C
16:13,0.05,C
16:14,0.05,C
16:15,0.05,C
09:31,0.75,P
09:32,0.9,P
09:33,0.95,P
09:34,1.05,P
09:35,1.1,P
09:36,1.0,P
09:37,1.0,P
09:38,1.1,P
09:39,1.0,P
09:40,1.05,P
09:41,1.05,P
09:42,1.1,P
09:43,1.3,P
09:44,1.15,P
09:45,1.15,P
09:46,1.25,P
09:47,1.05,P
09:48,1.05,P
09:49,0.95,P
09:50,1.1,P
09:51,1.15,P
09:52,0.95,P
09:53,0.9,P
09:54,0.8,P
09:55,0.65,P
09:56,0.7,P
09:57,0.6,P
09:58,0.5,P
09:59,0.45,P
10:00,0.45,P
10:01,0.45,P
10:02,0.5,P
10:03,0.55,P
10:04,0.55,P
10:05,0.45,P
10:06,0.5,P
10:07,0.6,P
10:08,0.7,P
10:09,0.9,P
10:10,0.9,P
10:11,1.1,P
10:12,1.1,P
10:13,0.9,P
10:14,1.3,P
10:15,1.15,P
10:16,1.25,P
10:17,1.35,P
10:18,1.35,P
10:19,1.45,P
10:20,1.35,P
10:21,1.15,P
10:22,1.15,P
10:23,1.25,P
10:24,1.35,P
10:25,1.7,P
10:26,1.7,P
10:27,1.55,P
10:28,1.4,P
10:29,1.65,P
10:30,1.95,P
10:31,2.3,P
10:32,1.9,P
10:33,2.35,P
10:34,2.9,P
10:35,2.55,P
10:36,2.85,P
10:37,2.5,P
10:38,2.05,P
10:39,1.95,P
10:40,1.9,P
10:41,2.05,P
10:42,2.15,P
10:43,2.7,P
10:44,3.6,P
10:45,3.1,P
10:46,3.7,P
10:47,3.7,P
10:48,3.3,P
10:49,3.4,P
10:50,3.6,P
10:51,2.95,P
10:52,2.65,P
10:53,2.9,P
10:54,2.5,P
10:55,2.35,P
10:56,2.15,P
10:57,2.25,P
10:58,2.7,P
10:59,3.5,P
11:00,3.5,P
11:01,5.4,P
11:02,4.8,P
11:03,4.9,P
11:04,5.0,P
11:05,4.4,P
11:06,4.7,P
11:07,5.8,P
11:08,5.2,P
11:09,5.7,P
