quote_datetime,ask,option_type
09:31,3.7,C
09:32,2.45,C
09:33,3.1,C
09:34,3.3,C
09:35,3.3,C
09:36,2.95,C
09:37,2.95,C
09:38,2.6,C
09:39,2.65,C
09:40,2.5,C
09:41,2.85,C
09:42,3.2,C
09:43,3.3,C
09:44,3.8,C
09:45,4.3,C
09:46,3.6,C
09:47,3.8,C
09:48,3.8,C
09:49,4.1,C
09:50,4.3,C
09:51,4.3,C
09:52,3.9,C
09:53,3.6,C
09:54,2.9,C
09:55,2.8,C
09:56,2.9,C
09:57,2.9,C
09:58,2.55,C
09:59,2.7,C
10:00,3.0,C
10:01,5.6,C
10:02,5.5,C
10:03,4.8,C
10:04,5.9,C
10:05,6.3,C
10:06,5.9,C
10:07,6.5,C
10:08,7.5,C
10:09,7.8,C
10:14,7.5,C
10:32,7.3,C
10:34,6.4,C
10:35,5.7,C
10:36,4.5,C
10:37,4.6,C
10:38,4.0,C
10:39,4.0,C
10:40,4.0,C
10:41,4.2,C
10:42,4.0,C
10:43,4.5,C
10:44,4.5,C
10:45,4.5,C
10:46,4.1,C
10:47,4.2,C
10:48,4.6,C
10:49,4.5,C
10:50,4.8,C
10:51,4.8,C
10:52,5.3,C
10:53,6.1,C
11:04,6.1,C
11:05,6.4,C
11:06,4.8,C
11:07,5.1,C
11:08,4.3,C
11:09,4.5,C
11:10,4.4,C
11:11,3.6,C
11:12,4.2,C
11:13,3.5,C
11:14,3.2,C
11:15,3.5,C
11:16,3.1,C
11:17,2.35,C
11:18,2.1,C
11:19,2.05,C
11:20,2.3,C
11:21,2.3,C
11:22,2.45,C
11:23,2.55,C
11:24,2.4,C
11:25,2.5,C
11:26,2.2,C
11:27,2.9,C
11:28,2.9,C
11:29,2.2,C
11:30,2.85,C
11:31,2.95,C
11:32,3.2,C
11:33,3.3,C
11:34,2.85,C
11:35,2.6,C
11:36,2.8,C
11:37,2.65,C
11:38,1.85,C
11:39,1.35,C
11:40,1.4,C
11:41,1.3,C
11:42,1.3,C
11:43,1.2,C
11:44,1.2,C
11:45,1.35,C
11:46,1.3,C
11:47,1.3,C
11:48,1.35,C
11:49,1.4,C
11:50,1.5,C
11:51,1.55,C
11:52,1.4,C
11:53,1.25,C
11:54,1.4,C
11:55,1.55,C
11:56,1.65,C
11:57,1.7,C
11:58,1.5,C
11:59,1.4,C
12:00,1.45,C
12:01,1.6,C
12:02,1.4,C
12:03,1.2,C
12:04,1.6,C
12:05,1.4,C
12:06,1.5,C
12:07,1.5,C
12:08,1.35,C
12:09,1.4,C
12:10,1.25,C
12:11,1.05,C
12:12,1.1,C
12:13,1.05,C
12:14,0.85,C
12:15,0.75,C
12:16,0.85,C
12:17,1.05,C
12:18,1.2,C
12:19,1.25,C
12:20,1.45,C
12:21,1.55,C
12:22,1.55,C
12:23,1.7,C
12:24,1.75,C
12:25,1.75,C
12:26,1.8,C
12:27,1.7,C
12:28,1.8,C
12:29,2.15,C
12:30,2.05,C
12:31,2.2,C
12:32,2.1,C
12:33,2.0,C
12:34,1.8,C
12:35,1.9,C
12:36,1.9,C
12:37,1.6,C
12:38,1.7,C
12:39,2.0,C
12:40,2.05,C
12:41,2.05,C
12:42,2.15,C
12:43,2.1,C
12:44,2.25,C
12:45,2.15,C
12:46,2.2,C
12:47,2.2,C
12:48,2.25,C
12:49,2.2,C
12:50,2.05,C
12:51,2.25,C
12:52,2.05,C
12:53,1.95,C
12:54,2.4,C
12:55,2.25,C
12:56,2.45,C
12:57,2.35,C
12:58,2.2,C
12:59,2.1,C
13:00,2.3,C
13:01,1.95,C
13:02,2.2,C
13:03,2.3,C
13:04,2.05,C
13:05,2.15,C
13:06,2.45,C
13:07,2.45,C
13:08,2.15,C
13:09,2.2,C
13:10,2.25,C
13:11,2.75,C
13:12,2.9,C
13:13,2.8,C
13:14,2.7,C
13:15,3.4,C
13:16,3.2,C
13:17,3.1,C
13:18,2.4,C
13:19,2.85,C
13:20,2.75,C
13:21,2.6,C
13:22,2.6,C
13:23,2.85,C
13:24,2.9,C
13:25,3.0,C
13:26,2.85,C
13:27,2.85,C
13:28,3.1,C
13:29,3.3,C
13:30,3.3,C
13:31,2.8,C
13:32,2.65,C
13:33,2.85,C
13:34,2.9,C
13:35,2.9,C
13:36,3.1,C
13:37,3.1,C
13:38,2.85,C
13:39,2.55,C
13:40,2.6,C
13:41,2.35,C
13:42,2.0,C
13:43,1.7,C
13:44,1.9,C
13:45,1.8,C
13:46,1.8,C
13:47,2.2,C
13:48,2.45,C
13:49,2.6,C
13:50,2.5,C
13:51,2.45,C
13:52,2.55,C
13:53,2.8,C
13:54,2.65,C
13:55,2.7,C
13:56,2.7,C
13:57,2.45,C
13:58,2.5,C
13:59,2.65,C
14:00,2.6,C
14:01,2.6,C
14:02,2.6,C
14:03,2.65,C
14:04,2.7,C
14:05,3.2,C
14:06,3.0,C
14:07,3.0,C
14:08,3.3,C
14:09,3.3,C
14:10,3.1,C
14:11,3.3,C
14:12,3.6,C
14:13,3.3,C
14:14,3.2,C
14:15,3.3,C
14:16,3.2,C
14:17,3.5,C
14:21,3.7,C
14:22,3.5,C
10:10,7.8,P
10:11,7.9,P
10:12,7.7,P
10:13,8.2,P
10:15,7.5,P
10:16,7.4,P
10:17,6.2,P
10:18,6.1,P
10:19,6.3,P
10:20,6.4,P
10:21,6.9,P
10:22,6.8,P
10:23,6.3,P
10:24,6.5,P
10:25,6.3,P
10:26,7.3,P
10:27,7.4,P
10:28,7.0,P
10:29,7.0,P
10:30,7.6,P
10:31,7.9,P
10:33,8.2,P
10:54,7.2,P
10:55,6.9,P
10:56,7.1,P
10:57,7.0,P
10:58,6.1,P
10:59,6.1,P
11:00,5.9,P
11:01,6.8,P
11:02,6.2,P
11:03,6.7,P
14:18,3.2,P
14:19,3.2,P
14:20,3.1,P
14:23,2.95,P
14:24,2.85,P
14:25,3.1,P
14:26,3.0,P
14:27,2.95,P
14:28,2.95,P
14:29,2.8,P
14:30,2.7,P
14:31,2.4,P
14:32,2.45,P
14:33,2.2,P
14:34,2.35,P
14:35,2.55,P
14:36,2.85,P
14:37,2.4,P
14:38,2.2,P
14:39,2.25,P
14:40,2.1,P
14:41,2.1,P
14:42,1.95,P
14:43,1.75,P
14:44,1.45,P
14:45,1.45,P
14:46,1.75,P
14:47,1.3,P
14:48,1.3,P
14:49,1.3,P
14:50,1.25,P
14:51,1.0,P
14:52,1.1,P
14:53,1.0,P
14:54,1.15,P
14:55,1.2,P
14:56,1.1,P
14:57,1.35,P
14:58,1.4,P
14:59,1.2,P
15:00,1.1,P
15:01,1.25,P
15:02,1.05,P
15:03,1.1,P
15:04,1.4,P
15:05,1.4,P
15:06,1.85,P
15:07,1.8,P
