quote_datetime,ask,option_type
09:31,3.5,C
09:32,3.5,C
09:33,3.7,C
09:34,3.8,C
09:35,3.6,C
09:36,3.7,C
09:37,3.9,C
09:38,3.9,C
09:39,4.0,C
09:40,4.3,C
09:41,4.4,C
09:42,5.4,C
09:43,6.1,C
09:44,5.8,C
09:45,6.1,C
09:46,6.2,C
09:47,5.9,C
09:48,5.3,C
09:49,5.0,C
09:50,6.0,C
09:51,6.1,C
09:52,6.3,C
09:53,6.1,C
09:54,6.5,C
09:55,6.4,C
09:56,6.0,C
09:57,6.4,C
09:58,5.8,C
09:59,5.9,C
10:00,6.1,C
10:01,5.7,C
10:02,5.5,C
10:03,6.1,C
10:04,6.3,C
10:05,5.8,C
10:06,5.8,C
10:07,6.3,C
10:08,6.3,C
10:09,6.7,C
10:10,5.7,C
10:11,5.3,C
10:12,5.7,C
10:13,6.2,C
10:14,5.9,C
10:15,6.1,C
10:16,6.5,C
10:17,6.3,C
10:29,6.4,C
10:30,6.7,C
10:47,5.9,C
10:48,5.5,C
10:49,5.3,C
10:50,5.8,C
10:51,6.1,C
10:52,6.2,C
10:53,6.2,C
10:54,6.1,C
10:55,6.3,C
11:21,5.9,C
11:52,5.7,C
11:57,5.0,C
11:58,5.0,C
11:59,5.0,C
12:00,4.8,C
12:01,4.2,C
12:02,4.2,C
12:03,4.2,C
12:04,4.8,C
12:05,4.7,C
12:06,4.6,C
12:07,4.6,C
12:08,4.8,C
12:09,4.7,C
12:10,4.7,C
12:11,4.5,C
12:12,4.0,C
12:13,4.1,C
12:14,4.1,C
12:15,4.2,C
12:16,4.5,C
12:17,4.4,C
12:18,4.4,C
12:19,4.4,C
12:20,4.2,C
12:21,3.7,C
12:22,3.9,C
12:23,3.7,C
12:24,3.5,C
12:25,4.1,C
12:26,4.1,C
12:27,4.1,C
12:28,4.3,C
12:29,4.3,C
12:30,4.1,C
12:31,4.3,C
12:32,4.5,C
12:33,4.4,C
12:34,4.2,C
12:35,3.3,C
12:36,3.6,C
12:37,2.5,C
12:38,2.7,C
12:39,2.9,C
12:40,3.1,C
12:41,3.1,C
12:42,3.1,C
12:43,2.8,C
12:44,2.85,C
12:45,2.8,C
12:46,2.6,C
12:47,2.45,C
12:48,2.5,C
12:49,2.9,C
12:50,3.0,C
12:51,2.65,C
12:52,2.95,C
12:53,2.95,C
12:54,2.95,C
12:55,3.0,C
12:56,3.1,C
12:57,3.4,C
12:58,3.7,C
12:59,3.6,C
13:00,3.5,C
13:01,3.5,C
13:02,3.8,C
13:03,3.8,C
13:04,3.6,C
13:05,3.8,C
13:06,3.7,C
13:07,3.8,C
13:08,3.7,C
13:09,3.7,C
13:10,3.6,C
13:11,3.0,C
13:12,3.2,C
13:13,3.2,C
13:14,3.2,C
13:15,3.2,C
13:16,3.2,C
13:17,3.2,C
13:18,3.3,C
13:19,3.2,C
13:20,3.4,C
13:21,3.5,C
13:22,3.5,C
13:23,3.9,C
13:24,3.9,C
13:25,3.9,C
13:26,3.7,C
13:27,3.8,C
13:28,3.1,C
13:29,3.2,C
13:30,3.3,C
13:31,3.3,C
13:32,3.2,C
13:33,3.1,C
13:34,3.0,C
13:35,2.95,C
13:36,2.9,C
13:37,2.8,C
13:38,2.95,C
13:39,3.3,C
13:40,3.2,C
13:41,3.1,C
13:42,3.2,C
13:43,3.3,C
13:44,3.2,C
13:45,3.2,C
13:46,3.2,C
13:47,3.5,C
13:48,3.5,C
13:49,3.7,C
13:50,3.9,C
13:51,3.8,C
13:52,3.7,C
13:53,3.9,C
13:54,3.7,C
13:55,3.6,C
13:56,3.8,C
13:57,3.3,C
13:58,3.5,C
13:59,3.6,C
14:00,3.8,C
14:01,4.2,C
14:03,3.4,C
14:04,3.4,C
14:05,3.2,C
14:06,3.1,C
14:07,2.95,C
14:08,3.6,C
14:10,3.7,C
14:11,3.2,C
14:12,3.2,C
14:13,3.1,C
14:14,3.2,C
14:15,2.8,C
14:16,1.5,C
14:17,1.4,C
14:18,1.7,C
14:19,1.5,C
14:20,1.2,C
14:21,1.15,C
14:22,1.05,C
14:23,0.9,C
14:24,1.05,C
14:25,0.95,C
14:26,1.1,C
14:27,1.15,C
14:28,1.35,C
14:29,1.25,C
14:30,1.1,C
14:31,1.3,C
14:32,1.4,C
14:33,1.3,C
14:34,1.25,C
14:35,1.35,C
14:36,1.3,C
14:37,1.4,C
14:38,1.55,C
14:39,1.65,C
14:40,1.85,C
14:41,1.8,C
14:42,2.0,C
14:43,2.0,C
14:44,2.1,C
14:45,2.15,C
14:46,2.5,C
14:47,2.7,C
14:48,2.65,C
14:49,2.55,C
14:50,2.55,C
14:51,2.55,C
14:52,2.5,C
14:53,2.8,C
14:55,2.6,C
14:56,2.15,C
14:57,1.95,C
14:58,2.4,C
14:59,2.55,C
15:45,1.35,C
15:46,1.4,C
15:47,1.3,C
15:48,1.15,C
15:49,1.45,C
15:53,1.2,C
15:54,1.05,C
15:55,0.5,C
15:56,0.65,C
15:57,0.45,C
15:58,0.35,C
15:59,0.25,C
16:00,0.05,C
16:01,0.05,C
16:02,0.05,C
16:03,0.05,C
16:04,0.05,C
16:05,0.05,C
16:06,0.05,C
16:07,0.05,C
16:08,0.05,C
16:09,0.05,C
16:10,0.05,C
