quote_datetime,ask,option_type
09:55,9.1,C
09:56,8.6,C
09:57,9.1,C
09:58,9.4,C
09:59,9.3,C
10:00,10.0,C
10:01,8.4,C
10:02,7.7,C
10:03,7.6,C
10:04,7.1,C
10:05,6.8,C
10:06,7.1,C
10:07,6.0,C
10:08,6.1,C
10:09,5.8,C
10:10,5.9,C
10:11,5.8,C
10:12,6.4,C
10:13,6.1,C
10:14,6.5,C
10:15,6.9,C
10:16,6.7,C
10:17,6.9,C
10:18,6.5,C
10:19,7.0,C
10:20,5.8,C
10:21,5.6,C
10:22,5.4,C
10:23,5.3,C
10:24,5.2,C
10:25,5.3,C
10:26,5.5,C
10:27,5.0,C
10:28,5.2,C
10:29,5.0,C
10:30,5.7,C
10:31,5.9,C
10:32,5.7,C
10:33,5.1,C
10:34,5.1,C
10:35,5.2,C
10:36,5.6,C
10:37,4.7,C
10:38,4.6,C
10:39,4.2,C
10:40,4.7,C
10:41,4.2,C
10:42,4.3,C
10:43,4.2,C
10:44,4.5,C
10:45,4.8,C
10:46,5.0,C
10:47,4.1,C
10:48,4.6,C
10:49,4.6,C
10:50,4.5,C
10:51,4.2,C
10:52,4.0,C
10:53,4.0,C
10:54,4.1,C
10:55,4.1,C
10:56,3.7,C
10:57,3.6,C
10:58,3.5,C
10:59,3.3,C
11:00,3.3,C
11:01,3.7,C
11:02,3.6,C
11:03,3.5,C
11:04,3.9,C
11:05,4.2,C
11:06,4.3,C
11:07,4.3,C
11:08,3.6,C
11:09,3.5,C
11:10,3.4,C
11:11,3.1,C
11:12,2.9,C
11:13,3.1,C
11:14,2.95,C
11:15,2.9,C
11:16,2.9,C
11:17,2.95,C
11:18,3.1,C
11:19,2.95,C
11:20,2.85,C
11:21,3.1,C
11:22,3.2,C
11:23,3.0,C
11:24,3.1,C
11:25,3.1,C
11:26,2.85,C
11:27,3.5,C
11:28,3.5,C
11:29,3.4,C
11:30,3.3,C
11:31,3.7,C
11:32,4.3,C
11:33,3.9,C
11:34,3.8,C
11:35,4.1,C
11:36,4.4,C
11:37,4.6,C
11:38,4.0,C
11:39,4.2,C
11:40,4.1,C
11:41,4.3,C
11:42,4.4,C
11:43,4.4,C
11:44,4.1,C
11:45,4.2,C
11:46,3.8,C
11:47,4.9,C
11:48,5.0,C
11:49,5.1,C
11:50,5.1,C
11:51,4.6,C
11:52,4.4,C
11:53,5.0,C
11:54,5.1,C
11:55,4.6,C
11:56,4.5,C
11:57,5.0,C
11:58,5.1,C
11:59,4.8,C
12:00,5.1,C
12:01,5.3,C
12:02,5.7,C
12:03,5.8,C
12:04,5.7,C
12:05,5.4,C
12:06,5.8,C
12:07,6.0,C
12:08,6.1,C
12:09,6.0,C
12:11,6.2,C
12:12,5.6,C
12:13,5.4,C
12:14,5.4,C
12:15,5.4,C
12:16,5.9,C
12:17,6.1,C
12:18,6.3,C
12:21,6.0,C
12:22,6.0,C
12:23,5.9,C
12:24,6.0,C
09:31,5.8,P
09:32,5.9,P
09:33,7.5,P
09:34,9.4,P
09:35,9.1,P
09:36,9.5,P
09:37,9.6,P
09:38,9.7,P
09:39,9.5,P
09:40,8.0,P
09:41,8.0,P
09:42,9.3,P
09:43,9.8,P
09:44,10.3,P
09:45,10.2,P
09:46,9.2,P
09:47,8.8,P
09:48,8.3,P
09:49,9.1,P
09:50,8.7,P
09:51,9.1,P
09:52,9.5,P
09:53,9.7,P
09:54,9.8,P
12:10,6.0,P
12:19,5.9,P
12:20,6.0,P
12:25,6.1,P
12:26,5.5,P
12:27,4.9,P
12:28,5.0,P
12:29,4.7,P
12:30,4.6,P
12:31,4.3,P
12:32,4.3,P
12:33,4.2,P
12:34,4.1,P
12:35,4.2,P
12:36,4.0,P
12:37,3.9,P
12:38,4.3,P
12:39,4.8,P
12:40,4.5,P
12:41,4.3,P
12:42,4.2,P
12:43,4.0,P
12:44,4.2,P
12:45,4.5,P
12:46,4.5,P
12:47,4.4,P
12:48,4.1,P
12:49,4.0,P
12:50,3.8,P
12:51,3.7,P
12:52,3.5,P
12:53,3.7,P
12:54,3.6,P
12:55,3.6,P
12:56,3.5,P
12:57,3.4,P
12:58,3.4,P
12:59,2.85,P
13:00,2.95,P
13:01,3.2,P
13:02,2.8,P
13:03,2.75,P
13:04,2.8,P
13:05,2.85,P
13:06,2.7,P
13:07,2.7,P
13:08,2.35,P
13:09,2.6,P
13:10,2.6,P
13:11,2.4,P
13:12,2.35,P
13:13,2.1,P
13:14,2.1,P
13:15,2.2,P
13:16,2.3,P
13:17,2.3,P
13:18,2.2,P
13:19,2.25,P
13:20,2.1,P
13:21,2.0,P
13:22,1.9,P
13:23,1.9,P
13:24,1.95,P
13:25,1.85,P
13:26,2.0,P
13:27,2.3,P
13:28,2.45,P
13:29,2.4,P
13:30,2.25,P
13:31,2.6,P
13:32,3.0,P
13:33,2.7,P
13:34,2.6,P
13:35,2.6,P
13:36,2.4,P
13:37,2.4,P
13:38,2.1,P
13:39,1.8,P
13:40,1.65,P
13:41,1.55,P
13:42,1.6,P
13:43,1.5,P
13:44,1.5,P
13:45,1.5,P
13:46,1.75,P
13:47,1.75,P
13:48,1.5,P
13:49,1.6,P
13:50,1.35,P
13:51,1.5,P
13:52,1.4,P
13:53,1.45,P
13:54,1.6,P
13:55,1.8,P
13:56,1.55,P
