quote_datetime,ask,option_type
09:31,7.1,C
09:32,6.5,C
09:33,6.0,C
09:34,7.4,C
09:35,8.7,C
10:37,7.1,C
10:38,6.5,C
10:39,6.2,C
10:40,5.5,C
10:41,4.6,C
10:42,5.4,C
10:43,5.0,C
10:44,5.5,C
10:45,5.9,C
10:46,6.0,C
10:47,6.4,C
10:48,6.6,C
10:49,6.9,C
10:58,6.4,C
10:59,6.6,C
11:03,6.2,C
11:04,5.7,C
11:05,5.2,C
11:06,4.8,C
11:07,4.6,C
11:08,5.0,C
11:09,4.3,C
11:10,4.6,C
11:11,4.5,C
11:12,4.6,C
11:13,4.3,C
11:14,4.6,C
11:15,4.5,C
11:16,4.7,C
11:17,4.2,C
11:18,4.1,C
11:19,3.7,C
11:20,3.4,C
11:21,3.3,C
11:22,2.95,C
11:23,3.5,C
11:24,3.6,C
11:25,2.9,C
11:26,3.4,C
11:27,3.4,C
11:28,3.5,C
11:29,3.4,C
11:30,3.2,C
11:31,3.9,C
11:32,3.9,C
11:33,3.9,C
11:34,4.2,C
11:35,3.8,C
11:36,4.0,C
11:37,4.2,C
11:38,4.4,C
11:39,4.0,C
11:40,3.9,C
11:41,4.3,C
11:42,3.3,C
11:43,2.95,C
11:44,2.95,C
11:45,3.1,C
11:46,3.4,C
11:47,3.5,C
11:48,3.7,C
11:49,3.9,C
11:50,4.0,C
11:51,4.3,C
11:52,4.0,C
11:53,4.1,C
11:54,4.5,C
11:55,4.5,C
11:56,3.8,C
11:57,3.9,C
11:58,4.5,C
11:59,4.7,C
12:00,4.7,C
12:01,4.9,C
12:02,4.8,C
12:03,4.1,C
12:04,3.6,C
12:05,3.5,C
12:06,2.4,C
12:07,2.85,C
12:08,2.35,C
12:09,2.2,C
12:10,2.0,C
12:11,1.7,C
12:12,1.8,C
12:13,2.05,C
12:14,2.05,C
12:15,2.2,C
12:16,2.15,C
12:17,2.4,C
12:18,2.65,C
12:19,2.3,C
12:20,2.15,C
12:21,2.0,C
12:22,2.1,C
12:23,3.0,C
12:24,2.75,C
12:25,2.6,C
12:26,2.1,C
12:27,2.4,C
12:28,2.35,C
12:29,2.15,C
12:30,2.1,C
12:31,2.15,C
12:32,1.95,C
12:33,1.8,C
12:34,1.9,C
12:35,1.8,C
12:36,2.15,C
12:37,1.85,C
12:38,1.8,C
12:39,1.6,C
12:40,1.6,C
12:41,1.35,C
12:42,1.3,C
12:43,1.2,C
12:44,1.25,C
12:45,1.25,C
12:46,1.35,C
12:47,1.5,C
12:48,1.25,C
12:49,1.15,C
12:50,1.25,C
12:51,1.4,C
12:52,1.35,C
12:53,1.45,C
12:54,1.6,C
12:55,1.55,C
12:56,1.5,C
12:57,1.75,C
12:58,1.75,C
12:59,1.75,C
13:00,1.9,C
13:01,2.05,C
13:02,1.8,C
13:03,1.55,C
13:04,1.7,C
13:05,1.5,C
13:06,1.65,C
13:07,1.55,C
13:08,1.65,C
13:09,1.65,C
13:10,1.5,C
13:11,1.5,C
13:12,1.6,C
13:13,1.55,C
13:14,1.3,C
13:15,1.4,C
13:16,1.6,C
13:17,1.75,C
13:18,1.65,C
13:19,1.7,C
13:20,1.6,C
13:21,1.5,C
13:22,1.7,C
13:23,1.95,C
13:24,1.75,C
13:25,1.4,C
13:26,1.1,C
13:27,1.35,C
13:28,1.25,C
13:29,1.8,C
13:30,2.05,C
13:31,2.05,C
13:32,1.6,C
13:33,1.7,C
13:34,2.1,C
13:35,1.75,C
13:36,1.8,C
13:37,1.45,C
13:38,1.6,C
13:39,1.5,C
13:40,1.85,C
13:41,2.1,C
13:42,1.5,C
13:43,1.5,C
13:44,1.7,C
13:45,1.5,C
13:46,1.75,C
13:47,1.85,C
13:48,1.6,C
13:49,1.5,C
13:50,1.75,C
13:51,1.65,C
13:52,1.35,C
13:53,1.3,C
13:54,1.3,C
13:55,1.3,C
13:56,1.2,C
13:57,1.1,C
13:58,1.2,C
13:59,1.35,C
14:00,1.05,C
14:01,0.9,C
14:02,1.2,C
14:03,1.1,C
14:04,1.05,C
14:05,1.05,C
14:06,0.85,C
14:07,0.8,C
14:08,0.8,C
14:09,0.8,C
14:10,0.75,C
14:11,0.8,C
14:12,0.9,C
14:13,0.8,C
14:14,0.8,C
14:15,0.7,C
14:16,0.6,C
14:17,0.6,C
14:18,0.7,C
14:19,0.6,C
14:20,0.55,C
14:21,0.6,C
14:22,0.55,C
14:23,0.45,C
14:24,0.45,C
14:25,0.45,C
14:26,0.45,C
14:27,0.45,C
14:28,0.4,C
14:29,0.5,C
14:30,0.55,C
14:31,0.6,C
14:32,0.65,C
14:33,0.6,C
14:34,0.7,C
14:35,0.9,C
14:36,0.8,C
14:37,0.9,C
14:38,1.1,C
14:39,1.15,C
14:40,1.4,C
14:41,1.25,C
