quote_datetime,ask,option_type
09:31,2.6,P
09:32,3.3,P
09:33,3.5,P
09:34,3.2,P
09:35,3.0,P
09:36,2.85,P
09:37,2.9,P
09:38,2.85,P
09:39,2.55,P
09:40,2.5,P
09:41,2.35,P
09:42,2.2,P
09:43,2.2,P
09:44,2.2,P
09:45,2.7,P
09:46,3.2,P
09:47,3.9,P
09:48,2.75,P
09:49,2.85,P
09:50,3.1,P
09:51,3.4,P
09:52,2.85,P
09:53,2.9,P
09:54,3.3,P
09:55,3.2,P
09:56,3.1,P
09:57,2.85,P
09:58,2.05,P
09:59,2.25,P
10:00,2.15,P
10:01,2.45,P
10:02,2.4,P
10:03,2.6,P
10:04,2.7,P
10:05,2.65,P
10:06,2.9,P
10:07,2.75,P
10:08,2.4,P
10:09,2.7,P
10:10,2.5,P
10:11,2.55,P
10:12,2.7,P
10:13,3.5,P
10:14,2.9,P
10:15,2.6,P
10:16,2.45,P
10:17,2.3,P
10:18,2.2,P
10:19,1.5,P
10:20,1.45,P
10:21,1.3,P
10:22,1.25,P
10:23,1.25,P
10:24,1.55,P
10:25,1.65,P
10:26,1.65,P
10:27,1.35,P
10:28,1.35,P
10:29,1.2,P
10:30,1.2,P
10:31,1.05,P
10:32,1.0,P
10:33,1.0,P
10:34,0.9,P
10:35,0.9,P
10:36,0.8,P
10:37,0.8,P
10:38,0.7,P
10:39,0.65,P
10:40,0.65,P
10:41,0.65,P
10:42,0.6,P
10:43,0.6,P
10:44,0.6,P
10:45,0.7,P
10:46,0.7,P
10:47,0.6,P
10:48,0.65,P
10:49,0.6,P
10:50,0.55,P
10:51,0.55,P
10:52,0.6,P
10:53,0.6,P
10:54,0.65,P
10:55,0.6,P
10:56,0.65,P
10:57,0.6,P
10:58,0.7,P
10:59,0.7,P
11:00,0.75,P
11:01,0.65,P
11:02,0.65,P
11:03,0.65,P
11:04,0.65,P
11:05,0.65,P
11:06,0.65,P
11:07,0.6,P
11:08,0.6,P
11:09,0.55,P
11:10,0.55,P
11:11,0.55,P
11:12,0.8,P
11:13,0.9,P
11:14,0.85,P
11:15,0.75,P
11:16,0.8,P
11:17,0.7,P
11:18,0.6,P
11:19,0.5,P
11:20,0.5,P
11:21,0.55,P
11:22,0.55,P
11:23,0.55,P
11:24,0.7,P
11:25,0.75,P
11:26,0.8,P
11:27,0.65,P
11:28,0.65,P
11:29,0.6,P
11:30,0.5,P
11:31,0.5,P
11:32,0.45,P
11:33,0.4,P
11:34,0.45,P
11:35,0.4,P
11:36,0.4,P
11:37,0.4,P
11:38,0.35,P
11:39,0.3,P
11:40,0.3,P
11:41,0.35,P
11:42,0.3,P
11:43,0.35,P
11:44,0.35,P
11:45,0.3,P
11:46,0.3,P
11:47,0.3,P
11:48,0.3,P
11:49,0.3,P
11:50,0.35,P
11:51,0.35,P
11:52,0.35,P
11:53,0.3,P
11:54,0.35,P
11:55,0.35,P
11:56,0.35,P
11:57,0.35,P
11:58,0.3,P
11:59,0.3,P
12:00,0.3,P
12:01,0.3,P
12:02,0.3,P
12:03,0.3,P
12:04,0.3,P
12:05,0.25,P
12:06,0.25,P
12:07,0.25,P
12:08,0.25,P
12:09,0.25,P
12:10,0.2,P
12:11,0.2,P
12:12,0.2,P
12:13,0.15,P
12:14,0.15,P
12:15,0.15,P
12:16,0.15,P
12:17,0.15,P
12:18,0.15,P
12:19,0.15,P
12:20,0.15,P
12:21,0.2,P
12:22,0.2,P
12:23,0.2,P
12:24,0.2,P
12:25,0.2,P
12:26,0.2,P
12:27,0.2,P
12:28,0.25,P
12:29,0.35,P
12:30,0.3,P
12:31,0.35,P
12:32,0.4,P
12:33,0.45,P
12:34,0.45,P
12:35,0.4,P
12:36,0.4,P
12:37,0.45,P
12:38,0.45,P
12:39,0.45,P
12:40,0.45,P
12:41,0.45,P
12:42,0.45,P
12:43,0.5,P
12:44,0.8,P
12:45,1.2,P
12:46,1.25,P
12:47,0.7,P
12:48,0.85,P
12:49,0.75,P
12:50,0.95,P
12:51,1.25,P
12:52,1.1,P
12:53,0.9,P
12:54,2.3,P
12:55,2.05,P
12:56,1.95,P
12:57,2.0,P
12:58,1.5,P
12:59,1.2,P
13:00,1.3,P
13:01,1.2,P
13:02,1.35,P
13:03,1.65,P
13:04,1.1,P
13:05,1.25,P
13:06,1.15,P
13:07,1.05,P
13:08,0.95,P
13:09,1.2,P
13:10,1.15,P
13:11,1.3,P
13:12,1.15,P
13:13,1.3,P
13:14,1.2,P
13:15,1.05,P
13:16,1.15,P
13:17,1.15,P
13:18,1.1,P
13:19,0.9,P
13:20,0.8,P
13:21,0.75,P
13:22,0.6,P
13:23,0.6,P
13:24,0.55,P
13:25,0.6,P
13:26,0.55,P
13:27,0.55,P
13:28,0.5,P
13:29,0.5,P
13:30,0.45,P
13:31,0.4,P
13:32,0.5,P
13:33,0.7,P
13:34,0.6,P
13:35,0.7,P
13:36,0.6,P
13:37,0.55,P
13:38,0.5,P
13:39,0.55,P
13:40,0.55,P
13:41,0.5,P
13:42,0.6,P
13:43,0.55,P
13:44,0.55,P
13:45,0.6,P
13:46,0.6,P
13:47,0.55,P
13:48,0.55,P
13:49,0.6,P
13:50,0.6,P
13:51,0.7,P
13:52,0.6,P
13:53,0.6,P
13:54,0.55,P
13:55,0.45,P
13:56,0.35,P
13:57,0.45,P
13:58,0.55,P
13:59,0.45,P
14:00,0.4,P
14:01,0.4,P
14:02,0.3,P
14:03,0.25,P
14:04,0.25,P
14:05,0.25,P
14:06,0.25,P
14:07,0.25,P
14:08,0.25,P
14:09,0.25,P
14:10,0.25,P
14:11,0.25,P
14:12,0.25,P
14:13,0.2,P
14:14,0.2,P
14:15,0.2,P
14:16,0.25,P
14:17,0.2,P
14:18,0.2,P
14:19,0.2,P
14:20,0.2,P
14:21,0.2,P
14:22,0.2,P
14:23,0.2,P
14:24,0.2,P
14:25,0.2,P
14:26,0.15,P
14:27,0.2,P
14:28,0.2,P
14:29,0.2,P
14:30,0.2,P
14:31,0.15,P
14:32,0.15,P
14:33,0.2,P
14:34,0.15,P
14:35,0.15,P
14:36,0.15,P
14:37,0.15,P
14:38,0.2,P
14:39,0.2,P
14:40,0.2,P
14:41,0.2,P
14:42,0.2,P
14:43,0.15,P
14:44,0.15,P
14:45,0.15,P
14:46,0.15,P
14:47,0.15,P
14:48,0.15,P
14:49,0.15,P
14:50,0.15,P
14:51,0.15,P
14:52,0.15,P
14:53,0.15,P
14:54,0.15,P
14:55,0.15,P
14:56,0.15,P
14:57,0.15,P
14:58,0.15,P
14:59,0.15,P
15:00,0.15,P
15:01,0.1,P
15:02,0.15,P
15:03,0.15,P
15:04,0.2,P
15:05,0.2,P
15:06,0.4,P
15:07,0.45,P
15:08,0.35,P
15:09,0.3,P
15:10,0.25,P
15:11,0.2,P
15:12,0.15,P
15:13,0.15,P
15:14,0.15,P
15:15,0.15,P
15:16,0.15,P
15:17,0.15,P
15:18,0.15,P
15:19,0.1,P
15:20,0.1,P
15:21,0.1,P
15:22,0.1,P
15:23,0.1,P
15:24,0.1,P
15:25,0.1,P
15:26,0.1,P
15:27,0.1,P
15:28,0.1,P
15:29,0.1,P
15:30,0.1,P
15:31,0.1,P
15:32,0.1,P
15:33,0.1,P
15:34,0.1,P
15:35,0.1,P
15:36,0.1,P
15:37,0.1,P
15:38,0.1,P
15:39,0.1,P
15:40,0.05,P
15:41,0.05,P
15:42,0.05,P
15:43,0.05,P
15:44,0.05,P
15:45,0.05,P
15:46,0.05,P
15:47,0.05,P
15:48,0.05,P
15:49,0.05,P
15:50,0.05,P
15:51,0.05,P
15:52,0.05,P
15:53,0.05,P
15:54,0.05,P
15:55,0.05,P
15:56,0.05,P
15:57,0.05,P
15:58,0.05,P
15:59,0.05,P
16:00,0.05,P
16:01,0.05,P
16:02,0.05,P
16:03,0.05,P
16:04,0.05,P
16:05,0.05,P
16:06,0.05,P
16:07,0.05,P
16:08,0.05,P
16:09,0.05,P
16:10,0.05,P
16:11,0.05,P
16:12,0.05,P
16:13,0.05,P
16:14,0.05,P
16:15,0.05,P
