quote_datetime,ask,option_type
09:31,7.0,C
09:32,6.8,C
09:33,7.0,C
09:34,9.4,C
09:47,9.7,C
09:48,9.8,C
09:55,9.9,C
09:57,9.6,C
09:58,7.7,C
09:59,8.2,C
10:00,7.8,C
10:01,7.7,C
10:02,7.4,C
10:03,6.0,C
10:04,6.3,C
10:05,6.3,C
10:06,6.6,C
10:07,6.2,C
10:08,5.0,C
10:09,3.8,C
10:10,3.8,C
10:11,5.8,C
10:12,5.6,C
10:13,6.6,C
10:14,7.3,C
10:15,7.3,C
10:16,7.7,C
10:17,7.9,C
10:18,7.7,C
10:19,7.7,C
10:20,8.4,C
10:21,8.1,C
10:22,7.9,C
10:23,6.9,C
10:24,8.1,C
10:25,8.6,C
10:26,8.7,C
10:27,8.0,C
10:28,8.3,C
10:29,8.2,C
10:30,7.6,C
10:31,7.0,C
10:32,7.8,C
10:33,8.4,C
10:34,7.6,C
10:35,7.7,C
10:36,8.1,C
10:37,7.9,C
10:38,7.4,C
10:39,7.4,C
10:40,7.2,C
10:41,6.4,C
10:42,6.3,C
10:43,5.7,C
10:44,5.5,C
10:45,5.0,C
10:46,4.2,C
10:47,4.2,C
10:48,4.1,C
10:49,4.3,C
10:50,4.1,C
10:51,4.5,C
10:52,3.8,C
10:53,3.6,C
10:54,3.6,C
10:55,3.6,C
10:56,3.7,C
10:57,3.3,C
10:58,3.4,C
10:59,3.9,C
11:00,4.9,C
11:01,5.5,C
11:02,5.0,C
11:03,5.8,C
11:04,5.9,C
11:05,6.1,C
11:06,6.4,C
11:07,6.7,C
11:08,7.0,C
11:09,7.3,C
11:10,6.8,C
11:11,6.7,C
11:12,6.4,C
11:13,6.3,C
11:14,6.5,C
11:15,6.2,C
11:16,6.9,C
11:17,7.0,C
11:18,6.5,C
11:19,6.6,C
11:20,6.7,C
11:21,6.6,C
11:22,6.3,C
11:23,6.5,C
11:24,6.7,C
11:25,7.2,C
11:26,7.1,C
11:27,6.3,C
11:28,6.5,C
11:29,6.6,C
11:30,6.7,C
11:31,7.0,C
11:32,6.7,C
11:33,6.5,C
11:34,7.2,C
11:35,6.8,C
11:36,6.7,C
11:37,6.5,C
11:38,6.5,C
11:39,5.7,C
11:40,5.4,C
11:41,5.2,C
11:42,5.2,C
11:43,5.2,C
11:44,4.9,C
11:45,4.8,C
11:46,4.4,C
11:47,3.9,C
11:48,4.2,C
11:49,4.0,C
11:50,4.1,C
11:51,4.8,C
11:52,4.8,C
11:53,5.0,C
11:54,5.1,C
11:55,5.4,C
11:56,6.3,C
11:57,6.3,C
11:58,6.0,C
11:59,5.8,C
12:00,5.6,C
12:01,6.2,C
12:02,6.3,C
12:03,6.4,C
12:04,6.5,C
12:05,6.3,C
12:06,6.1,C
12:07,5.6,C
12:08,5.6,C
12:09,5.4,C
12:10,5.7,C
12:11,6.0,C
12:12,5.9,C
12:13,5.6,C
12:14,6.1,C
12:15,5.9,C
12:16,5.5,C
12:17,4.9,C
12:18,5.1,C
12:19,5.2,C
12:20,5.6,C
12:21,5.3,C
12:22,5.6,C
12:23,5.3,C
12:24,4.3,C
12:25,3.9,C
12:26,4.1,C
12:27,4.2,C
12:28,4.8,C
12:29,4.4,C
12:30,3.9,C
12:31,4.4,C
12:32,4.4,C
12:33,3.7,C
12:34,3.7,C
12:35,3.8,C
12:36,4.1,C
12:37,3.8,C
12:38,4.0,C
12:39,4.2,C
12:40,3.6,C
12:41,3.6,C
12:42,3.6,C
12:43,3.6,C
12:44,3.8,C
12:45,3.7,C
12:46,3.6,C
12:47,3.7,C
12:48,3.3,C
12:49,3.8,C
12:50,3.3,C
12:51,3.5,C
12:52,3.5,C
12:53,3.5,C
12:54,3.8,C
12:55,3.7,C
12:56,3.8,C
12:57,3.8,C
12:58,3.9,C
12:59,3.9,C
13:00,4.1,C
13:01,5.0,C
13:02,4.8,C
13:03,4.5,C
13:04,4.7,C
13:05,4.5,C
13:06,4.2,C
13:07,4.6,C
13:08,5.3,C
13:09,4.8,C
13:10,4.5,C
13:11,5.2,C
13:12,4.7,C
13:13,4.6,C
13:14,4.5,C
13:15,2.75,C
13:16,2.25,C
13:17,2.65,C
13:18,3.2,C
13:19,3.2,C
13:20,3.5,C
13:21,3.8,C
13:22,3.7,C
13:23,3.6,C
13:24,4.2,C
13:25,4.2,C
13:26,4.1,C
13:27,3.9,C
13:28,4.4,C
13:29,4.1,C
13:30,3.8,C
13:31,4.2,C
13:32,4.3,C
13:33,4.5,C
13:34,4.1,C
13:35,4.3,C
13:36,4.1,C
13:37,4.6,C
13:38,4.7,C
13:39,4.5,C
13:40,4.5,C
13:41,4.6,C
13:42,4.2,C
13:43,4.7,C
13:44,4.6,C
13:45,4.7,C
13:46,4.8,C
13:47,4.9,C
13:48,4.7,C
13:49,4.5,C
13:50,4.5,C
13:51,4.7,C
13:52,4.0,C
13:53,4.3,C
13:54,4.1,C
13:55,3.7,C
13:56,3.9,C
13:57,4.7,C
13:58,4.1,C
13:59,3.9,C
14:00,3.6,C
14:01,3.6,C
14:02,3.7,C
14:03,3.8,C
14:04,3.9,C
14:05,3.9,C
14:06,3.9,C
14:07,3.6,C
14:08,3.9,C
14:09,3.6,C
14:10,4.1,C
14:11,3.6,C
14:12,3.8,C
14:13,3.6,C
14:14,3.1,C
14:15,3.3,C
14:16,3.4,C
14:17,3.8,C
14:18,4.0,C
14:19,4.5,C
14:20,4.5,C
14:21,4.6,C
14:22,4.4,C
14:23,4.5,C
14:24,4.4,C
14:25,3.7,C
14:26,4.2,C
15:21,2.7,C
15:22,2.65,C
15:23,2.25,C
15:24,2.05,C
15:25,1.7,C
15:26,1.45,C
15:27,1.1,C
15:28,1.15,C
15:29,1.2,C
15:30,1.25,C
15:31,0.95,C
15:32,1.2,C
15:33,1.0,C
15:34,0.85,C
15:35,0.8,C
15:36,0.7,C
15:37,0.55,C
15:38,0.35,C
15:39,0.45,C
15:40,0.45,C
15:41,0.5,C
15:42,0.35,C
15:43,0.4,C
15:44,0.25,C
15:45,0.3,C
15:46,0.55,C
15:47,0.4,C
15:48,0.35,C
15:49,0.2,C
15:50,0.15,C
15:51,0.1,C
15:52,0.1,C
15:53,0.1,C
15:54,0.1,C
15:55,0.05,C
15:56,0.05,C
15:57,0.05,C
15:58,0.05,C
15:59,0.05,C
16:00,0.05,C
16:01,0.05,C
16:02,0.05,C
16:03,0.05,C
16:04,0.05,C
16:05,0.05,C
16:06,0.05,C
16:07,0.05,C
16:08,0.05,C
16:09,0.05,C
16:10,0.05,C
16:11,0.05,C
16:12,0.05,C
16:13,0.05,C
16:14,0.05,C
16:15,0.05,C
09:35,9.4,P
09:36,9.4,P
09:37,9.8,P
09:38,9.4,P
09:39,7.5,P
09:40,8.0,P
09:41,7.5,P
09:42,7.1,P
09:43,7.3,P
09:44,7.8,P
09:45,8.9,P
09:46,9.5,P
09:49,9.1,P
09:50,9.2,P
09:51,8.8,P
09:52,8.9,P
09:53,9.0,P
09:54,9.6,P
09:56,9.7,P
14:27,4.0,P
14:28,3.5,P
14:29,3.2,P
14:30,3.1,P
14:31,3.1,P
14:32,3.0,P
14:33,2.95,P
14:34,2.8,P
14:35,2.85,P
14:36,3.4,P
14:37,3.3,P
14:38,3.3,P
14:39,3.2,P
14:40,3.3,P
14:41,3.4,P
14:42,3.3,P
14:43,3.2,P
14:44,3.1,P
14:45,2.5,P
14:46,2.55,P
14:47,2.65,P
14:48,2.55,P
14:49,2.25,P
14:50,2.1,P
14:51,1.8,P
14:52,1.5,P
14:53,1.3,P
14:54,1.6,P
14:55,2.0,P
14:56,3.8,P
14:57,3.3,P
14:58,3.2,P
14:59,2.7,P
15:00,2.45,P
15:01,1.85,P
15:02,1.95,P
15:03,1.85,P
15:04,1.9,P
15:05,2.25,P
15:06,1.95,P
15:07,2.1,P
15:08,2.35,P
15:09,2.4,P
15:10,2.55,P
15:11,3.1,P
15:12,2.55,P
15:13,2.55,P
15:14,2.45,P
15:15,2.7,P
15:16,2.75,P
15:17,2.7,P
15:18,2.65,P
15:19,2.4,P
15:20,2.2,P
