quote_datetime,ask,option_type
09:31,10.9,C
09:39,11.1,C
12:36,5.7,C
12:38,5.4,C
12:39,4.3,C
12:40,4.5,C
12:41,4.1,C
12:42,4.5,C
12:43,3.9,C
12:44,3.7,C
12:45,3.8,C
12:46,3.9,C
12:47,3.9,C
12:48,3.2,C
12:49,3.6,C
12:50,3.4,C
12:51,3.5,C
12:52,3.9,C
12:53,3.8,C
12:54,3.8,C
12:55,4.0,C
12:56,3.9,C
12:57,4.5,C
12:58,4.3,C
12:59,3.9,C
13:00,4.0,C
13:01,4.2,C
13:02,3.8,C
13:03,3.8,C
13:04,4.1,C
13:05,3.7,C
13:06,3.8,C
13:07,4.1,C
13:08,4.6,C
13:09,5.0,C
13:10,5.0,C
13:11,5.4,C
13:12,4.7,C
13:13,4.6,C
13:14,4.8,C
13:15,4.8,C
13:16,4.9,C
13:17,4.9,C
13:18,5.3,C
13:19,5.3,C
13:20,5.1,C
13:21,4.3,C
13:22,4.3,C
13:23,4.2,C
13:24,4.4,C
13:25,4.5,C
13:26,4.3,C
13:27,4.2,C
13:28,2.95,C
13:29,2.65,C
13:30,1.95,C
13:31,1.35,C
13:32,1.2,C
13:33,1.1,C
13:34,1.5,C
13:35,1.05,C
13:36,1.35,C
13:37,1.55,C
13:38,1.4,C
13:39,1.4,C
13:40,1.5,C
13:41,1.65,C
13:42,1.7,C
13:43,1.95,C
13:44,2.15,C
13:45,2.05,C
13:46,2.25,C
13:47,1.9,C
13:48,1.55,C
13:49,1.55,C
13:50,1.3,C
13:51,1.25,C
13:52,1.4,C
13:53,1.3,C
13:54,1.4,C
13:55,1.45,C
13:56,1.2,C
13:57,1.25,C
13:58,1.1,C
13:59,1.2,C
14:00,1.15,C
14:01,1.15,C
14:02,1.5,C
14:03,1.35,C
14:04,1.4,C
14:05,1.5,C
14:06,1.55,C
14:07,1.75,C
14:08,1.9,C
14:09,1.55,C
14:10,1.2,C
14:11,1.05,C
14:12,1.1,C
14:13,0.8,C
14:14,0.7,C
14:15,0.7,C
14:16,0.75,C
14:17,0.55,C
14:18,0.55,C
14:19,0.4,C
14:20,0.4,C
14:21,0.4,C
14:22,0.3,C
14:23,0.3,C
14:24,0.25,C
14:25,0.2,C
14:26,0.2,C
14:27,0.2,C
14:28,0.25,C
14:29,0.3,C
14:30,0.25,C
14:31,0.25,C
14:32,0.3,C
14:33,0.3,C
14:34,0.3,C
14:35,0.25,C
14:36,0.25,C
14:37,0.2,C
14:38,0.2,C
14:39,0.2,C
14:40,0.2,C
14:41,0.2,C
14:42,0.2,C
14:43,0.2,C
14:44,0.25,C
14:45,0.2,C
14:46,0.2,C
14:47,0.2,C
14:48,0.2,C
14:49,0.2,C
14:50,0.2,C
14:51,0.2,C
14:52,0.2,C
14:53,0.2,C
14:54,0.2,C
14:55,0.2,C
14:56,0.2,C
14:57,0.2,C
14:58,0.2,C
14:59,0.2,C
15:00,0.2,C
15:01,0.2,C
15:02,0.15,C
15:03,0.15,C
15:04,0.15,C
15:05,0.15,C
15:06,0.15,C
15:07,0.15,C
15:08,0.15,C
15:09,0.1,C
15:10,0.1,C
15:11,0.15,C
15:12,0.15,C
15:13,0.15,C
15:14,0.15,C
15:15,0.15,C
15:16,0.1,C
15:17,0.1,C
15:18,0.1,C
15:19,0.1,C
15:20,0.1,C
15:21,0.1,C
15:22,0.1,C
15:23,0.1,C
15:24,0.1,C
15:25,0.1,C
15:26,0.1,C
15:27,0.1,C
15:28,0.1,C
15:29,0.1,C
15:30,0.1,C
15:31,0.1,C
15:32,0.1,C
15:33,0.1,C
15:34,0.1,C
15:35,0.1,C
15:36,0.1,C
15:37,0.1,C
15:38,0.1,C
15:39,0.05,C
15:40,0.05,C
15:41,0.05,C
15:42,0.05,C
15:43,0.05,C
15:44,0.05,C
15:45,0.05,C
15:46,0.05,C
15:47,0.05,C
15:48,0.05,C
15:49,0.05,C
15:50,0.05,C
15:51,0.05,C
15:52,0.05,C
15:53,0.05,C
15:54,0.05,C
15:55,0.05,C
15:56,0.05,C
15:57,0.05,C
15:58,0.05,C
15:59,0.05,C
16:00,0.05,C
16:01,0.05,C
16:02,0.05,C
16:03,0.05,C
16:04,0.05,C
16:05,0.05,C
16:06,0.05,C
16:07,0.05,C
16:08,0.05,C
16:09,0.05,C
16:10,0.05,C
16:11,0.05,C
16:12,0.05,C
16:13,0.05,C
16:14,0.05,C
16:15,0.05,C
09:32,10.3,P
09:33,8.5,P
09:34,8.7,P
09:35,9.4,P
09:36,9.7,P
09:37,9.9,P
09:38,9.4,P
09:40,9.6,P
09:41,8.9,P
09:42,8.9,P
09:43,8.6,P
09:44,8.8,P
09:45,8.9,P
09:46,7.6,P
09:47,7.4,P
09:48,7.2,P
09:49,6.9,P
09:50,6.2,P
09:51,6.2,P
09:52,5.7,P
09:53,6.5,P
09:54,6.6,P
09:55,5.7,P
09:56,6.0,P
09:57,6.1,P
09:58,6.7,P
09:59,6.4,P
10:00,6.4,P
10:01,6.4,P
10:02,5.7,P
10:03,5.9,P
10:04,6.0,P
10:05,6.2,P
10:06,6.3,P
10:07,6.5,P
10:08,6.2,P
10:09,5.6,P
10:10,5.6,P
10:11,5.5,P
10:12,5.6,P
10:13,5.8,P
10:14,6.2,P
10:15,5.9,P
10:16,8.0,P
10:17,7.2,P
10:18,5.9,P
10:19,6.3,P
10:20,5.9,P
10:21,6.3,P
10:22,6.4,P
10:23,6.4,P
10:24,5.9,P
10:25,5.9,P
10:26,5.0,P
10:27,4.7,P
10:28,4.7,P
10:29,4.9,P
10:30,4.8,P
10:31,4.9,P
10:32,5.1,P
10:33,4.8,P
10:34,4.7,P
10:35,4.6,P
10:36,4.5,P
10:37,4.7,P
10:38,4.5,P
10:39,4.3,P
10:40,3.8,P
10:41,3.9,P
10:42,4.7,P
10:43,4.3,P
10:44,4.4,P
10:45,4.4,P
10:46,4.8,P
10:47,4.7,P
10:48,4.3,P
10:49,4.0,P
10:50,4.4,P
10:51,5.3,P
10:52,5.4,P
10:53,5.2,P
10:54,5.6,P
10:55,5.2,P
10:56,5.6,P
10:57,5.4,P
10:58,5.5,P
10:59,5.5,P
11:00,5.4,P
11:01,4.8,P
11:02,4.7,P
11:03,3.8,P
11:04,3.9,P
11:05,4.0,P
11:06,4.0,P
11:07,3.8,P
11:08,3.7,P
11:09,3.9,P
11:10,4.0,P
11:11,4.1,P
11:12,3.9,P
11:13,3.8,P
11:14,4.0,P
11:15,4.1,P
11:16,4.3,P
11:17,4.2,P
11:18,4.3,P
11:19,4.5,P
11:20,5.0,P
11:21,4.4,P
11:22,4.3,P
11:23,4.0,P
11:24,3.6,P
11:25,3.7,P
11:26,3.7,P
11:27,3.5,P
11:28,3.2,P
11:29,3.2,P
11:30,3.2,P
11:31,3.1,P
11:32,3.3,P
11:33,3.2,P
11:34,3.2,P
11:35,3.4,P
11:36,3.7,P
11:37,3.7,P
11:38,3.5,P
11:39,3.2,P
11:40,3.1,P
11:41,2.95,P
11:42,3.1,P
11:43,2.95,P
11:44,2.65,P
11:45,2.85,P
11:46,2.95,P
11:47,3.1,P
11:48,3.2,P
11:49,3.1,P
11:50,3.0,P
11:51,2.95,P
11:52,3.2,P
11:53,2.9,P
11:54,3.1,P
11:55,2.75,P
11:56,2.65,P
11:57,2.8,P
11:58,2.55,P
11:59,2.8,P
12:00,3.4,P
12:01,2.9,P
12:02,2.6,P
12:03,3.1,P
12:04,3.2,P
12:05,3.3,P
12:06,3.7,P
12:07,4.1,P
12:08,3.8,P
12:09,3.6,P
12:10,4.1,P
12:11,4.3,P
12:12,4.5,P
12:13,4.4,P
12:14,3.6,P
12:15,3.7,P
12:16,3.9,P
12:17,4.1,P
12:18,4.0,P
12:19,4.9,P
12:20,4.5,P
12:21,4.6,P
12:22,4.2,P
12:23,4.3,P
12:24,4.0,P
12:25,4.0,P
12:26,4.3,P
12:27,4.5,P
12:28,4.7,P
12:29,4.9,P
12:30,5.1,P
12:31,4.8,P
12:32,4.7,P
12:33,4.8,P
12:34,5.3,P
12:35,5.5,P
12:37,6.1,P
