quote_datetime,ask,option_type
09:53,12.7,C
09:54,13.2,C
10:02,11.1,C
10:03,10.7,C
10:04,11.3,C
10:05,10.9,C
10:06,8.9,C
10:07,9.0,C
10:08,8.6,C
10:09,8.5,C
10:10,9.4,C
10:11,8.7,C
10:12,8.7,C
10:13,9.0,C
10:14,9.0,C
10:15,10.3,C
10:16,9.0,C
10:17,9.2,C
10:18,10.1,C
10:19,10.6,C
10:20,11.3,C
10:21,10.7,C
10:22,10.1,C
10:23,9.8,C
10:24,8.5,C
10:25,8.2,C
10:26,9.6,C
10:27,10.4,C
10:29,10.2,C
10:30,10.2,C
10:31,9.5,C
10:32,9.6,C
10:33,9.8,C
10:34,10.0,C
10:35,8.4,C
10:36,6.8,C
10:37,6.0,C
10:38,6.0,C
10:39,5.0,C
10:40,4.4,C
10:41,4.1,C
10:42,4.2,C
10:43,4.3,C
10:44,4.4,C
10:45,4.6,C
10:46,4.4,C
10:47,4.3,C
10:48,4.3,C
10:49,4.2,C
10:50,3.8,C
10:51,4.3,C
10:52,4.2,C
10:53,4.3,C
10:54,4.2,C
10:55,4.3,C
10:56,3.9,C
10:57,4.3,C
10:58,4.5,C
10:59,3.8,C
11:00,4.0,C
11:01,3.3,C
11:02,4.1,C
11:03,3.7,C
11:04,3.9,C
11:05,3.2,C
11:06,3.1,C
11:07,3.1,C
11:08,2.8,C
11:09,2.85,C
11:10,2.8,C
11:11,3.4,C
11:12,3.4,C
11:13,3.6,C
11:14,3.8,C
11:15,3.5,C
11:16,3.6,C
11:17,3.6,C
11:18,3.9,C
11:19,3.3,C
11:20,3.0,C
11:21,3.4,C
11:22,3.4,C
11:23,3.7,C
11:24,4.1,C
11:25,4.5,C
11:26,3.9,C
11:27,4.1,C
11:28,4.2,C
11:29,3.6,C
11:30,3.8,C
11:31,3.5,C
11:32,3.1,C
11:33,3.1,C
11:34,3.3,C
11:35,3.2,C
11:36,3.9,C
11:37,4.0,C
11:38,4.0,C
11:39,3.3,C
11:40,3.9,C
11:41,4.0,C
11:42,4.0,C
11:43,4.1,C
11:44,3.9,C
11:45,3.0,C
11:46,3.3,C
11:47,3.4,C
11:48,3.4,C
11:49,3.7,C
11:50,3.4,C
11:51,3.1,C
11:52,3.8,C
11:53,3.9,C
11:54,4.5,C
11:55,4.8,C
11:56,4.3,C
11:57,4.2,C
11:58,3.4,C
11:59,3.2,C
12:00,3.2,C
12:01,3.4,C
12:02,3.4,C
12:03,4.3,C
12:04,4.1,C
12:05,4.1,C
12:06,4.5,C
12:07,4.5,C
12:08,4.1,C
12:09,4.2,C
12:10,4.2,C
12:11,4.7,C
12:12,5.7,C
12:13,5.3,C
12:14,5.4,C
12:15,5.6,C
12:16,5.3,C
12:17,4.3,C
12:18,4.8,C
12:19,4.6,C
12:20,4.8,C
12:21,5.4,C
12:22,5.8,C
12:23,5.4,C
12:24,5.0,C
12:25,5.0,C
12:26,5.5,C
12:27,5.6,C
12:28,6.0,C
12:29,6.2,C
12:30,6.3,C
12:31,6.9,C
12:32,6.0,C
12:33,5.9,C
12:34,5.6,C
12:35,5.4,C
12:36,6.1,C
12:37,5.7,C
12:38,5.7,C
12:39,5.7,C
12:40,5.4,C
12:41,4.3,C
12:42,4.4,C
12:43,4.5,C
12:44,4.5,C
12:45,4.6,C
12:46,4.6,C
12:47,4.1,C
12:48,4.0,C
12:49,3.5,C
12:50,3.3,C
12:51,3.8,C
12:52,4.2,C
12:53,4.1,C
12:54,3.8,C
12:55,3.9,C
12:56,3.9,C
12:57,3.4,C
12:58,3.4,C
12:59,3.3,C
13:00,3.9,C
13:01,4.0,C
13:02,4.4,C
13:03,3.2,C
13:04,3.4,C
13:05,2.85,C
13:06,2.5,C
13:07,2.65,C
13:08,2.45,C
13:09,2.25,C
13:10,2.15,C
13:11,2.5,C
13:12,2.5,C
13:13,3.1,C
13:14,3.8,C
13:15,3.6,C
13:16,3.4,C
13:17,3.3,C
13:18,3.6,C
13:19,4.1,C
13:20,3.5,C
13:21,3.3,C
13:22,3.6,C
13:23,4.1,C
13:24,4.4,C
13:25,3.7,C
13:26,3.8,C
13:27,4.0,C
13:28,4.2,C
13:29,3.9,C
13:30,4.5,C
13:31,3.9,C
13:32,3.2,C
13:33,3.7,C
13:34,4.8,C
13:35,5.8,C
13:36,7.7,C
09:31,10.2,P
09:32,8.4,P
09:33,8.8,P
09:34,7.8,P
09:35,7.9,P
09:36,7.0,P
09:37,7.9,P
09:38,8.6,P
09:39,9.4,P
09:40,10.6,P
09:41,11.5,P
09:42,11.4,P
09:43,12.0,P
09:44,12.0,P
09:45,12.2,P
09:46,13.0,P
09:47,12.0,P
09:48,12.3,P
09:49,12.6,P
09:50,13.3,P
09:51,12.3,P
09:52,13.5,P
09:55,12.7,P
09:56,10.6,P
09:57,11.0,P
09:58,10.6,P
09:59,10.6,P
10:00,10.4,P
10:01,12.1,P
10:28,11.2,P
13:37,7.4,P
13:38,6.9,P
13:39,6.6,P
13:40,6.9,P
13:41,6.1,P
13:42,5.9,P
13:43,5.7,P
13:44,5.9,P
13:45,5.7,P
13:46,5.9,P
13:47,5.7,P
13:48,5.8,P
13:49,5.5,P
13:50,5.8,P
13:51,5.5,P
13:52,5.4,P
13:53,5.1,P
13:54,5.8,P
13:55,6.4,P
13:56,5.9,P
13:57,6.7,P
13:58,6.5,P
13:59,5.7,P
14:00,5.1,P
14:01,4.0,P
14:02,3.7,P
14:03,3.7,P
14:04,3.5,P
14:05,3.5,P
14:06,3.9,P
14:07,4.1,P
14:08,4.6,P
14:09,4.5,P
14:10,4.8,P
14:11,4.5,P
14:12,5.4,P
14:13,4.5,P
14:14,4.8,P
14:15,4.5,P
14:16,3.7,P
14:17,3.7,P
14:18,3.4,P
14:19,3.4,P
14:20,3.6,P
14:21,4.2,P
14:22,3.7,P
14:23,3.9,P
14:24,4.4,P
14:25,4.4,P
14:26,4.9,P
14:27,4.9,P
14:28,4.8,P
14:29,4.1,P
14:30,3.7,P
14:31,3.4,P
14:32,3.2,P
14:33,2.5,P
14:34,2.15,P
14:35,2.05,P
14:36,2.1,P
14:37,2.2,P
14:38,2.0,P
14:39,1.9,P
14:40,1.3,P
14:41,1.2,P
14:42,1.1,P
14:43,1.1,P
14:44,1.95,P
14:45,1.65,P
14:46,1.7,P
14:47,1.4,P
14:48,1.7,P
14:49,1.45,P
14:50,1.6,P
14:51,1.6,P
14:52,1.45,P
14:53,1.5,P
14:54,1.4,P
14:55,1.55,P
14:56,1.7,P
14:57,1.75,P
14:58,1.45,P
14:59,1.25,P
15:00,1.15,P
15:01,0.95,P
15:02,1.0,P
15:03,1.25,P
15:04,0.9,P
15:05,1.05,P
15:06,1.0,P
15:07,1.15,P
15:08,1.1,P
15:09,0.95,P
15:10,1.1,P
15:11,1.25,P
15:12,1.55,P
15:13,2.05,P
15:14,1.7,P
15:15,1.4,P
15:16,1.7,P
15:17,1.05,P
15:18,1.35,P
15:19,1.45,P
15:20,1.35,P
15:21,1.15,P
15:22,1.6,P
15:23,1.4,P
15:24,1.75,P
15:25,1.45,P
15:26,1.15,P
15:27,0.9,P
15:28,0.9,P
15:29,0.6,P
15:30,0.5,P
15:31,0.45,P
15:32,0.4,P
15:33,0.35,P
15:34,0.4,P
15:35,0.55,P
15:36,0.45,P
15:37,0.5,P
15:38,0.5,P
15:39,0.45,P
15:40,0.5,P
15:41,0.45,P
15:42,0.4,P
15:43,0.45,P
15:44,0.55,P
15:45,0.5,P
15:46,0.25,P
15:47,0.4,P
15:48,0.4,P
15:49,0.25,P
15:50,0.25,P
15:51,0.3,P
15:52,0.2,P
15:53,0.2,P
15:54,0.2,P
15:55,0.2,P
15:56,0.2,P
15:57,0.15,P
15:58,0.1,P
15:59,0.05,P
16:00,0.05,P
16:01,0.05,P
16:02,0.05,P
16:03,0.05,P
16:04,0.05,P
16:05,0.05,P
16:06,0.05,P
16:07,0.05,P
16:08,0.05,P
16:09,0.05,P
16:10,0.05,P
16:11,0.05,P
16:12,0.05,P
16:13,0.05,P
16:14,0.05,P
16:15,0.05,P
