quote_datetime,ask,option_type
09:31,8.5,C
09:32,9.0,C
09:33,7.7,C
09:34,7.8,C
09:35,8.4,C
09:36,8.0,C
09:37,8.2,C
09:38,9.0,C
09:39,8.7,C
09:40,9.2,C
09:41,8.5,C
09:42,9.1,C
09:43,10.8,C
09:44,11.2,C
09:45,11.5,C
09:46,12.0,C
09:47,11.6,C
09:48,10.4,C
09:49,11.9,C
09:51,11.8,C
09:52,11.0,C
09:53,11.0,C
09:54,10.9,C
09:55,11.6,C
10:03,11.0,C
10:04,9.5,C
10:05,8.0,C
10:06,8.2,C
10:07,8.5,C
10:08,7.8,C
10:09,8.7,C
10:10,9.1,C
10:11,10.2,C
10:12,8.4,C
10:13,8.8,C
10:14,9.3,C
10:15,9.3,C
10:16,9.6,C
10:17,9.4,C
10:18,10.3,C
10:19,9.8,C
10:20,10.4,C
10:21,9.3,C
10:22,9.0,C
10:23,10.5,C
10:26,10.6,C
10:28,10.1,C
10:29,9.3,C
10:30,9.3,C
10:31,8.9,C
10:32,9.9,C
10:33,9.0,C
10:34,9.4,C
10:35,8.3,C
10:36,8.1,C
10:37,8.1,C
10:38,7.3,C
10:39,7.0,C
10:40,6.8,C
10:41,6.4,C
10:42,6.6,C
10:43,6.4,C
10:44,8.0,C
10:45,7.9,C
10:46,7.8,C
10:47,6.9,C
10:48,6.6,C
10:49,6.1,C
10:50,4.8,C
10:51,4.8,C
10:52,4.4,C
10:53,4.5,C
10:54,4.9,C
10:55,4.8,C
10:56,4.9,C
10:57,4.6,C
10:58,5.1,C
10:59,5.1,C
11:00,4.7,C
11:01,4.8,C
11:02,5.0,C
11:03,5.0,C
11:04,4.9,C
11:05,5.5,C
11:06,5.4,C
11:07,5.2,C
11:08,4.7,C
11:09,4.9,C
11:10,5.0,C
11:11,4.4,C
11:12,4.5,C
11:13,5.1,C
11:14,5.6,C
11:15,5.3,C
11:16,5.6,C
11:17,5.6,C
11:18,5.9,C
11:19,6.3,C
11:20,6.5,C
11:21,6.4,C
11:22,6.3,C
11:23,7.1,C
11:24,7.5,C
11:25,7.2,C
11:26,7.1,C
11:27,7.4,C
11:28,8.0,C
11:47,7.7,C
11:48,7.4,C
11:49,8.2,C
11:50,8.2,C
11:51,8.8,C
12:46,8.0,C
09:50,12.3,P
09:56,11.7,P
09:57,11.0,P
09:58,10.5,P
09:59,11.2,P
10:00,10.9,P
10:01,10.4,P
10:02,11.2,P
10:24,11.1,P
10:25,10.4,P
10:27,10.7,P
11:29,8.9,P
11:30,9.2,P
11:31,8.2,P
11:32,8.4,P
11:33,8.7,P
11:34,8.0,P
11:35,8.3,P
11:36,8.4,P
11:37,8.5,P
11:38,8.2,P
11:39,8.5,P
11:40,8.6,P
11:41,8.6,P
11:42,8.9,P
11:43,9.2,P
11:44,9.0,P
11:45,8.5,P
11:46,8.8,P
11:52,8.7,P
11:53,8.6,P
11:54,8.4,P
11:55,8.5,P
11:56,7.7,P
11:57,8.4,P
11:58,8.0,P
11:59,7.6,P
12:00,7.1,P
12:01,7.5,P
12:02,7.5,P
12:03,7.9,P
12:04,7.9,P
12:05,8.0,P
12:06,7.6,P
12:07,6.7,P
12:08,5.7,P
12:09,5.4,P
12:10,5.7,P
12:11,5.5,P
12:12,5.8,P
12:13,5.7,P
12:14,5.8,P
12:15,6.0,P
12:16,5.5,P
12:17,5.5,P
12:18,5.4,P
12:19,4.8,P
12:20,4.8,P
12:21,4.3,P
12:22,3.6,P
12:23,3.9,P
12:24,4.1,P
