quote_datetime,ask,option_type
09:31,6.7,C
09:32,7.3,C
09:51,8.0,C
10:10,7.5,C
10:22,6.6,C
10:23,6.6,C
10:24,6.4,C
10:25,6.1,C
10:26,5.3,C
10:27,5.0,C
10:28,4.5,C
10:29,4.6,C
10:30,4.6,C
10:31,4.3,C
10:32,4.8,C
10:33,5.6,C
10:34,5.5,C
10:35,5.3,C
10:36,5.1,C
10:37,5.3,C
10:38,5.0,C
10:39,4.4,C
10:40,4.6,C
10:41,4.3,C
10:42,4.1,C
10:43,4.2,C
10:44,4.7,C
10:45,4.9,C
10:46,5.0,C
10:47,5.3,C
10:48,4.9,C
10:49,4.7,C
10:50,4.3,C
10:51,3.9,C
10:52,4.0,C
10:53,3.5,C
10:54,3.4,C
10:55,3.2,C
10:56,3.7,C
10:57,3.7,C
10:58,3.6,C
10:59,3.0,C
11:00,2.85,C
11:01,3.5,C
11:02,3.7,C
11:03,4.0,C
11:04,4.0,C
11:05,4.4,C
11:06,4.1,C
11:07,3.6,C
11:08,3.7,C
11:09,3.3,C
11:10,2.95,C
11:11,2.55,C
11:12,2.6,C
11:13,3.1,C
11:14,3.1,C
11:15,2.95,C
11:16,2.8,C
11:17,2.8,C
11:18,2.75,C
11:19,2.8,C
11:20,2.6,C
11:21,2.85,C
11:22,3.2,C
11:23,3.3,C
11:24,3.2,C
11:25,2.95,C
11:26,2.85,C
11:27,2.75,C
11:28,3.2,C
11:29,3.4,C
11:30,3.8,C
11:31,4.2,C
11:32,4.3,C
11:33,4.1,C
11:34,4.4,C
11:35,4.1,C
11:36,4.4,C
11:37,4.3,C
11:38,4.5,C
11:39,4.3,C
11:40,4.1,C
11:41,4.6,C
11:42,4.6,C
11:43,4.4,C
11:44,4.2,C
11:45,4.1,C
11:46,4.1,C
11:47,4.8,C
11:48,4.9,C
11:49,4.8,C
11:50,4.6,C
11:51,4.8,C
11:52,4.8,C
11:53,5.2,C
11:54,5.3,C
11:55,5.1,C
11:56,4.7,C
11:57,4.7,C
11:58,5.3,C
11:59,5.1,C
12:00,4.8,C
12:01,5.1,C
12:32,4.5,C
12:33,4.7,C
12:34,4.2,C
12:35,4.0,C
12:36,4.5,C
12:37,4.4,C
12:38,3.9,C
12:39,4.4,C
12:40,4.3,C
12:58,4.6,C
12:59,4.6,C
13:55,4.2,C
13:56,4.3,C
13:57,3.6,C
13:58,3.6,C
13:59,4.1,C
14:00,3.6,C
14:01,2.95,C
14:02,2.85,C
14:03,3.0,C
14:04,3.3,C
14:05,2.9,C
14:06,2.8,C
14:07,2.85,C
14:08,3.1,C
14:09,2.8,C
14:10,2.75,C
14:11,3.1,C
14:12,3.1,C
14:13,3.5,C
14:14,3.3,C
14:15,2.7,C
14:16,2.8,C
14:17,3.0,C
14:18,3.3,C
14:19,2.9,C
14:20,2.6,C
14:21,2.25,C
14:22,1.95,C
14:23,2.05,C
14:24,2.15,C
14:25,2.0,C
14:26,2.45,C
14:27,2.25,C
14:28,2.05,C
14:29,2.55,C
14:30,2.2,C
14:31,2.05,C
14:32,2.4,C
14:33,2.1,C
14:34,2.25,C
14:35,2.05,C
14:36,1.8,C
14:37,1.85,C
14:38,1.8,C
14:39,1.7,C
14:40,1.8,C
14:41,1.45,C
14:42,1.35,C
14:43,1.3,C
14:44,1.15,C
14:45,1.15,C
14:46,1.05,C
14:47,1.0,C
14:48,1.0,C
14:49,0.75,C
14:50,0.8,C
14:51,0.45,C
14:52,0.45,C
14:53,0.4,C
14:54,0.4,C
14:55,0.35,C
14:56,0.4,C
14:57,0.45,C
14:58,0.35,C
14:59,0.4,C
15:00,0.35,C
15:01,0.25,C
15:02,0.25,C
15:03,0.25,C
15:04,0.25,C
15:05,0.2,C
15:06,0.2,C
15:07,0.2,C
15:08,0.2,C
15:09,0.25,C
15:10,0.2,C
15:11,0.25,C
15:12,0.2,C
15:13,0.2,C
15:14,0.2,C
15:15,0.2,C
15:16,0.15,C
15:17,0.15,C
15:18,0.15,C
15:19,0.15,C
15:20,0.15,C
15:21,0.15,C
15:22,0.15,C
15:23,0.15,C
15:24,0.15,C
15:25,0.1,C
15:26,0.15,C
15:27,0.1,C
15:28,0.15,C
15:29,0.15,C
15:30,0.15,C
15:31,0.15,C
15:32,0.15,C
15:33,0.15,C
15:34,0.15,C
15:35,0.1,C
15:36,0.1,C
15:37,0.1,C
15:38,0.1,C
15:39,0.1,C
15:40,0.1,C
15:41,0.1,C
15:42,0.1,C
15:43,0.1,C
15:44,0.1,C
15:45,0.1,C
15:46,0.1,C
15:47,0.05,C
15:48,0.05,C
15:49,0.05,C
15:50,0.05,C
15:51,0.05,C
15:52,0.05,C
15:53,0.05,C
15:54,0.05,C
15:55,0.05,C
15:56,0.05,C
15:57,0.05,C
15:58,0.05,C
15:59,0.05,C
16:00,0.05,C
16:01,0.05,C
16:02,0.05,C
16:03,0.05,C
