quote_datetime,ask,option_type
09:31,0.8,C
09:32,0.9,C
09:33,0.85,C
09:34,1.0,C
09:35,1.2,C
09:36,1.05,C
09:37,0.85,C
09:38,0.75,C
09:39,0.9,C
09:40,0.9,C
09:41,0.8,C
09:42,0.8,C
09:43,0.95,C
09:44,0.6,C
09:45,0.65,C
09:46,0.8,C
09:47,0.85,C
09:48,0.85,C
09:49,0.65,C
09:50,0.75,C
09:51,0.85,C
09:52,1.0,C
09:53,1.0,C
09:54,1.35,C
09:55,1.4,C
09:56,1.45,C
09:57,1.35,C
09:58,1.35,C
09:59,1.3,C
10:00,1.55,C
10:01,2.0,C
10:02,1.9,C
10:03,1.95,C
10:04,1.8,C
10:05,1.9,C
10:06,1.45,C
10:07,1.45,C
10:08,1.6,C
10:09,1.7,C
10:10,1.65,C
10:11,1.65,C
10:12,1.65,C
10:13,1.6,C
10:14,1.6,C
10:15,1.55,C
10:16,1.35,C
10:17,1.2,C
10:18,0.95,C
10:19,1.1,C
10:20,1.3,C
10:21,1.6,C
10:22,1.3,C
10:23,1.1,C
10:24,1.05,C
10:25,1.1,C
10:26,1.05,C
10:27,1.0,C
10:28,0.95,C
10:29,1.15,C
10:30,0.95,C
10:31,0.65,C
10:32,0.55,C
10:33,0.5,C
10:34,0.6,C
10:35,0.65,C
10:36,0.75,C
10:37,0.75,C
10:38,0.75,C
10:39,0.9,C
10:40,0.95,C
10:41,0.85,C
10:42,0.8,C
10:43,0.9,C
10:44,1.1,C
10:45,1.25,C
10:46,1.15,C
10:47,1.2,C
10:48,1.45,C
10:49,1.3,C
10:50,1.3,C
10:51,1.3,C
10:52,1.25,C
10:53,1.3,C
10:54,1.3,C
10:55,1.35,C
10:56,1.45,C
10:57,1.35,C
10:58,1.15,C
10:59,1.45,C
11:00,1.3,C
11:01,1.2,C
11:02,1.2,C
11:03,1.25,C
11:04,1.15,C
11:05,1.05,C
11:06,1.15,C
11:07,1.0,C
11:08,1.25,C
11:09,1.5,C
11:10,1.45,C
11:11,1.45,C
11:12,1.25,C
11:13,1.2,C
11:14,1.05,C
11:15,1.2,C
11:16,1.2,C
11:17,1.0,C
11:18,1.1,C
11:19,1.0,C
11:20,0.9,C
11:21,1.0,C
11:22,0.95,C
11:23,1.15,C
11:24,1.35,C
11:25,1.65,C
11:26,1.65,C
11:27,1.4,C
11:28,1.7,C
11:29,1.7,C
11:30,1.7,C
11:31,1.95,C
11:32,2.4,C
11:33,2.4,C
11:34,2.5,C
11:35,2.25,C
11:36,2.35,C
11:37,2.45,C
11:38,2.2,C
11:39,2.4,C
11:40,2.1,C
11:41,2.6,C
11:42,2.75,C
11:43,2.9,C
11:44,3.3,C
11:45,3.4,C
11:46,3.2,C
11:47,3.2,C
11:48,3.3,C
11:49,3.1,C
11:50,3.3,C
11:51,3.6,C
11:52,3.4,C
11:53,3.7,C
11:54,3.9,C
11:55,3.9,C
11:56,3.2,C
11:57,3.1,C
11:58,2.75,C
11:59,3.1,C
12:00,3.2,C
12:01,3.3,C
12:02,3.1,C
12:03,2.7,C
12:04,2.4,C
12:05,2.65,C
12:06,2.5,C
12:07,2.3,C
12:08,2.35,C
12:09,2.5,C
12:10,2.35,C
12:11,2.3,C
12:12,2.15,C
12:13,2.4,C
12:14,2.5,C
12:15,2.5,C
12:16,2.6,C
12:17,2.55,C
12:18,3.0,C
12:19,3.0,C
12:20,3.2,C
12:21,2.8,C
12:22,3.1,C
12:23,3.1,C
12:24,2.75,C
12:25,2.8,C
12:26,2.85,C
12:27,3.3,C
12:28,4.0,C
12:29,4.8,C
12:30,4.8,C
12:31,4.7,C
12:32,3.9,C
12:33,3.5,C
12:34,3.1,C
12:35,3.4,C
12:36,3.4,C
12:37,3.7,C
12:38,3.6,C
12:39,3.9,C
12:40,3.6,C
12:41,3.8,C
12:42,4.1,C
12:43,4.1,C
12:44,4.2,C
12:45,3.9,C
12:46,3.3,C
12:47,2.95,C
12:48,2.65,C
12:49,2.3,C
12:50,1.95,C
12:51,2.2,C
12:52,2.0,C
12:53,2.1,C
12:54,1.8,C
12:55,1.3,C
12:56,1.25,C
12:57,1.6,C
12:58,1.55,C
12:59,1.7,C
13:00,1.55,C
13:01,1.6,C
13:02,1.65,C
13:03,1.6,C
13:04,1.4,C
13:05,1.25,C
13:06,1.1,C
13:07,1.15,C
13:08,1.5,C
13:09,1.7,C
13:10,1.7,C
13:11,1.6,C
13:12,1.6,C
13:13,1.5,C
13:14,1.6,C
13:15,1.65,C
13:16,1.6,C
13:17,1.6,C
13:18,1.35,C
13:19,1.35,C
13:20,1.3,C
13:21,1.35,C
13:22,1.45,C
13:23,1.7,C
13:24,1.6,C
13:25,1.7,C
13:26,1.4,C
13:27,1.3,C
13:28,1.2,C
13:29,0.95,C
13:30,0.95,C
13:31,0.75,C
13:32,0.7,C
13:33,0.65,C
13:34,0.7,C
13:35,0.6,C
13:36,0.65,C
13:37,0.75,C
13:38,0.8,C
13:39,0.8,C
13:40,0.75,C
13:41,0.6,C
13:42,0.65,C
13:43,0.7,C
13:44,0.55,C
13:45,0.55,C
13:46,0.55,C
13:47,0.8,C
13:48,0.85,C
13:49,0.75,C
13:50,0.75,C
