quote_datetime,ask,option_type
09:31,10.4,C
09:32,8.6,C
09:33,9.6,C
09:34,10.6,C
09:35,8.5,C
09:36,8.3,C
09:37,8.0,C
09:38,7.8,C
09:39,8.3,C
09:40,8.4,C
09:41,7.9,C
09:42,8.2,C
09:43,7.5,C
09:44,7.4,C
09:45,8.6,C
09:46,8.9,C
09:47,9.1,C
09:48,8.7,C
09:49,10.1,C
09:50,10.8,C
09:51,10.3,C
09:52,9.7,C
09:53,10.3,C
09:54,10.6,C
09:55,10.0,C
09:56,10.3,C
09:57,10.5,C
09:58,10.7,C
09:59,9.5,C
10:00,9.2,C
10:01,10.2,C
10:02,11.2,C
10:03,10.1,C
10:04,10.8,C
10:05,10.5,C
10:06,10.8,C
10:07,9.3,C
10:08,10.0,C
10:09,10.3,C
10:10,9.1,C
10:11,10.2,C
10:12,10.1,C
10:13,9.8,C
10:14,9.2,C
10:15,8.5,C
10:16,8.7,C
10:17,8.9,C
10:18,8.2,C
10:19,8.4,C
10:20,8.0,C
10:21,7.2,C
10:22,6.6,C
10:23,6.4,C
10:24,5.9,C
10:25,6.1,C
10:26,5.9,C
10:27,5.2,C
10:28,5.1,C
10:29,4.8,C
10:30,5.0,C
10:31,5.0,C
10:32,5.4,C
10:33,5.5,C
10:34,5.5,C
10:35,5.2,C
10:36,5.1,C
10:37,5.2,C
10:38,5.6,C
10:39,5.1,C
10:40,5.7,C
10:41,5.7,C
10:42,6.6,C
10:43,6.0,C
10:44,5.9,C
10:45,5.7,C
10:46,5.6,C
10:47,6.0,C
10:48,5.7,C
10:49,5.5,C
10:50,5.2,C
10:51,4.5,C
10:52,4.5,C
10:53,4.1,C
10:54,3.9,C
10:55,3.7,C
10:56,3.5,C
10:57,3.5,C
10:58,3.4,C
10:59,3.5,C
11:00,3.6,C
11:01,3.4,C
11:02,3.3,C
11:03,3.4,C
11:04,3.5,C
11:05,3.4,C
11:06,3.3,C
11:07,3.2,C
11:08,2.9,C
11:09,2.7,C
11:10,2.6,C
11:11,2.55,C
11:12,2.3,C
11:13,2.25,C
11:14,2.45,C
11:15,2.3,C
11:16,2.1,C
11:17,2.3,C
11:18,2.55,C
11:19,2.5,C
11:20,2.35,C
11:21,2.3,C
11:22,2.3,C
11:23,2.4,C
11:24,2.3,C
11:25,2.6,C
11:26,2.7,C
11:27,2.9,C
11:28,2.7,C
11:29,2.8,C
11:30,3.3,C
11:31,3.6,C
11:32,3.5,C
11:33,3.1,C
11:34,3.1,C
11:35,3.1,C
11:36,3.2,C
11:37,3.6,C
11:38,3.8,C
11:39,3.8,C
11:40,4.1,C
11:41,4.2,C
11:42,3.4,C
11:43,3.3,C
11:44,3.3,C
11:45,3.2,C
11:46,3.1,C
11:47,3.4,C
11:48,3.4,C
11:49,3.7,C
11:50,3.6,C
11:51,3.8,C
11:52,3.9,C
11:53,4.0,C
11:54,4.4,C
11:55,4.4,C
11:56,4.6,C
11:57,4.9,C
11:58,4.6,C
11:59,4.6,C
12:00,5.1,C
12:01,5.5,C
12:02,5.0,C
12:03,5.2,C
12:04,5.6,C
12:05,6.2,C
12:06,5.7,C
12:07,6.1,C
12:08,5.6,C
12:09,5.6,C
12:10,5.5,C
12:11,6.1,C
12:12,5.9,C
12:13,6.2,C
12:14,6.1,C
12:15,6.8,C
12:16,7.8,C
12:17,7.5,C
12:18,9.2,C
12:19,8.5,C
12:20,7.4,C
12:21,7.8,C
12:22,7.8,C
12:23,7.6,C
12:24,7.1,C
12:25,6.3,C
12:26,6.4,C
12:27,6.7,C
12:28,7.1,C
12:29,7.1,C
12:30,6.6,C
12:31,5.8,C
12:32,5.2,C
12:33,5.3,C
