quote_datetime,ask,option_type
09:31,68.9,C
09:32,64.3,C
09:33,67.1,C
09:34,71.3,C
09:35,64.4,C
09:36,63.8,C
09:37,63.2,C
09:38,62.7,C
09:39,64.1,C
09:40,64.2,C
09:41,62.5,C
09:42,64.1,C
09:43,61.5,C
09:44,61.4,C
09:45,65.0,C
09:46,67.2,C
09:47,66.8,C
09:48,65.5,C
09:49,69.4,C
09:50,71.0,C
09:51,69.8,C
09:52,70.2,C
09:53,70.2,C
09:54,70.7,C
09:55,70.4,C
09:56,70.2,C
09:57,70.5,C
09:58,71.4,C
09:59,68.1,C
10:00,70.2,C
10:01,69.9,C
10:02,72.5,C
10:03,70.0,C
10:04,71.9,C
10:05,71.0,C
10:06,72.1,C
10:07,68.5,C
10:08,69.8,C
10:09,70.7,C
10:10,67.8,C
10:11,72.3,C
10:12,70.6,C
10:13,70.4,C
10:14,68.9,C
10:15,66.9,C
10:16,67.5,C
10:17,68.0,C
10:18,66.3,C
10:19,66.8,C
10:20,66.2,C
10:21,63.7,C
10:22,61.7,C
10:23,60.8,C
10:24,58.9,C
10:25,59.9,C
10:26,59.0,C
10:27,56.6,C
10:28,57.2,C
10:29,55.9,C
10:30,56.5,C
10:31,57.3,C
10:32,58.3,C
10:33,58.9,C
10:34,58.8,C
10:35,57.5,C
10:36,57.7,C
10:37,58.0,C
10:38,59.5,C
10:39,57.8,C
10:40,60.3,C
10:41,60.1,C
10:42,63.5,C
10:43,62.0,C
10:44,61.6,C
10:45,60.6,C
10:46,60.9,C
10:47,62.3,C
10:48,61.3,C
10:49,60.6,C
10:50,59.5,C
10:51,56.5,C
10:52,56.0,C
10:53,54.3,C
10:54,54.5,C
10:55,53.2,C
10:56,52.6,C
10:57,52.2,C
10:58,52.2,C
10:59,53.1,C
11:00,54.1,C
11:01,52.4,C
11:02,52.4,C
11:03,52.5,C
11:04,53.4,C
11:05,52.7,C
11:06,52.6,C
11:07,52.2,C
11:08,51.3,C
11:09,50.7,C
11:10,50.2,C
11:11,50.1,C
11:12,48.8,C
11:13,48.9,C
11:14,49.9,C
11:15,48.7,C
11:16,47.1,C
11:17,49.2,C
11:18,50.5,C
11:19,50.2,C
11:20,49.2,C
11:21,49.2,C
11:22,49.2,C
11:23,49.9,C
11:24,49.3,C
11:25,51.3,C
11:26,52.6,C
11:27,53.2,C
11:28,52.6,C
11:29,53.5,C
11:30,55.7,C
11:31,57.0,C
11:32,57.1,C
11:33,55.6,C
11:34,55.5,C
11:35,55.9,C
11:36,56.3,C
11:37,58.3,C
11:38,58.8,C
11:39,58.8,C
11:40,60.2,C
11:41,60.6,C
11:42,57.7,C
11:43,57.0,C
11:44,57.2,C
11:45,56.6,C
11:46,56.5,C
11:47,57.7,C
11:48,57.8,C
11:49,58.9,C
11:50,58.6,C
11:51,59.7,C
11:52,59.9,C
11:53,60.4,C
11:54,61.9,C
11:55,61.8,C
11:56,62.6,C
11:57,63.8,C
11:58,62.7,C
11:59,63.0,C
12:00,64.7,C
12:01,66.0,C
12:02,64.3,C
12:03,64.7,C
12:04,66.5,C
12:05,67.3,C
12:06,66.4,C
12:07,67.8,C
12:08,66.3,C
12:09,66.5,C
12:10,66.4,C
12:11,67.8,C
12:12,67.3,C
12:13,67.9,C
12:14,67.8,C
12:15,69.3,C
12:16,71.5,C
12:17,71.1,C
12:18,77.1,C
12:19,73.2,C
12:20,70.8,C
12:21,71.6,C
12:22,71.6,C
12:23,71.1,C
12:24,70.1,C
12:25,67.8,C
12:26,68.1,C
12:27,69.3,C
12:28,70.1,C
12:29,70.1,C
12:30,69.0,C
12:31,66.9,C
12:32,65.6,C
12:33,65.9,C
12:34,64.4,C
12:35,65.6,C
12:36,67.4,C
12:37,66.4,C
12:38,67.8,C
12:39,68.6,C
12:40,69.3,C
12:41,68.2,C
12:42,68.9,C
12:43,69.3,C
12:44,69.5,C
12:45,71.2,C
12:46,69.1,C
12:47,69.9,C
12:48,73.3,C
12:49,72.0,C
12:50,71.8,C
12:51,71.8,C
12:52,70.3,C
12:53,72.2,C
12:54,70.5,C
12:55,71.7,C
12:56,74.0,C
12:57,72.4,C
12:58,72.5,C
12:59,72.7,C
13:00,74.9,C
13:01,73.9,C
13:02,76.2,C
13:03,76.1,C
13:04,79.7,C
13:05,78.6,C
13:06,79.7,C
13:07,81.9,C
13:08,82.9,C
13:09,80.5,C
13:10,80.1,C
13:11,79.8,C
13:12,79.1,C
13:13,82.2,C
13:14,81.7,C
13:15,81.5,C
13:16,79.2,C
13:17,80.7,C
13:18,80.3,C
13:19,81.1,C
13:20,80.7,C
13:21,81.3,C
13:22,80.7,C
13:23,81.5,C
13:24,81.3,C
13:25,83.3,C
13:26,85.5,C
13:27,89.7,C
13:28,88.0,C
13:29,87.5,C
13:30,92.5,C
13:31,94.2,C
13:32,93.3,C
13:33,93.7,C
13:34,93.9,C
13:35,93.3,C
13:36,92.3,C
13:37,92.0,C
13:38,91.0,C
13:39,92.0,C
13:40,92.7,C
13:41,93.3,C
13:42,92.4,C
13:43,94.7,C
13:44,93.6,C
13:45,92.3,C
13:46,94.1,C
13:47,96.0,C
13:48,96.7,C
