quote_datetime,ask,option_type
09:31,2.1,C
09:32,1.65,C
09:33,1.7,C
09:34,1.55,C
09:35,1.45,C
09:36,1.5,C
09:37,1.5,C
09:38,1.6,C
09:39,1.7,C
09:40,1.75,C
09:41,2.05,C
09:42,1.8,C
09:43,1.8,C
09:44,1.95,C
09:45,2.0,C
09:46,3.0,C
09:47,2.45,C
09:48,3.5,C
09:49,4.9,C
09:50,5.0,C
09:51,6.8,C
09:52,5.7,C
09:53,4.7,C
09:54,3.8,C
09:55,3.9,C
09:56,5.4,C
09:57,5.3,C
09:58,5.6,C
09:59,5.1,C
10:00,5.0,C
10:01,5.1,C
10:02,5.6,C
10:03,5.6,C
10:04,4.3,C
10:05,4.7,C
10:06,4.8,C
10:07,4.7,C
10:08,4.6,C
10:09,4.9,C
10:10,4.3,C
10:11,4.4,C
10:12,4.1,C
10:13,4.2,C
10:14,4.6,C
10:15,4.1,C
10:16,4.5,C
10:17,4.7,C
10:18,4.7,C
10:19,3.9,C
10:20,3.8,C
10:21,3.9,C
10:22,4.1,C
10:23,4.3,C
10:24,4.0,C
10:25,4.4,C
10:26,4.0,C
10:27,4.2,C
10:28,4.0,C
10:29,4.7,C
10:30,5.1,C
10:31,5.2,C
10:32,4.9,C
10:33,5.2,C
10:34,5.3,C
10:35,5.7,C
10:36,5.1,C
10:37,5.1,C
10:38,4.7,C
10:39,4.8,C
10:40,4.1,C
10:41,4.4,C
10:42,4.4,C
10:43,3.9,C
10:44,3.6,C
10:45,3.5,C
10:46,2.75,C
10:47,2.8,C
10:48,3.1,C
10:49,2.9,C
10:50,2.75,C
10:51,2.75,C
10:52,2.85,C
10:53,2.95,C
10:54,2.7,C
10:55,3.0,C
10:56,3.2,C
10:57,3.1,C
10:58,3.1,C
10:59,2.95,C
11:00,3.0,C
11:01,2.65,C
11:02,2.8,C
11:03,2.75,C
11:04,2.8,C
11:05,2.7,C
11:06,2.75,C
11:07,3.5,C
11:08,2.65,C
11:09,2.55,C
11:10,2.85,C
11:11,3.7,C
11:12,3.7,C
11:13,3.9,C
11:14,4.1,C
11:15,4.0,C
11:16,4.1,C
11:17,4.3,C
11:18,4.6,C
11:19,4.9,C
11:20,4.6,C
11:21,4.0,C
11:22,4.1,C
11:23,4.3,C
11:24,4.4,C
11:25,4.5,C
11:26,4.2,C
11:27,4.3,C
11:28,4.7,C
11:29,4.3,C
11:30,3.9,C
11:31,4.6,C
11:32,4.6,C
11:33,4.6,C
11:34,4.8,C
11:35,5.2,C
11:36,5.2,C
11:37,5.0,C
11:38,4.6,C
11:39,4.4,C
11:40,4.5,C
11:41,4.5,C
11:42,4.7,C
11:43,4.7,C
11:44,4.7,C
11:45,4.7,C
11:46,4.6,C
11:47,4.1,C
11:48,4.1,C
11:49,3.2,C
11:50,3.3,C
11:51,3.6,C
11:52,3.2,C
11:53,3.5,C
11:54,3.7,C
11:55,3.5,C
11:56,3.3,C
11:57,3.6,C
11:58,3.6,C
11:59,3.3,C
12:00,3.3,C
12:01,2.95,C
12:02,3.0,C
12:03,3.3,C
12:04,3.5,C
12:05,3.9,C
12:06,3.9,C
12:07,4.1,C
12:08,3.8,C
12:09,4.0,C
12:10,4.1,C
12:11,4.1,C
12:12,4.0,C
12:13,3.8,C
12:14,3.8,C
12:15,3.5,C
12:16,3.4,C
12:17,3.5,C
12:18,3.5,C
12:19,3.6,C
12:20,3.9,C
12:21,4.0,C
12:22,4.0,C
12:23,4.1,C
12:24,4.7,C
12:25,4.8,C
12:26,4.4,C
12:27,4.7,C
12:28,4.9,C
12:29,5.0,C
12:30,4.9,C
12:31,5.3,C
12:32,5.0,C
12:33,5.0,C
12:34,5.0,C
12:35,5.1,C
12:36,4.8,C
12:37,4.8,C
12:38,4.7,C
12:39,4.8,C
12:40,4.5,C
12:41,3.8,C
12:42,3.9,C
12:43,3.7,C
12:44,4.3,C
12:45,4.3,C
12:46,4.3,C
12:47,4.3,C
12:48,4.5,C
12:49,4.3,C
12:50,4.6,C
12:51,4.9,C
12:52,4.8,C
12:53,5.6,C
12:54,5.7,C
12:55,5.9,C
12:56,5.7,C
12:57,6.4,C
12:58,6.8,C
12:59,6.4,C
13:00,6.6,C
13:01,6.0,C
13:02,5.8,C
13:03,5.9,C
13:04,6.0,C
13:05,6.5,C
13:06,6.4,C
13:07,6.1,C
13:08,6.2,C
13:09,6.7,C
13:10,6.6,C
13:11,5.2,C
13:12,5.2,C
13:13,5.2,C
13:14,4.8,C
13:15,4.8,C
13:16,5.2,C
13:17,5.5,C
13:18,5.9,C
13:19,6.1,C
13:20,5.9,C
13:21,6.1,C
13:22,6.2,C
13:23,6.2,C
13:24,6.6,C
13:25,6.7,C
13:26,7.2,C
13:27,7.6,C
13:28,7.5,C
13:29,7.6,C
13:30,8.2,C
13:31,8.3,C
13:32,8.3,C
13:33,8.3,C
13:34,9.7,C
13:35,9.1,C
13:36,9.4,C
13:37,9.5,C
13:38,9.5,C
13:39,9.9,C
13:40,10.0,C
13:41,9.9,C
13:42,10.4,C
13:43,10.7,C
13:44,10.4,C
13:45,10.4,C
13:46,10.5,C
13:47,10.8,C
13:48,10.7,C
13:49,10.7,C
13:50,10.5,C
13:51,9.7,C
13:52,9.7,C
13:53,8.9,C
13:54,9.9,C
13:55,10.4,C
13:56,10.3,C
13:57,10.8,C
13:58,10.5,C
13:59,10.6,C
14:00,10.9,C
14:01,10.7,C
14:02,11.2,C
14:03,12.4,C
14:04,13.0,C
14:05,13.4,C
14:06,12.9,C
14:07,13.8,C
14:08,13.7,C
14:09,13.1,C
14:10,12.9,C
14:11,13.0,C
14:12,13.2,C
14:13,13.7,C
14:14,14.7,C
