quote_datetime,ask,option_type
09:31,9.3,C
09:32,8.0,C
09:33,8.1,C
09:34,7.7,C
09:35,7.4,C
09:36,7.5,C
09:37,7.5,C
09:38,8.2,C
09:39,8.5,C
09:40,8.8,C
09:41,9.9,C
09:42,9.2,C
09:43,9.2,C
09:44,9.7,C
09:45,9.8,C
09:46,12.8,C
09:47,11.6,C
09:48,14.5,C
09:49,17.3,C
09:50,17.4,C
09:51,20.1,C
09:52,18.3,C
09:53,16.5,C
09:54,14.3,C
09:55,14.5,C
09:56,17.5,C
09:57,17.3,C
09:58,18.1,C
09:59,17.3,C
10:00,17.4,C
10:01,17.4,C
10:02,18.4,C
10:03,18.7,C
10:04,15.7,C
10:05,16.4,C
10:06,16.7,C
10:07,16.6,C
10:08,16.4,C
10:09,17.1,C
10:10,15.8,C
10:11,16.0,C
10:12,15.3,C
10:13,15.5,C
10:14,16.6,C
10:15,15.5,C
10:16,16.6,C
10:17,17.3,C
10:18,17.5,C
10:19,15.4,C
10:20,15.1,C
10:21,15.5,C
10:22,15.9,C
10:23,16.4,C
10:24,15.7,C
10:25,16.9,C
10:26,15.8,C
10:27,16.5,C
10:28,16.1,C
10:29,17.8,C
10:30,18.8,C
10:31,19.1,C
10:32,18.6,C
10:33,19.2,C
10:34,19.9,C
10:35,20.6,C
10:36,19.7,C
10:37,19.4,C
10:38,18.6,C
10:39,18.7,C
10:40,17.1,C
10:41,17.7,C
10:42,17.6,C
10:43,16.5,C
10:44,15.6,C
10:45,15.4,C
10:46,13.3,C
10:47,13.4,C
10:48,14.3,C
10:49,13.7,C
10:50,13.2,C
10:51,13.3,C
10:52,13.6,C
10:53,13.9,C
10:54,13.2,C
10:55,13.9,C
10:56,14.5,C
10:57,14.1,C
10:58,14.3,C
10:59,13.9,C
11:00,14.0,C
11:01,13.2,C
11:02,13.6,C
11:03,13.6,C
11:04,13.7,C
11:05,13.4,C
11:06,13.6,C
11:07,15.8,C
11:08,13.5,C
11:09,13.2,C
11:10,14.1,C
11:11,16.4,C
11:12,16.5,C
11:13,17.1,C
11:14,17.8,C
11:15,17.6,C
11:16,18.1,C
11:17,18.5,C
11:18,19.1,C
11:19,20.0,C
11:20,19.2,C
11:21,17.9,C
11:22,18.2,C
11:23,18.8,C
11:24,19.0,C
11:25,19.2,C
11:26,18.4,C
11:27,18.6,C
11:28,19.8,C
