quote_datetime,ask,option_type
09:31,4.7,C
09:32,4.7,C
09:33,4.5,C
09:34,4.0,C
09:35,3.5,C
09:36,3.6,C
09:37,3.7,C
09:38,3.9,C
09:39,4.1,C
09:40,4.2,C
09:41,3.7,C
09:42,4.1,C
09:43,3.7,C
09:44,3.6,C
09:45,3.4,C
09:46,3.5,C
09:47,3.5,C
09:48,3.2,C
09:49,3.3,C
09:50,3.6,C
09:51,3.2,C
09:52,3.2,C
09:53,3.1,C
09:54,3.8,C
09:55,3.2,C
09:56,3.2,C
09:57,3.1,C
09:58,2.95,C
09:59,3.1,C
10:00,3.3,C
10:01,2.8,C
10:02,3.2,C
10:03,3.5,C
10:04,4.1,C
10:05,4.0,C
10:06,4.0,C
10:07,4.5,C
10:08,4.8,C
10:09,4.9,C
10:10,4.3,C
10:11,4.0,C
10:12,4.7,C
10:13,4.3,C
10:14,4.5,C
10:15,4.8,C
10:16,4.3,C
10:17,3.9,C
10:18,3.5,C
10:19,4.0,C
10:20,3.3,C
10:21,2.95,C
10:22,3.1,C
10:23,3.1,C
10:24,2.85,C
10:25,3.2,C
10:26,3.7,C
10:27,4.2,C
10:28,4.7,C
10:29,4.1,C
10:30,3.9,C
10:31,3.2,C
10:32,3.8,C
10:33,3.6,C
10:34,3.9,C
10:35,3.9,C
10:36,3.3,C
10:37,3.6,C
10:38,4.3,C
10:39,4.3,C
10:40,4.7,C
10:41,4.5,C
10:42,4.3,C
10:43,4.6,C
10:44,3.9,C
10:45,3.5,C
10:46,3.7,C
10:47,4.3,C
10:48,4.4,C
10:49,3.6,C
10:50,4.1,C
10:51,4.0,C
10:52,4.1,C
10:53,3.6,C
10:54,3.6,C
10:55,3.3,C
10:56,3.3,C
10:57,3.1,C
10:58,3.1,C
10:59,3.2,C
11:00,3.6,C
11:01,4.2,C
11:02,4.3,C
11:03,4.4,C
11:04,4.5,C
11:05,4.9,C
11:06,5.2,C
11:07,5.4,C
11:08,5.0,C
11:09,4.5,C
11:10,4.4,C
11:11,4.8,C
11:12,5.0,C
11:13,4.7,C
11:14,4.3,C
11:15,4.2,C
11:16,4.7,C
11:17,4.0,C
11:18,4.0,C
11:19,4.3,C
11:20,4.3,C
11:21,4.4,C
11:22,4.5,C
11:23,5.0,C
11:24,5.1,C
11:25,5.0,C
11:26,5.1,C
11:27,5.0,C
11:28,4.5,C
11:29,4.7,C
11:30,4.1,C
11:31,4.0,C
11:32,3.9,C
11:33,4.4,C
11:34,4.3,C
11:35,4.7,C
11:36,4.9,C
11:37,4.6,C
11:38,4.9,C
11:39,4.7,C
11:40,4.8,C
11:41,4.6,C
11:42,4.5,C
11:43,4.2,C
11:44,4.4,C
11:45,4.5,C
11:46,4.7,C
11:47,4.1,C
11:48,4.0,C
11:49,4.0,C
11:50,3.8,C
11:51,3.2,C
11:52,2.85,C
11:53,3.1,C
11:54,3.1,C
11:55,3.0,C
11:56,2.95,C
11:57,2.8,C
11:58,3.1,C
11:59,2.95,C
12:00,2.85,C
12:01,2.85,C
12:02,2.85,C
12:03,2.7,C
12:04,2.5,C
12:05,2.3,C
12:06,2.3,C
12:07,2.35,C
12:08,2.15,C
12:09,2.15,C
12:10,2.0,C
12:11,2.0,C
12:12,2.15,C
12:13,2.45,C
12:14,2.7,C
12:15,2.35,C
12:16,2.35,C
12:17,2.3,C
12:18,2.05,C
12:19,1.95,C
12:20,2.15,C
12:21,1.9,C
12:22,1.8,C
12:23,1.65,C
12:24,1.4,C
12:25,1.4,C
12:26,1.4,C
12:27,1.35,C
12:28,1.2,C
12:29,1.25,C
12:30,1.3,C
12:31,1.2,C
12:32,1.4,C
12:33,1.2,C
12:34,1.25,C
12:35,1.2,C
12:36,1.1,C
12:37,1.15,C
12:38,1.1,C
12:39,1.2,C
12:40,1.15,C
12:41,1.15,C
12:42,1.2,C
12:43,1.1,C
12:44,0.85,C
12:45,0.95,C
12:46,0.9,C
12:47,0.9,C
12:48,1.0,C
12:49,1.15,C
12:50,1.15,C
12:51,1.3,C
12:52,1.3,C
12:53,1.5,C
12:54,1.4,C
12:55,1.35,C
12:56,1.4,C
12:57,1.5,C
12:58,1.45,C
12:59,1.55,C
13:00,1.25,C
13:01,1.4,C
13:02,1.6,C
13:03,1.55,C
13:04,1.45,C
13:05,1.7,C
13:06,1.45,C
13:07,1.35,C
13:08,1.25,C
13:09,1.1,C
13:10,0.95,C
13:11,0.65,C
13:12,0.75,C
13:13,0.9,C
13:14,0.75,C
13:15,0.7,C
13:16,0.6,C
13:17,0.6,C
13:18,0.6,C
13:19,0.6,C
13:20,0.6,C
13:21,0.45,C
13:22,0.4,C
13:23,0.35,C
13:24,0.35,C
13:25,0.35,C
13:26,0.4,C
13:27,0.4,C
13:28,0.4,C
13:29,0.4,C
13:30,0.4,C
13:31,0.35,C
13:32,0.3,C
13:33,0.3,C
13:34,0.3,C
