quote_datetime,ask,option_type
09:31,44.3,C
09:32,45.7,C
09:33,48.4,C
09:34,48.8,C
09:35,47.6,C
09:36,47.5,C
09:37,44.4,C
09:38,42.7,C
09:39,45.4,C
09:40,45.7,C
09:41,44.4,C
09:42,44.7,C
09:43,44.8,C
09:44,45.9,C
09:45,45.4,C
09:46,43.0,C
09:47,44.0,C
09:48,42.7,C
09:49,42.1,C
09:50,42.2,C
09:51,42.5,C
09:52,40.5,C
09:53,39.6,C
09:54,39.6,C
09:55,40.7,C
09:56,39.7,C
09:57,39.8,C
09:58,41.1,C
09:59,42.4,C
10:00,43.6,C
10:01,42.2,C
10:02,41.5,C
10:03,41.8,C
10:04,41.1,C
10:05,40.9,C
10:06,38.4,C
10:07,38.4,C
10:08,40.9,C
10:09,41.0,C
10:10,40.7,C
10:11,41.4,C
10:12,41.2,C
10:13,42.6,C
10:14,42.6,C
10:15,42.4,C
10:16,41.0,C
10:17,39.8,C
10:18,39.0,C
10:19,38.8,C
10:20,40.8,C
10:21,41.4,C
10:22,43.8,C
10:23,43.4,C
10:24,43.2,C
10:25,44.2,C
10:26,45.9,C
10:27,46.4,C
10:28,46.8,C
10:29,47.5,C
10:30,47.6,C
10:31,47.3,C
10:32,48.4,C
10:33,50.1,C
10:34,49.9,C
10:35,49.8,C
10:36,49.5,C
10:37,50.3,C
10:38,51.3,C
10:39,51.1,C
10:40,50.6,C
10:41,50.7,C
10:42,51.2,C
10:43,51.2,C
10:44,52.7,C
10:45,53.1,C
10:46,52.8,C
10:47,54.1,C
10:48,52.7,C
10:49,53.5,C
10:50,53.9,C
10:51,55.3,C
10:52,54.3,C
10:53,53.5,C
10:54,53.5,C
10:55,54.3,C
10:56,55.5,C
10:57,53.9,C
10:58,54.6,C
10:59,54.9,C
11:00,56.3,C
11:01,56.4,C
11:02,54.5,C
11:03,54.7,C
11:04,53.0,C
11:05,53.2,C
11:06,52.6,C
11:07,52.5,C
11:08,53.2,C
11:09,53.2,C
11:10,53.9,C
11:11,53.7,C
11:12,51.9,C
11:13,52.5,C
11:14,51.4,C
11:15,50.3,C
11:16,50.8,C
11:17,51.0,C
11:18,52.0,C
11:19,50.0,C
11:20,50.0,C
11:21,50.3,C
11:22,51.8,C
11:23,51.4,C
