quote_datetime,ask,option_type
09:31,30.4,C
09:32,30.4,C
09:33,29.7,C
09:34,29.5,C
09:35,29.9,C
09:36,29.6,C
09:37,28.0,C
09:38,26.0,C
09:39,26.8,C
09:40,26.7,C
09:41,25.5,C
09:42,24.2,C
09:43,26.2,C
09:44,26.8,C
09:45,26.9,C
09:46,26.4,C
09:47,27.2,C
09:48,25.6,C
09:49,25.7,C
09:50,25.3,C
09:51,24.3,C
09:52,25.7,C
09:53,25.0,C
09:54,24.9,C
09:55,23.8,C
09:56,24.3,C
09:57,25.2,C
09:58,25.4,C
09:59,26.2,C
10:00,27.4,C
10:01,28.5,C
10:02,29.4,C
10:03,28.3,C
10:04,27.8,C
10:05,24.3,C
10:06,27.5,C
10:07,26.6,C
10:08,29.8,C
10:09,30.5,C
10:10,31.8,C
10:11,34.4,C
10:12,31.6,C
10:13,32.1,C
10:14,33.6,C
10:15,33.3,C
10:16,35.3,C
10:17,35.0,C
10:18,34.2,C
10:19,34.7,C
10:20,32.9,C
10:21,34.4,C
10:22,34.6,C
10:23,34.9,C
10:24,33.2,C
10:25,34.4,C
10:26,35.9,C
10:27,36.0,C
10:28,36.9,C
10:29,37.3,C
10:30,37.7,C
10:31,35.9,C
10:32,35.0,C
10:33,35.1,C
10:34,34.6,C
10:35,33.1,C
10:36,34.9,C
10:37,33.7,C
10:38,33.3,C
10:39,32.5,C
10:40,32.7,C
10:41,33.8,C
10:42,35.9,C
10:43,36.1,C
10:44,35.5,C
10:45,36.5,C
10:46,38.4,C
10:47,38.9,C
10:48,39.1,C
10:49,36.7,C
10:50,37.5,C
10:51,38.0,C
10:52,38.8,C
10:53,39.1,C
10:54,38.9,C
10:55,39.7,C
10:56,40.7,C
10:57,39.9,C
10:58,40.0,C
10:59,38.7,C
11:00,40.3,C
11:01,41.0,C
11:02,41.5,C
11:03,42.1,C
11:04,42.1,C
11:05,44.1,C
11:06,43.6,C
11:07,45.0,C
11:08,45.8,C
11:09,46.5,C
11:10,45.0,C
11:11,46.4,C
11:12,45.3,C
11:13,43.1,C
11:14,42.8,C
11:15,41.7,C
11:16,43.5,C
11:17,44.2,C
11:18,43.7,C
11:19,43.3,C
11:20,44.4,C
11:21,46.2,C
11:22,46.3,C
11:23,45.5,C
11:24,44.8,C
11:25,44.3,C
11:26,42.6,C
11:27,42.1,C
11:28,42.6,C
11:29,42.1,C
11:30,42.1,C
11:31,41.6,C
11:32,41.4,C
11:33,38.7,C
11:34,39.4,C
11:35,39.3,C
11:36,37.4,C
11:37,39.7,C
11:38,41.6,C
11:39,41.0,C
11:40,42.4,C
11:41,43.4,C
11:42,42.7,C
11:43,43.2,C
11:44,42.8,C
11:45,42.9,C
11:46,43.1,C
11:47,43.8,C
11:48,45.0,C
11:49,44.9,C
11:50,45.5,C
11:51,45.5,C
11:52,45.7,C
11:53,44.5,C
11:54,45.7,C
